v_x(km/s),v_y(km/s),v_z(km/s)
10.90586202,-7.119490536,-226.6038724
175.2907475,137.3318748,56.55547342
235.4557241,-89.47269847,-3.964784195
5.38605529,-4.485677021,-25.72311814
170.4798587,-141.4528183,-64.41095931
-119.0476658,-49.70623989,53.44796165
-227.8114926,91.23517898,6.244899128
95.62765865,89.31374527,47.37453858
-87.40318233,-29.64457191,5.904861047
-96.28775655,-91.83379149,-145.0142842
115.203598,82.17242009,45.3915732
52.63499566,-52.62710913,-330.6938654
-115.1777515,-78.28661941,-37.03705279
-129.6863547,110.9847407,-163.2275383
-121.58853,-120.1096986,-110.9330354
52.16319983,35.24643962,45.03241383
-20.27224594,19.84370459,-54.22448167
74.19901756,-52.41257596,-322.6608771
82.83724083,0.592270694,-71.64803836
1.689151382,0.752853325,-26.60568596
332.5781202,-0.149116873,-16.37276088
104.8592313,-77.14237441,294.7513173
-260.9404537,239.0585468,-150.0313301
183.1838573,-166.2698979,20.79552571
153.4351865,-140.1798524,-110.1287467
240.4044017,-180.8091805,175.4188202
-40.69188815,-4.39557606,88.54057462
176.8498494,173.6980848,99.44947584
246.0823035,157.2041165,-7.038830857
-145.195753,-91.17394057,-25.14710308
-135.6148356,76.94814059,-14.03146304
-159.474042,16.59897357,-40.64530186
49.28375949,43.00886209,-1.01087681
114.3014547,-73.89730181,-186.6837699
107.318774,74.15151136,136.7059571
58.58483347,-26.27613829,126.6553153
163.6745622,131.2670139,177.4644949
64.23414999,18.23210539,106.213956
78.71581332,-78.08689524,23.0838972
82.78546821,64.56694456,30.84337663
-217.5864833,-46.23608954,27.77948519
186.4101529,-133.7665542,25.44391757
-225.6174158,-11.46861282,-131.9995302
-15.83316696,6.972949362,9.018870835
-149.7836941,2.35429717,-96.51303232
-160.126271,-134.8173582,-174.7231294
34.73891782,-41.4057674,12.71501271
-138.8267775,38.03954302,-60.16789013
-142.0253224,131.3476126,-37.02721163
140.1322909,149.4844849,-33.6907792
116.3651611,-73.05653383,-41.69134527
-48.54427025,33.26902073,84.3649701
138.942381,122.8454054,261.9885354
-45.34868776,16.16813253,12.36721485
199.4387859,129.2925748,63.44108054
