Fe/H,Al/Fe
-3.28,-0.62
-3.26,-0.58
-3.06,-0.42
-2.72,-1.09
-3.33,-0.82
-2.78,-0.54
-3.82,-0.67
-3.24,-0.54
-3.08,-0.37
-3.23,-0.87
-3.47,-0.79
-2.5,-0.98
-2.68,-0.83
-3.22,-0.82
-3.61,-0.75
-1.77,-1.07
-2.44,-0.68
-2.88,-0.78
-3.22,-0.67
-2.34,-0.61
-3.13,-0.8
-2.93,0.46
-3.08,-0.65
-3.31,-0.83
-3.3,-1.01
-2.56,-0.69
-3.57,-0.58
-2.35,-0.79
-2.52,-0.92
-2.96,-0.91
-2.99,-0.52
-2.97,-0.84
-2.65,-0.81
-3.57,-0.68
-3.08,-0.67
-3.98,-0.38
-2.95,-0.58
-2.62,-1.08
-3.46,0.14
-3.08,-0.52
-2.47,-0.91
-3.03,-0.68
-1.98,-0.53
-2.95,0.1
-2.27,0.03
-3.05,-0.44
-2.81,-1.1
-2.61,-0.98
-3.92,-0.8
-3.23,-0.65
-2.86,-0.33
-2.58,0.04
-3.04,-1.01
-2.49,-0.45
-2.53,-0.76
-4.09,-0.62
-2.83,-0.72
-2.27,-0.6
-3.99,-0.6
-1.56,-0.09
-2.82,-0.46
-3.86,-0.78
-3.06,-0.5
-3.14,-0.47
-3.14,-0.79
-2.68,-0.72
-2.87,-0.98
-2.61,-0.21
-2.88,-1.24
-2.42,-0.53
-3.17,-0.79
-2.97,-0.66
-2.88,-1.36
-3.34,-1.04
-3.31,-0.66
-2.72,-0.94
-3.04,-0.89
-3.0,-0.76
-2.72,-1.16
-3.19,-0.94
-2.35,-1.16
-2.41,-0.32
-3.1,-0.84
-3.38,-0.79
-2.4,-0.72
-3.06,-0.8
-2.39,-0.43
-2.48,-0.67
-2.61,-0.83
-2.52,-1.05
-2.74,-0.31
-2.01,-0.85
-3.01,-1.06
-4.73,-0.71
-2.75,-0.39
-4.17,0.69
-3.02,-0.76
-2.39,-1.11
-2.81,-0.08
-2.88,-0.57
-3.34,-0.75
-2.08,-0.6
-2.39,-0.83
-3.36,-0.47
-2.72,-0.86
-2.49,-0.81
-2.53,-1.02
-3.12,-0.67
-2.16,-0.52
-3.0,-0.72
-2.9,-0.45
-2.97,-0.32
-3.06,-0.89
-2.75,-0.52
-2.91,-0.82
-2.67,-1.04
-3.4,-0.72
-2.61,-0.95
-2.89,-0.69
-3.23,-0.79
-2.65,-0.73
-2.73,-1.1
-2.86,-0.8
-3.28,-0.66
-2.95,-0.72
-2.08,-0.76
-3.25,-0.71
-3.02,-1.12
-3.33,-0.65
-3.14,-1.19
-2.84,-0.92
-4.15,-0.39
-2.88,-0.6
-3.15,-0.94
-3.31,-0.73
-2.98,-0.86
-2.52,-0.61
-2.82,0.13
-2.33,-0.81
-2.46,-0.94
-2.47,-0.91
-2.85,-0.93
-2.82,-1.1
-2.82,-0.68
-3.45,-0.75
-2.37,-1.01
-3.17,-0.94
-2.71,0
-3.36,-0.58
-3.03,-0.95
-2.53,-0.46
-3.3,-0.56
-2.64,0.17
-2.91,0.3
-2.41,-0.63
-2.77,-0.79
-3.41,-0.74
-2.69,-0.7
-3.19,-0.96
-3.06,-0.69
-3.53,-0.59
-3.18,-0.87
-4.07,-0.57
-4.06,-0.37
-3.49,-0.18
-2.68,-0.75
-2.98,-0.19
-3.32,-0.6
-4.41,-0.67
-4.12,-0.63
-3.64,-0.38
-4.1,-0.77
-3.35,-1.0
-3.31,-0.12
-3.83,-0.77
-3.87,0.75
-2.35,-0.62
-3.27,-0.49
-3.22,-0.57
-3.44,0.69
-2.81,-0.65
-2.22,-0.81
-2.47,-0.13
-3.29,-0.7
-3.24,-0.9
-2.41,-0.83
-2.97,-0.64
-2.43,-0.69
-3.22,-0.82
-2.49,-0.49
-3.13,-0.52
-2.07,-0.94
-1.85,-0.64
-3.67,-0.58
-2.66,0.3
-2.74,-0.69
-2.81,-0.82
-2.59,-0.95
-2.85,-0.48
-2.79,-0.39
-2.73,-0.9
-3.64,0.51
-3.91,-0.75
-3.1,-0.56
-3.23,-0.82
-1.7,-0.87
-2.58,-0.5
-2.55,-0.71
-2.62,-0.64
-3.19,-0.79
-2.92,-1.01
-3.3,-0.6
-2.77,0.13
-2.9,-0.81
-2.73,-0.9
-3.07,-0.56
-2.58,-0.97
-2.6,-0.75
-2.87,-0.98
-2.6,0.02
-3.07,-0.95
-2.61,-0.59
-2.12,-1.37
-2.78,-1.07
-3.03,-0.48
-2.4,-1.16
-2.75,0.12
-2.21,-1.05
-2.87,-0.93
-2.26,-1.0
-2.73,-1.23
-1.93,-0.68
-2.97,-0.95
-3.02,-0.52
-2.78,-0.85
-2.63,-0.11
-3.55,-0.8
-4.38,0.26
-2.78,-0.91
-2.92,-0.67
-3.11,-0.68
-3.43,-0.34
-3.34,-0.91
-2.58,-0.28
-3.87,-0.18
-2.97,-0.94
-2.64,-0.95
-2.61,-0.85
-2.56,-0.57
-2.98,-0.36
-3.19,-0.12
-2.62,-0.63
-3.18,-0.61
-2.92,-0.54
-3.09,-0.45
-2.75,-0.38
-3.2,-0.68
-3.0,-0.44
-2.5,-0.37
-2.72,0.01
-2.1,-0.37
-2.27,-0.65
-2.31,-0.58
-2.06,-0.7
-1.71,-0.64
-2.93,-0.79
-1.35,-0.03
-4.28,-0.44
-2.04,-1.4
-2.92,-0.42
-3.23,-0.9
-3.23,-0.72
-3.28,-0.81
-3.55,-0.81
-3.23,-0.41
-2.99,-0.54
-3.12,-0.39
-2.85,-0.8
-2.85,-0.57
-3.51,-0.71
-3.1,-0.68
-3.14,-0.58
-2.58,-0.58
-2.84,-0.63
-2.75,-0.76
-3.19,-0.65
-2.6,-0.81
-2.76,-0.75
-3.22,-0.56
-3.93,-0.81
-3.3,-0.67
-2.9,0.01
-3.05,-0.73
-2.48,0.1
-3.77,-0.88
-2.13,0.18
-4.59,-0.63
-2.54,-0.8
-2.62,-0.6
-2.36,-0.4
-2.51,-0.83
-1.52,0.41
-0.72,0.41
-2.96,-0.37
-2.26,-0.97
-2.97,-0.44
-3.29,-0.54
-2.52,-0.56
-2.97,-0.59
-1.45,0.05
-1.99,-0.7
-2.75,-0.29
-2.39,-0.51
-3.13,-0.66
-1.51,1.25
-0.28,0.25
-1.32,0.26
-1.43,0.07
-1.72,0.21
-2.21,-0.34
