# Object,[Fe/H],[Al/Fe]
SAGA_Car_000004,-1.41,0.05
SAGA_Car_000004,-1.67,
SAGA_Car_000004,-0.99,
SAGA_Car_000004,-1.29,
SAGA_Car_000005,-1.59,0.22
SAGA_Car_000005,-1.7,
SAGA_Car_000005,-1.39,
SAGA_Dra_000001,-2.93,-0.24
SAGA_Dra_000001,-3.05,
SAGA_Dra_000001,-2.97,
SAGA_Dra_000001,-2.91,
SAGA_Dra_000001,-2.97,
SAGA_Dra_000001,-2.78,
SAGA_Dra_000001,-3,
SAGA_Dra_000009,-2.6,
SAGA_Dra_000009,-2.5,-0.55
SAGA_Dra_000009,-2.55,
SAGA_Dra_000009,-2.33,
SAGA_Dra_000009,-2.59,
SAGA_Dra_000009,-2.51,
SAGA_For_000001,-1.21,0.11
SAGA_For_000001,-0.92,
SAGA_For_000001,-0.89,
SAGA_For_000003,-0.67,-0.02
SAGA_For_000003,-0.62,
SAGA_For_000003,-0.73,
SAGA_For_000003,-0.35,
SAGA_For_000003,-0.62,
SAGA_For_000659,-3.66,-0.2
SAGA_For_000659,-2.61,
SAGA_Scl_000007,-0.82,
SAGA_Scl_000007,-0.97,-0.36
SAGA_Scl_000007,-0.79,
SAGA_Scl_000009,-1.2,
SAGA_Scl_000009,-1.2,-0.42
SAGA_Scl_000009,-0.92,
SAGA_Scl_000009,-0.9,
SAGA_Scl_000009,-0.92,
SAGA_Scl_000009,-0.96,
SAGA_Scl_000026,-1.89,
SAGA_Scl_000026,-2.03,-0.8
SAGA_Scl_000026,-2.03,
SAGA_Scl_000058,-2.44,-1.09
SAGA_Scl_000058,-2.1,
SAGA_Scl_000058,-2.83,
SAGA_Scl_000435,-3.96,-0.65
SAGA_Scl_000435,-4.05,-1.04
SAGA_Scl_000435,-3.87,
SAGA_Scl_000442,-2.38,-0.37
SAGA_Scl_000444,-3.31,-0.88
SAGA_Scl_000444,-3,
SAGA_Scl_000445,-3.88,-0.8
SAGA_Scl_000445,-3.47,
SAGA_Scl_000448,-3.45,-0.47
SAGA_Scl_000448,-3.35,
SAGA_Scl_000450,-3.22,-0.64
SAGA_Scl_000450,-3,
SAGA_Scl_000450,-2.81,
SAGA_Scl_000451,-3.77,-1
SAGA_Scl_000451,-3.99,
SAGA_Scl_000452,-3.52,-0.91
SAGA_Scl_000452,-3.91,
SAGA_UMi_000025,-2.48,-0.46
SAGA_UMi_000034,-3.13,0.53
SAGA_UMi_000038,-3.14,-0.65
SAGA_UMi_000038,-3.45,
SAGA_UMi_000082,-1.6,0.08
SAGA_UMi_000136,-3.15,0.6
SAGA_UMi_000151,-2.2,-0.1
SAGA_UMi_000221,-2.13,0.2
