Fe/H,Ba/Fe
-0.92,-0.31
-3.28,-1.19
-3.26,-1.75
-3.06,-0.03
-2.72,-1.07
-3.33,-1.8
-2.78,1.54
-2.29,-0.26
-3.82,-1.16
-3.24,-0.89
-3.08,-1.17
-3.23,-0.83
-2.68,1
-3.47,-0.31
-2.5,-1.35
-2.68,-0.44
-3.22,-1.14
-3.61,-1.24
-1.77,-0.38
-2.44,-0.11
-2.88,-0.6
-3.22,-0.31
-2.34,-0.06
-3.13,0.42
-3.08,-0.6
-3.31,-1.57
-3.3,-0.69
-2.56,0.13
-3.57,0.2
-2.35,-0.15
-2.52,-0.22
-2.99,-0.75
-2.97,-0.6
-2.65,-0.63
-3.57,-1.14
-2.95,-0.84
-2.62,-1.23
-3.46,-0.72
-3.08,-0.46
-2.47,-0.73
-3.03,0.07
-1.98,1.35
-2.14,2.01
-2.95,1.73
-2.27,2.13
-3.05,-0.99
-2.81,-0.52
-2.61,-0.06
-3.92,-1.52
-3.23,-0.73
-2.86,0.18
-2.58,1.96
-3.04,-0.35
-2.49,-1.07
-2.53,-0.31
-4.09,-0.61
-2.83,0.59
-2.27,-0.02
-2.96,0.28
-1.56,0.18
-3.86,-1.22
-3.06,-0.96
-2.73,0.3
-3.14,-1.43
-3.14,0.25
-2.68,-0.36
-2.87,-0.98
-2.61,-0.07
-2.88,-1.46
-2.42,-0.34
-2.97,-0.65
-2.88,-1.14
-3.34,-0.25
-3.31,-1.45
-2.72,-0.09
-3.04,-1.03
-1.38,-0.58
-3.0,-0.03
-2.72,0.46
-3.19,0.67
-2.35,-0.31
-2.52,1.15
-2.41,-0.19
-3.38,-0.88
-2.4,-0.5
-3.06,-1.09
-2.39,-0.16
-2.48,0.03
-2.61,-0.43
-2.52,-0.64
-2.74,-0.07
-2.01,-0.06
-3.01,-1.08
-2.75,-0.59
-3.22,1.11
-2.29,0.24
-4.17,-0.28
-3.02,-1.09
-3.13,-0.41
-2.96,-0.52
-2.39,-0.27
-2.81,1.5
-2.88,0.18
-3.34,-1.26
-2.08,-0.17
-2.39,-0.42
-3.36,-1.19
-2.72,0.57
-2.49,0.48
-2.53,-0.74
-3.21,-0.49
-2.39,2.18
-3.12,-1.77
-2.16,-0.36
-3.0,-0.1
-2.9,-0.81
-2.97,0.65
-3.06,-0.92
-2.75,-0.5
-2.91,-0.65
-2.67,-0.45
-2.61,-0.48
-2.89,-0.18
-2.65,-1.26
-2.73,-0.42
-2.86,-1.7
-3.28,-0.58
-2.95,-0.9
-2.08,0.07
-3.25,-0.5
-3.02,-0.43
-3.33,-0.39
-3.14,-0.82
-2.84,-1.2
-4.15,-0.5
-2.88,-0.11
-3.15,-0.62
-3.31,-0.5
-2.1,-0.19
-2.98,-0.1
-2.2,-0.85
-1.79,1.92
-2.52,-0.12
-2.82,-1.65
-2.33,-0.81
-2.47,-0.82
-2.85,-0.94
-2.82,-1.15
-2.82,-0.09
-3.45,0.09
