Fe/H,C/Fe
-3.28,0.17
-3.26,-0.32
-3.06,0.13
-2.72,-0.3
-3.33,-0.93
-2.78,1.92
-2.29,0.28
-3.82,0.22
-3.24,0.42
-3.08,0.62
-3.23,-0.33
-2.68,0.11
-3.47,0.54
-2.5,0.28
-2.68,0.45
-3.22,0.27
-3.61,0.35
-1.77,-0.12
-2.44,-0.68
-2.88,0.28
-3.22,0.14
-2.34,0.49
-3.13,0.23
-2.93,2.75
-3.08,0.22
-3.31,-0.05
-3.3,0.46
-2.56,0.23
-3.57,0.37
-2.35,-0.13
-2.52,-0.19
-2.96,0.43
-2.99,-0.26
-2.97,0.51
-2.65,-0.08
-3.57,-0.51
-3.08,0.31
-3.98,1
-2.95,0.07
-2.62,0.12
-3.46,0.84
-3.08,-0.26
-2.47,0.38
-3.03,-0.52
-1.98,1.12
-2.14,2.11
-2.95,2.38
-2.27,1.86
-3.05,0.53
-2.81,0.15
-2.61,0.36
-3.92,0.3
-3.23,-0.29
-2.86,-0.37
-2.58,2.43
-3.04,0.36
-2.49,0.25
-2.53,0.06
-4.09,0.51
-2.83,0.45
-2.27,0.06
-3.99,0.39
-2.96,0.55
-1.56,0.2
-2.82,0.34
-3.86,0.09
-3.06,0.16
-2.73,0.14
-3.14,-0.75
-3.14,0.34
-2.68,0.05
-2.87,0.3
-2.61,0.12
-2.88,-0.15
-2.42,-0.11
-3.17,0.25
-2.97,0.13
-2.88,0.11
-3.34,0.21
-3.31,-0.14
-2.72,0.06
-3.04,0.21
-1.38,-0.87
-3.0,-0.45
-2.72,0.05
-3.19,0.2
-2.35,0.45
-2.52,1.39
-2.41,-0.65
-3.1,0.81
-3.38,0.33
-2.4,0.23
-3.06,-0.55
-2.39,-0.27
-2.48,0.4
-2.61,-0.56
-2.52,0.41
-2.74,0.15
-2.01,0.09
-3.01,0.46
-4.73,1.59
-2.75,-0.84
-3.22,2.49
-2.29,1.09
-4.17,2.4
-3.02,0.33
-3.13,-0.05
-2.39,-0.34
-2.81,1.7
-2.88,0.48
-3.34,-0.77
-2.08,-0.16
-2.39,-0.54
-3.36,0.74
-2.72,0.5
-2.49,0.08
-2.53,0.09
-3.21,2.4
-2.39,2.16
-3.12,0.06
-2.16,-0.42
-3.0,0.31
-2.9,0.12
-2.97,0
-3.06,-0.17
-2.44,0.19
-2.75,0.22
-2.91,-0.1
-2.67,0.47
-3.81,0.46
-3.4,-0.1
-2.61,0.28
-2.89,0.48
-3.23,1.81
-2.65,-0.46
-2.73,0.21
-2.86,-0.19
-3.28,0.55
-2.95,-0.14
-2.08,-0.08
-3.25,-0.2
-3.02,0.3
-3.33,1.05
-3.14,1.25
-2.84,0.61
-2.5,2.64
-4.15,2.36
-2.88,-0.2
-3.15,0.33
-3.31,1.1
-2.98,-0.18
-2.2,0.99
-1.79,1.46
-2.52,0.29
-2.82,-0.26
-2.33,0.17
-2.46,0.17
-2.47,0.1
-2.85,0.41
-2.82,0.3
-2.82,-0.23
-3.45,1.51
-2.37,1.9
-2.14,1.83
-3.17,-0.24
-2.71,0.31
-2.52,2.29
-3.36,0.38
-3.03,0.25
-2.38,2.07
-2.11,1.64
-2.52,2.49
-2.53,0.3
-3.3,0.09
-2.46,-0.12
-2.89,0.46
-2.64,1.69
-2.91,2.1
-2.41,0.46
-2.77,0.31
-2.01,-0.67
-2.2,1.87
-2.65,2.42
-2.41,0.28
-3.41,0.23
-2.69,0.27
-3.19,-0.04
-3.06,-0.37
-3.53,-0.37
-3.18,-0.55
-4.07,0.94
-4.06,0.53
-3.49,-0.42
-2.68,0.31
-2.98,-0.65
-3.32,0.12
-4.41,0.6
-4.12,0.61
-3.64,0.64
-2.1,-0.02
-4.1,0.23
-3.35,0
-3.31,0.85
-3.83,0.6
-3.87,2.75
-2.35,0.32
-3.27,0.12
-3.22,0.4
-3.44,0.61
-2.81,0.01
-2.22,0.17
-2.47,2.53
-2.54,1.07
-3.29,0.78
-3.24,0.45
-2.41,-0.22
-2.97,-0.71
-2.43,-0.4
-3.22,0.28
-2.81,0.43
-2.49,0.08
-3.13,-0.48
-2.07,-0.04
-1.85,0
-3.67,0.26
-3.14,0.89
-2.66,1.9
-2.74,-0.08
-2.81,-0.24
-2.59,0.09
-2.85,-0.06
-2.79,0.17
-2.73,0.17
-3.64,1.4
-3.91,0.47
-3.1,0.97
-3.23,-0.7
-1.7,-0.42
-2.58,-0.58
-2.55,-0.08
-2.62,-0.01
-3.19,0.25
-2.92,-0.21
-3.3,1.06
-2.77,0.14
-2.27,1.84
-2.9,-0.23
-2.73,0.38
-3.07,0.04
-2.58,0.31
-2.6,0.19
-2.87,0.42
-2.6,0.28
-3.07,0.38
-2.46,2.33
-2.61,0.58
-2.12,-0.12
-2.78,0.32
-3.03,-0.19
-2.4,0.09
-2.75,2.63
-2.21,0.05
-2.87,0.11
-2.26,0.31
-2.73,0.18
-2.94,-0.34
-1.93,-0.19
-2.97,-0.24
-3.02,-0.69
-2.78,0.29
-2.49,2.06
-2.63,-0.08
-3.38,-0.36
-3.55,0.17
-2.55,0.24
-4.38,1.16
-2.78,0.19
-2.78,0.09
-2.92,0.17
-3.11,0.17
-2.82,2.09
-3.43,0
-3.34,0.29
-2.58,2.3
-3.87,-0.65
-2.97,-0.53
-2.64,0.43
-3.17,-0.19
-2.61,0.14
-2.56,-0.54
-2.62,0.19
-2.98,-0.01
-3.19,2.61
-2.62,0.86
-3.18,-0.72
-2.92,-0.34
-3.09,-0.04
-3.2,0.05
-3.0,-0.48
-2.31,-0.2
-2.06,-0.37
-2.93,-0.01
-4.28,1.2
-2.04,0.22
-1.56,-0.02
-2.36,-0.87
-1.74,-0.02
-1.79,0.03
-1.62,-0.67
-1.55,-0.47
-1.53,-0.32
-2.52,-0.57
-2.92,-0.09
-3.23,0.24
-3.23,0.45
-3.28,0.18
-3.55,0.77
-3.23,0.44
-2.99,0.11
-3.12,0.31
-2.85,0.09
-2.85,0.19
-3.51,0.4
-3.1,0.32
-3.14,-0.12
-2.58,1.25
-2.84,0.17
-2.75,0.21
-3.19,-0.72
-2.6,-0.21
-2.31,-0.47
-2.76,0.26
-3.22,0.12
-1.77,0.18
-1.77,0.13
-3.93,0.2
-3.3,0.65
-2.62,0.13
-2.19,0.33
-1.99,0.23
-2.9,2.71
-3.05,0.15
-2.48,2.13
-3.77,0.25
-2.13,-0.93
-4.59,-0.19
-2.54,-0.41
-2.62,0
-2.51,-0.55
-2.96,-0.01
-1.84,-0.27
-2.26,-0.31
-2.97,-0.4
-3.29,0.06
-2.52,-0.04
-2.97,-0.92
-1.99,-0.29
-2.75,-0.41
-2.39,1.19
-3.13,0.38
-1.51,1.48
-2.16,-0.6
-3.29,0.28
-2.8,0.14
-2.45,-0.43
-2.86,0.21
-2.39,-0.04
-2.82,-0.78
-3.29,-0.44
-3.75,-0.28
-4.08,0.86
-5.67,3.03
-3.46,0.48
-3.7,0.48
-3.32,0.18
-3.03,0.33
-3.21,0.23
-1.43,1.3
-2.7,-0.27
-3.69,0.52
-3.54,1.47
-4.02,2.6
-3.5,-0.43
-2.87,0.95
-2.89,-0.54
-2.78,2.41
-2.88,1.3
-3.65,-0.48
-3.0,-0.42
-2.87,0.7
-2.67,2.42
-3.88,0.38
-3.67,0.54
-3.35,0.72
-3.68,1.34
-3.41,-0.57
-2.23,0.77
-7.3,>5.02
-3.32,1.79
-2.87,0.74
-2.53,0.3
-4.34,1.45
-2.73,0.5
-2.77,0.64
-5.0,2.96
-3.64,0.49
-3.03,1.7
-2.86,0.63
-3.32,2.09
-2.51,1.78
-3.17,1.24
-2.85,2.02
-3.17,0.64
-2.32,-0.33
-2.32,-0.23
-2.56,-0.25
-3.17,0.29
-2.53,0.05
-3.36,-0.4
-3.83,-0.09
-3.03,0.19
-3.79,0.13
-3.02,0.21
-1.59,-0.54
-2.81,-0.27
-2.62,-0.52
-3.11,0.19
-2.71,-0.54
-2.87,-0.53
-3.4,0.03
-3.97,0.07
-2.55,0.12
-2.63,0.38
-2.22,0.24
-2.94,0.4
-3.42,0.35
-3.37,0.02
-3.71,0.66
-3.26,0.19
-3.4,-0.13
-3.44,0.65
-2.33,-0.5
-3.09,0.35
-2.97,-0.26
-3.2,0.56
-2.5,0.51
-2.72,0.22
-2.77,0.27
-3.41,0.08
-2.48,-0.07
-3.18,-0.18
-2.62,0.42
-2.08,-0.37
-3.63,-0.2
-2.4,0.2
-2.64,0.26
-3.11,0.21
-2.34,0.36
-3.18,-0.13
-2.99,0.18
-1.48,-0.15
-2.62,0.34
-1.86,0.09
-1.98,0.1
-2.9,0.15
-2.59,0.28
-2.1,-0.19
-2.62,0.14
-2.63,0.62
-3.03,0.18
-2.64,0.16
-2.52,0.09
-2.81,-0.07
-3.44,0.61
-2.35,-0.18
-2.54,-0.32
-2.73,-0.5
-2.56,0.23
-2.76,0.18
-2.58,0.23
-2.26,0.13
-3.15,0.27
-2.71,0.04
-2.73,-0.35
-2.61,-0.26
-2.79,0.36
-2.66,0.26
-2.24,-0.25
-2.48,-0.45
-2.2,0.27
-3.58,0.6
-2.5,-0.11
-2.51,0.3
-2.77,0.55
-2.76,0.36
-2.17,-0.12
-2.46,-0.43
-3.0,-0.33
-2.99,-0.36
-3.89,-0.29
-3.65,0.25
-2.99,-0.79
-3.11,0.35
-2.4,-0.56
-3.33,-0.35
-2.62,0.02
-3.39,-0.26
-1.29,0.31
-2.43,0.04
-2.31,-0.32
-2.58,-0.45
-3.22,-0.46
-3.25,0.67
-3.12,-0.23
-2.61,-0.21
-2.62,0.09
-1.89,-0.05
-2.4,-0.03
-3.41,0.38
-2.56,-0.67
-2.87,-0.56
-2.38,-0.2
-3.48,0.35
-3.35,-0.55
-2.53,-0.12
-2.75,-0.93
-2.24,1.44
-3.73,0.08
-3.1,-0.52
-2.75,-0.28
-2.24,0.41
-3.0,-0.29
-3.36,0.08
-2.98,-0.42
-2.88,-0.77
-2.06,0.18
-2.19,1.51
-2.91,1.98
-3.29,0.28
-3.08,0.47
-2.67,0.06
-3.11,0.38
-2.88,0.51
-2.42,1.72
-3.18,0.18
-3.37,0.3
-3.05,0.9
-2.59,1.82
-3.3,0.46
-2.0,1.09
-2.74,1.91
-3.6,0.83
-2.84,-0.45
-2.35,0.34
-2.63,0.22
-3.34,0.52
-2.95,-0.23
-2.38,0.11
-2.8,0.33
-3.28,0.69
-2.9,0.29
-2.91,0.54
-3.48,0.27
-3.2,-0.31
-2.9,-0.52
-3.29,-0.02
-2.91,1.88
-3.17,0.38
-3.48,0.07
-2.66,0.49
-3.73,0.62
-2.75,0.52
-2.91,1.94
-3.15,0.64
-3.15,0.24
-4.01,0.84
-3.35,0.03
-3.8,-0.17
-2.23,0.27
-2.99,0.12
-2.81,0.16
-3.38,0.47
-3.78,1.24
-2.2,1.09
-2.86,0.54
-3.83,0.4
-3.39,-0.13
-2.06,-0.91
