# Object,[Fe/H],[C/Fe]
SAGA_Dra_000001,-2.93,-0.32
SAGA_Dra_000001,-3.05,-1.01
SAGA_Dra_000001,-2.91,-0.96
SAGA_Dra_000001,-2.97,
SAGA_Dra_000001,-2.97,
SAGA_Dra_000001,-2.78,
SAGA_Dra_000001,-3,
SAGA_Dra_000003,-2.55,-0.41
SAGA_Dra_000003,-2.47,-0.55
SAGA_Dra_000003,-2.36,
SAGA_Dra_000003,-2.36,
SAGA_Dra_000003,-2.39,
SAGA_Dra_000004,-1.77,-1.05
SAGA_Dra_000004,-2.05,-0.68
SAGA_Dra_000004,-1.67,
SAGA_Dra_000004,-1.67,
SAGA_Dra_000004,-1.55,
SAGA_Dra_000004,-1.74,
SAGA_Dra_000005,-2.05,-0.81
SAGA_Dra_000005,-1.86,
SAGA_Dra_000005,-1.78,
SAGA_Dra_000005,-1.95,
SAGA_Dra_000006,-2.05,-0.66
SAGA_Dra_000006,-2.11,-0.63
SAGA_Dra_000006,-1.72,
SAGA_Dra_000006,-1.74,
SAGA_Dra_000006,-1.99,
SAGA_Dra_000007,-2.03,-0.83
SAGA_Dra_000007,-1.94,-0.43
SAGA_Dra_000007,-1.73,
SAGA_Dra_000007,-1.94,
SAGA_Dra_000008,-2.39,-0.28
SAGA_Dra_000009,-2.6,-0.36
SAGA_Dra_000009,-2.5,-0.08
SAGA_Dra_000009,-2.55,-0.43
SAGA_Dra_000009,-2.33,
SAGA_Dra_000009,-2.59,
SAGA_Dra_000009,-2.51,
SAGA_Dra_000010,-1.74,-0.7
SAGA_Dra_000010,-1.54,-0.33
SAGA_Dra_000010,-1.41,
SAGA_Dra_000010,-1.63,
SAGA_Dra_000011,-2.7,-0.23
SAGA_Dra_000011,-2.56,
SAGA_Dra_000012,-3.06,0.53
SAGA_Dra_000012,-2.76,
SAGA_Dra_000013,-1.87,-0.93
SAGA_Dra_000013,-1.78,-0.59
SAGA_Dra_000013,-1.59,
SAGA_Dra_000013,-1.75,
SAGA_Dra_000014,-2.04,-0.63
SAGA_Dra_000019,-2.01,-0.59
SAGA_Dra_000019,-1.75,
SAGA_Dra_000019,-1.96,
SAGA_Dra_000021,,
SAGA_Dra_000021,-2.15,-1.02
SAGA_Dra_000021,-1.87,
SAGA_Dra_000021,-2.09,
SAGA_Dra_000024,-2.01,0.29
SAGA_Dra_000024,-1.76,
SAGA_Dra_000027,-1.83,-0.09
SAGA_Dra_000027,-1.52,
SAGA_Dra_000029,-1.9,-0.27
SAGA_Dra_000029,-1.64,
SAGA_Dra_000030,-2.38,-0.35
SAGA_Dra_000030,-2.07,
SAGA_Dra_000030,-2.26,
SAGA_Dra_000034,-2.33,-0.1
SAGA_Dra_000034,-2.02,
SAGA_Dra_000036,-2.29,0.08
SAGA_Dra_000036,-1.96,
SAGA_Dra_000037,-1.85,0.2
SAGA_Dra_000037,-1.58,
SAGA_Dra_000038,-1.6,-0.53
SAGA_Dra_000038,-1.25,
SAGA_Dra_000038,-1.46,
SAGA_Dra_000039,-1.57,-0.22
SAGA_Dra_000039,-1.32,
SAGA_Dra_000040,-2.03,-0.89
SAGA_Dra_000040,-1.73,
SAGA_Dra_000040,-1.95,
SAGA_Dra_000042,-1.88,-0.31
SAGA_Dra_000042,-1.57,
SAGA_Dra_000043,-2.01,-1.08
SAGA_Dra_000043,-1.72,
SAGA_Dra_000049,-2.07,-0.76
SAGA_Dra_000049,-1.75,
SAGA_Dra_000049,-1.87,
SAGA_Dra_000050,-2.1,-0.12
SAGA_Dra_000050,-1.8,
SAGA_Dra_000054,-2.33,-0.61
SAGA_Dra_000054,-2.2,-0.86
SAGA_Dra_000054,-2.01,
SAGA_Dra_000054,-2.19,
SAGA_Dra_000057,-1.49,-0.5
SAGA_Dra_000057,-1.16,
SAGA_Dra_000060,-2.04,-0.77
SAGA_Dra_000060,-1.69,
SAGA_Dra_000060,-1.89,
SAGA_Dra_000063,-1.98,-0.22
SAGA_Dra_000063,-1.65,
SAGA_Dra_000064,-1.79,-0.17
SAGA_Dra_000064,-1.47,
SAGA_Dra_000067,-1.79,-0.07
SAGA_Dra_000067,-1.46,
SAGA_Dra_000069,-1.78,-0.65
SAGA_Dra_000069,-1.53,
SAGA_Dra_000069,-1.72,
SAGA_Dra_000070,-1.49,0.07
SAGA_Dra_000070,-1.2,
SAGA_Dra_000071,-2.48,-0.02
SAGA_Dra_000071,-2.2,
SAGA_Dra_000071,-2.44,
SAGA_Dra_000073,-1.97,-0.36
SAGA_Dra_000073,-1.92,-0.41
SAGA_Dra_000073,-1.71,
SAGA_Dra_000073,-1.89,
SAGA_Dra_000076,-2.4,0.22
SAGA_Dra_000076,-2.08,
SAGA_Dra_000077,-1.78,-0.2
SAGA_Dra_000077,-1.4,
SAGA_Dra_000079,-1.85,0.02
SAGA_Dra_000079,-1.56,
SAGA_Dra_000081,-2.01,0.12
SAGA_Dra_000081,-1.67,
SAGA_Dra_000082,-1.81,-0.28
SAGA_Dra_000082,-1.48,
SAGA_Dra_000083,-2.32,-0.78
SAGA_Dra_000083,-2.03,
SAGA_Dra_000085,-2.21,-0.34
SAGA_Dra_000085,-1.92,
SAGA_Dra_000085,-2.12,
SAGA_Dra_000086,-1.78,-0.74
SAGA_Dra_000086,-1.48,
SAGA_Dra_000091,-1.49,-0.28
SAGA_Dra_000091,-1.19,
SAGA_Dra_000092,-1.99,-0.58
SAGA_Dra_000092,-1.69,
SAGA_Dra_000092,-1.89,
SAGA_Dra_000093,-1.45,-0.57
SAGA_Dra_000093,-1.13,
SAGA_Dra_000094,-2.02,-0.83
SAGA_Dra_000094,-1.69,
SAGA_Dra_000094,-1.93,
SAGA_Dra_000099,-2.2,-0.64
SAGA_Dra_000099,-1.89,
SAGA_Dra_000101,-2.52,0.08
SAGA_Dra_000101,-2.21,
SAGA_Dra_000103,-2.07,-0.46
SAGA_Dra_000103,-1.76,
SAGA_Dra_000104,-2.19,-0.05
SAGA_Dra_000104,-1.85,
SAGA_Dra_000105,-1.84,0
SAGA_Dra_000105,-1.54,
SAGA_Dra_000107,-2.02,-0.24
SAGA_Dra_000107,-1.66,
SAGA_Dra_000108,-2.51,-0.47
SAGA_Dra_000108,-2.18,
SAGA_Dra_000110,-1.87,-0.37
SAGA_Dra_000110,-1.54,
SAGA_Dra_000111,-1.99,-0.23
SAGA_Dra_000111,-1.67,
SAGA_Dra_000112,-2,-0.64
SAGA_Dra_000112,-1.68,
SAGA_Dra_000112,-1.92,
SAGA_Dra_000115,-2.28,-0.06
SAGA_Dra_000115,-2.05,
SAGA_Dra_000117,-2.39,0
SAGA_Dra_000117,-2.11,
SAGA_Dra_000118,-1.99,-0.84
SAGA_Dra_000118,-1.69,
SAGA_Dra_000118,-1.88,
SAGA_Dra_000119,-1.38,-0.61
SAGA_Dra_000119,-1.14,
SAGA_Dra_000120,-2.01,-0.56
SAGA_Dra_000120,-1.71,
SAGA_Dra_000120,-1.88,
SAGA_Dra_000122,-2.23,0.31
SAGA_Dra_000122,-1.91,
SAGA_Dra_000125,-1.92,-0.24
SAGA_Dra_000125,-1.59,
SAGA_Dra_000129,-1.5,-0.59
SAGA_Dra_000129,-1.2,
SAGA_Dra_000129,-1.49,
SAGA_Dra_000131,-1.46,-0.39
SAGA_Dra_000131,-1.14,
SAGA_Dra_000131,-1.34,
SAGA_Dra_000132,-1.56,-0.33
SAGA_Dra_000132,-1.22,
SAGA_Dra_000132,-1.37,
SAGA_Dra_000138,-1.94,-0.33
SAGA_Dra_000138,-1.63,
SAGA_Dra_000141,-2.01,-0.04
SAGA_Dra_000141,-1.71,
SAGA_Dra_000142,-2.15,-0.29
SAGA_Dra_000142,-1.87,-0.61
SAGA_Dra_000142,-1.83,
SAGA_Dra_000146,-2.08,0.39
SAGA_Dra_000146,-1.71,
SAGA_Dra_000146,-1.9,
SAGA_Dra_000147,-2.1,-0.77
SAGA_Dra_000147,-1.79,
SAGA_Dra_000147,-1.92,
SAGA_Dra_000150,-2.48,0.19
SAGA_Dra_000150,-2.16,
SAGA_Dra_000153,-1.92,0.42
SAGA_Dra_000153,-1.58,
SAGA_Dra_000154,-2.02,-0.17
SAGA_Dra_000154,-1.73,
SAGA_Dra_000155,-2.31,0.19
SAGA_Dra_000155,-2.03,
SAGA_Dra_000156,-1.55,-1.34
SAGA_Dra_000156,-1.14,
SAGA_Dra_000156,-1.18,
SAGA_Dra_000156,-1.45,
SAGA_Dra_000158,-1.92,-1.02
SAGA_Dra_000158,-1.55,
SAGA_Dra_000158,-1.77,
SAGA_Dra_000162,-2.15,-0.25
SAGA_Dra_000162,-1.86,
SAGA_Dra_000163,-1.79,-1.47
SAGA_Dra_000163,-1.49,
SAGA_Dra_000163,-1.7,
SAGA_Dra_000164,,
SAGA_Dra_000164,-2.27,-0.56
SAGA_Dra_000164,-2,
SAGA_Dra_000164,-2.19,
SAGA_Dra_000165,-2.01,-0.85
SAGA_Dra_000165,-1.67,
SAGA_Dra_000165,-1.86,
SAGA_Dra_000166,-2.06,-0.27
SAGA_Dra_000166,-1.75,
SAGA_Dra_000169,-2.03,-0.66
SAGA_Dra_000169,-1.9,-0.57
SAGA_Dra_000169,-1.72,
SAGA_Dra_000169,-1.87,
SAGA_Dra_000170,-2.32,0.1
SAGA_Dra_000170,-2.03,
SAGA_Dra_000175,-2.54,-0.42
SAGA_Dra_000175,-2.22,
SAGA_Dra_000175,-2.35,
SAGA_Dra_000177,-2.25,-0.77
SAGA_Dra_000177,-2.34,-0.66
SAGA_Dra_000177,-1.94,
SAGA_Dra_000177,-2.14,
SAGA_Dra_000182,-2.62,0.27
SAGA_Dra_000182,-2.31,
SAGA_Dra_000183,-2.01,-0.22
SAGA_Dra_000183,-1.68,
SAGA_Dra_000183,-1.87,
SAGA_Dra_000185,-2.36,0.06
SAGA_Dra_000185,-2.05,
SAGA_Dra_000186,-2.29,-0.15
SAGA_Dra_000186,-1.98,
SAGA_Dra_000189,-2.62,0.31
SAGA_Dra_000189,-2.32,
SAGA_Dra_000192,-3.22,0.84
SAGA_Dra_000192,-2.92,
SAGA_Dra_000194,-1.96,-0.09
SAGA_Dra_000194,-1.63,
SAGA_Dra_000198,-2.73,0.2
SAGA_Dra_000198,-2.45,
SAGA_Dra_000198,-2.68,
SAGA_Dra_000200,-2.23,-0.12
SAGA_Dra_000200,-1.89,
SAGA_Dra_000202,-2.28,0.01
SAGA_Dra_000202,-1.96,
SAGA_Dra_000203,-2.04,0.12
SAGA_Dra_000203,-1.72,
SAGA_Dra_000204,-2.12,-0.41
SAGA_Dra_000204,-1.79,
SAGA_Dra_000205,-2.04,-0.24
SAGA_Dra_000205,-2.04,
SAGA_Dra_000207,-2.2,-0.02
SAGA_Dra_000207,-1.92,
SAGA_Dra_000210,-2.06,-0.7
SAGA_Dra_000210,-1.74,
SAGA_Dra_000210,-1.97,
SAGA_Dra_000211,-2.39,-0.98
SAGA_Dra_000211,-2.08,
SAGA_Dra_000211,-2.28,
SAGA_Dra_000217,-2.6,0.06
SAGA_Dra_000217,-2.3,
SAGA_Dra_000226,-1.72,-0.67
SAGA_Dra_000226,-1.44,
SAGA_Dra_000227,-1.84,-0.38
SAGA_Dra_000227,-1.47,
SAGA_Dra_000227,-1.6,
SAGA_Dra_000228,-1.66,-0.92
SAGA_Dra_000228,-1.45,
SAGA_Dra_000228,-1.64,
SAGA_Dra_000230,,
SAGA_Dra_000230,-2.48,-0.98
SAGA_Dra_000230,-2.2,
SAGA_Dra_000230,-2.46,
SAGA_Dra_000233,-2.09,-0.31
SAGA_Dra_000233,-1.77,
SAGA_Dra_000233,-1.96,
SAGA_Dra_000234,,
SAGA_Dra_000234,-2.01,-1.12
SAGA_Dra_000234,-1.76,
SAGA_Dra_000234,-1.94,
SAGA_Dra_000235,-2.39,-0.23
SAGA_Dra_000235,-2.08,
SAGA_Dra_000235,-2.18,
SAGA_Dra_000236,-1.97,0.21
SAGA_Dra_000236,-1.66,
SAGA_Dra_000238,-1.7,-0.37
SAGA_Dra_000238,-1.4,
SAGA_Dra_000239,-2.82,0.36
SAGA_Dra_000239,-2.56,
SAGA_Dra_000241,-1.98,-0.39
SAGA_Dra_000241,-1.66,
SAGA_Dra_000250,-2.7,0.22
SAGA_Dra_000250,-2.38,
SAGA_Dra_000253,-2.2,-0.2
SAGA_Dra_000253,-1.9,
SAGA_Dra_000254,-1.41,-0.56
SAGA_Dra_000254,-1.1,
SAGA_Dra_000257,-2.03,-0.93
SAGA_Dra_000257,-1.72,
SAGA_Dra_000258,-2.84,0.37
SAGA_Dra_000258,-2.55,
SAGA_Dra_000262,-2.45,0.08
SAGA_Dra_000262,-2.14,
SAGA_Dra_000262,-2.15,
SAGA_Dra_000265,-2.17,0.15
SAGA_Dra_000265,-1.89,
SAGA_Dra_000268,-1.65,0.59
SAGA_Dra_000268,-1.35,
SAGA_Dra_000269,-2.6,0.5
SAGA_Dra_000269,-2.28,
SAGA_Dra_000290,-2.11,-0.27
SAGA_Dra_000290,-1.81,
SAGA_Dra_000303,-1.9,-0.28
SAGA_Dra_000304,-1.9,-1.08
SAGA_Dra_000306,-2,-0.81
SAGA_Dra_000307,-2.05,-0.61
SAGA_Dra_000308,-2.63,-0.56
SAGA_Dra_000309,-2,-1.03
SAGA_Dra_000310,-2.3,-0.83
SAGA_Dra_000311,-2.2,-0.75
SAGA_Dra_000312,-1.65,-0.71
SAGA_Dra_000313,-2.8,0.72
SAGA_Dra_000314,-2.5,-0.91
SAGA_Dra_000315,-2.15,-0.86
SAGA_Dra_000316,-1.92,-0.51
SAGA_Dra_000317,-2.04,-0.73
SAGA_Dra_000318,-1.95,-0.55
SAGA_Dra_000319,-2.15,-0.43
SAGA_Dra_000320,-1.87,-0.98
