Fe/H,Ca/Fe
-2.47,0.23
-0.61,0.14
-0.98,0.38
-0.92,0.3
-0.69,0.27
-0.74,0.12
-0.96,0.28
-1.49,0.35
-1.08,0.19
-3.28,0.4
-2.47,0.54
-1.11,0.18
-3.26,0.38
-3.06,0.37
-2.72,0.14
-2.7,0.39
-3.33,-0.03
-2.78,0.26
-2.52,0.44
-3.82,0.4
-3.24,0.49
-3.0,0.48
-3.08,0.45
-3.23,0.29
-2.62,0.43
-2.92,0.31
-2.27,0.25
-2.94,0.58
-2.69,0.46
-2.21,0.35
-2.3,0.36
-2.71,-0.21
-2.06,0.28
-2.72,0.68
-2.68,0.38
-3.5,0.64
-3.47,0.66
-2.76,0.48
-2.41,0.5
-2.5,0.13
-2.68,0.26
-2.46,0.28
-3.22,0.34
-3.25,0.4
-2.91,0.22
-2.56,0.24
-3.61,0.4
-1.77,0.11
-2.4,0.39
-3.68,0.11
-2.44,0.22
-2.88,0.33
-2.0,0.13
-3.22,0.61
-2.34,0.33
-2.76,0.23
-3.13,0.33
-2.93,0.49
-3.08,0.42
-3.28,0.42
-3.31,0.24
-3.3,0.37
-2.56,0.39
-2.64,0.35
-3.57,0.55
-2.35,0.31
-1.3,0.26
-1.91,0.44
-1.46,0.33
-2.52,0.25
-2.96,0.26
-2.77,0.42
-2.99,0.18
-3.2,0.42
-2.62,0.37
-2.97,0.38
-2.65,0.36
-3.57,0.44
-3.12,0.5
-3.08,0.35
-2.68,0.39
-3.98,0.1
-2.95,0.28
-2.62,0.03
-2.31,0.45
-2.13,0.28
-3.46,0.22
-3.08,0.24
-3.4,0.48
-2.47,0.32
-3.03,0.38
-1.98,0.28
-2.14,0.13
-2.95,0.43
-2.27,0.16
-3.05,0.41
-2.81,0.34
-0.26,0.05
-2.61,0.31
-2.08,0.38
-4.68,0.34
-2.58,0.42
-3.92,0.38
-3.23,0.18
-2.86,0.34
-2.58,0.12
-3.04,0.34
-2.56,0.4
-2.49,0.25
-2.53,0.29
-4.09,0.75
-2.73,0.28
-2.83,0.42
-2.27,0.33
-3.99,0.26
-2.96,0.29
-1.56,0.4
-2.82,0.51
-3.86,0.39
-1.65,0.19
-3.06,0.46
-2.73,0.3
-2.32,0.31
-3.14,0.25
-3.14,0.32
-2.38,0.38
-2.68,0.53
-2.19,0.39
-1.89,0.23
-2.87,0.19
-2.64,0.3
-2.75,0.47
-2.61,0.35
-2.43,0.4
-1.81,0.37
-2.88,0.12
-1.95,0.38
-1.82,0.27
-2.42,0.31
-1.8,0.31
-2.77,0.37
-2.57,0.36
-3.17,0.13
-2.97,0.4
-2.55,0.4
