Fe/H,Ca/Fe
-2.07,-0.11
-2.09,0.21
-2.52,-0.01
-2.83,0.29
-2.53,0.25
-2.28,0.05
-2.86,0.45
-2.87,0.36
-2.63,0.47
-2.92,0.5
-3.15,0.22
-3.28,0.4
-2.39,0.55
-2.36,0.13
-2.93,0.65
-2.58,0.62
-3.71,0.54
-3.06,0.29
-2.33,0.23
-2.64,0.18
-2.16,-0.01
-3.44,0.67
-2.15,0.02
-2.28,0.13
-1.99,0.25
-1.8,0.22
-3.18,0.45
-2.49,0.24
-2.91,0.32
-2.77,0.42
-2.08,0.32
-3.01,0.2
-2.73,0.19
-2.19,0.39
-3.54,0.43
-3.19,0.25
-2.18,0.05
-2.18,-0.1
-2.52,0.33
-2.49,0.04
-2.69,0.11
-2.94,0.14
-2.43,-0.07
-2.6,0
-2.83,-0.02
-2.61,0.4
-2.69,0.35
-2.69,0.44
-2.58,0.46
-2.93,0.32
-2.92,0.48
-2.41,0.07
-3.23,0.45
-2.69,0.44
-3.08,0.2
-3.34,0.26
-1.42,0.44
-1.67,0.58
-2.32,0.51
-2.4,0.52
-3.6,0.56
-3.78,0.59
-3.57,0.86
-2.9,0.17
