# Object,[Fe/H],[Ca/H]
SAGA_Car_000001,-1.94,-1.94
SAGA_Car_000001,-2.13,-2.14
SAGA_Car_000001,-2.02,
SAGA_Car_000002,-1.6,-1.38
SAGA_Car_000002,-1.68,-1.31
SAGA_Car_000002,,
SAGA_Car_000003,-1.65,-1.73
SAGA_Car_000003,-2.19,-1.89
SAGA_Car_000003,-1.82,-1.95
SAGA_Car_000003,-1.82,
SAGA_Car_000004,-1.41,-1.27
SAGA_Car_000004,-1.67,-1.28
SAGA_Car_000004,-1.29,-1.15
SAGA_Car_000004,-0.99,
SAGA_Car_000005,-1.59,-1.43
SAGA_Car_000005,-1.7,-1.43
SAGA_Car_000005,-1.39,
SAGA_Car_000258,-2.53,-2.41
SAGA_Car_000258,-2.33,-1.98
SAGA_Car_000258,-2.04,
SAGA_Car_000323,-1.3,-1.36
SAGA_Car_000323,-1.43,-1.34
SAGA_Car_000323,-2,-1.64
SAGA_Car_000323,-1.61,-1.48
SAGA_Car_000323,-1.53,
SAGA_Car_000324,-1.85,-1.5
SAGA_Car_000324,-1.6,-1.44
SAGA_Car_000324,-1.49,-1.25
SAGA_Car_000324,-1.63,
SAGA_Car_000370,-1.85,-1.49
SAGA_Car_000370,-1.52,-1.35
SAGA_Car_000370,-1.43,
SAGA_Car_000398,-2.81,-2.84
SAGA_Car_000398,,
SAGA_Car_000398,-2.86,
SAGA_Car_000409,-2.08,-1.67
SAGA_Car_000409,-1.89,-1.75
SAGA_Car_000409,-1.74,
SAGA_Car_000420,-2.51,-2.31
SAGA_Car_000420,-2.29,
SAGA_Car_000429,-2.86,-2.68
SAGA_Car_000429,-2.62,
SAGA_Car_000437,-2.08,-2.39
SAGA_Car_000437,-1.99,-2.1
SAGA_Car_000437,-1.96,-2.12
SAGA_Car_000437,-2.13,
SAGA_Car_000438,-2.08,-1.69
SAGA_Car_000438,-1.72,-1.7
SAGA_Car_000438,-1.68,-1.52
SAGA_Car_000438,-1.56,
SAGA_Car_000458,-1.58,-1.53
SAGA_Car_000458,-1.33,
SAGA_Car_000462,-1.93,-1.56
SAGA_Car_000462,-1.35,-1.14
SAGA_Car_000462,-1.47,
SAGA_Car_000477,-1.9,-1.75
SAGA_Car_000477,-1.59,-1.48
SAGA_Car_000477,-1.56,
SAGA_Car_000495,-1.52,-1.51
SAGA_Car_000495,-1.84,-1.5
SAGA_Car_000495,-1.42,-1.31
SAGA_Car_000495,-1.61,
SAGA_Car_000528,-1.83,-1.75
SAGA_Car_000528,-1.5,-1.17
SAGA_Car_000528,-1.6,
SAGA_Car_000551,-1.34,-1.13
SAGA_Car_000551,-1.42,
SAGA_Car_000589,-2.34,-1.75
SAGA_Car_000589,-2.13,-1.9
SAGA_Car_000589,-2.05,
SAGA_Car_000591,,
SAGA_Car_000591,-1.78,-1.76
SAGA_Car_000591,-2.27,
SAGA_Car_000617,-1.95,-1.64
SAGA_Car_000617,-1.63,-1.48
SAGA_Car_000617,-1.56,-1.37
SAGA_Car_000617,-1.7,
SAGA_Car_000619,-1.68,-1.44
SAGA_Car_000619,-1.89,-1.69
SAGA_Car_000619,-1.57,-1.39
SAGA_Car_000619,-1.66,
SAGA_Car_000625,-2.23,-2.07
SAGA_Car_000625,-1.78,-1.83
SAGA_Car_000625,-2.03,
SAGA_Car_000697,-1.79,-1.74
SAGA_Car_000697,-1.73,-1.46
SAGA_Car_000697,-1.66,
SAGA_Car_000717,-1.35,-1.24
SAGA_Car_000717,-1.3,-1.19
SAGA_Car_000717,-1.92,-1.64
SAGA_Car_000717,-1.34,-1.24
SAGA_Car_000717,-1.39,
SAGA_Car_000727,-1.48,-1.4
SAGA_Car_000727,-1.17,
SAGA_Car_000835,-2,-1.79
SAGA_Car_000835,-1.79,
SAGA_Car_000867,-1.84,-1.61
SAGA_Car_000867,-1.68,
SAGA_Car_000894,-1.53,-1.29
SAGA_Car_000894,-2.14,-1.86
SAGA_Car_000894,-1.43,
SAGA_Car_000897,-1.75,-1.65
SAGA_Car_000897,-1.88,-1.62
SAGA_Car_000897,-1.5,
SAGA_Car_000926,-1.71,-1.33
SAGA_Car_000926,-1.49,
SAGA_Car_000930,-1.53,-1.37
SAGA_Car_000930,-1.41,-1.2
SAGA_Car_000930,-1.76,-1.53
SAGA_Car_000930,-1.43,-1.25
SAGA_Car_000930,-1.37,
SAGA_Car_001197,-1.82,-1.66
SAGA_Car_001197,-2.17,-2.09
SAGA_Car_001197,-2.04,-2.07
SAGA_Car_001198,-1.39,-1.03
SAGA_Car_001198,-1.53,-1.27
SAGA_Car_001198,-1.28,-1.15
SAGA_Car_001199,-2.75,-2.01
SAGA_Car_001199,-2.85,-1.97
SAGA_Car_001200,-1.3,-1.47
SAGA_Car_001200,-1.52,-1.65
SAGA_Car_001200,-1.56,-1.63
SAGA_Car_001200,-1.29,-1.52
SAGA_Car_001201,-1.5,-1.16
SAGA_Car_001202,-1.75,-1.89
SAGA_Car_001202,-1.75,-1.39
SAGA_Car_001203,-1.83,-1.28
SAGA_Car_001203,-1.39,-1.12
SAGA_Car_001204,-1.24,-1.26
SAGA_Car_001206,-1.62,-1.32
SAGA_Car_001206,-1.18,-1.19
SAGA_Car_001206,-1.3,-1.24
SAGA_Car_001208,-1.8,-1.42
SAGA_Car_001208,-1.43,-1.36
SAGA_Car_001208,-1.26,-1.11
SAGA_Car_001209,-2.15,-2.16
SAGA_Car_001209,-2.52,-2.8
SAGA_Car_001209,-2.5,-2.3
SAGA_Car_001210,-1.21,-0.98
SAGA_Car_001211,-1.2,-1.55
SAGA_Car_001212,-1.64,-1.72
SAGA_Car_001213,-1.39,-1.23
SAGA_Car_001214,-1.75,-1.57
SAGA_Car_001215,-2.5,-2.51
SAGA_Car_001215,-2.29,-2.59
SAGA_Car_001215,-2.29,-2.04
SAGA_Car_001216,-1.73,-1.56
SAGA_Car_001217,-1.67,-1.54
SAGA_Car_001218,-1.54,-1.74
SAGA_Car_001220,-1.57,-1.4
SAGA_Car_001221,-2.65,-2.12
SAGA_Car_001221,-2.32,-2.14
SAGA_Car_001221,-2.03,-1.82
SAGA_Car_001222,-1.6,-1.16
SAGA_Car_001223,-1.99,-1.58
SAGA_Car_001224,-1.8,-1.42
SAGA_Car_001225,-1.85,-1.27
SAGA_Car_001225,-1.6,-1.37
SAGA_Car_001226,-2.03,-1.72
SAGA_Car_001226,-1.27,-1.05
SAGA_Car_001227,-2.48,-2.12
SAGA_Car_001227,-1.72,-1.74
SAGA_Car_001228,-1.88,-1.56
SAGA_Car_001228,-1.48,-1.26
SAGA_Car_001229,-1.74,-1.65
SAGA_Car_001229,-1.48,-1.31
SAGA_Dra_000001,-2.93,-3
SAGA_Dra_000001,-3.05,
SAGA_Dra_000001,-2.91,-2.79
SAGA_Dra_000001,-2.97,-2.84
SAGA_Dra_000001,-2.97,-2.84
SAGA_Dra_000001,-2.78,-2.77
SAGA_Dra_000001,-3,
SAGA_Dra_000002,-1.44,-1.24
SAGA_Dra_000002,-1.44,-1.24
SAGA_Dra_000003,-2.55,
SAGA_Dra_000003,-2.47,-2.47
SAGA_Dra_000003,-2.36,-2.27
SAGA_Dra_000003,-2.36,-2.27
SAGA_Dra_000003,-2.39,
SAGA_Dra_000004,-1.77,
SAGA_Dra_000004,-2.05,-1.98
SAGA_Dra_000004,-1.67,-1.46
SAGA_Dra_000004,-1.67,-1.46
SAGA_Dra_000004,-1.55,-1.72
SAGA_Dra_000004,-1.74,
SAGA_Dra_000005,-2.05,
SAGA_Dra_000005,-1.86,-1.81
SAGA_Dra_000005,-1.78,-1.93
SAGA_Dra_000005,-1.95,
SAGA_Dra_000006,-2.05,
SAGA_Dra_000006,-2.11,-1.96
SAGA_Dra_000006,-1.72,-1.54
SAGA_Dra_000006,-1.74,-1.89
SAGA_Dra_000006,-1.99,
SAGA_Dra_000007,-2.03,
SAGA_Dra_000007,-1.94,-1.87
SAGA_Dra_000007,-1.73,-1.72
SAGA_Dra_000007,-1.94,
SAGA_Dra_000008,-2.39,-2.39
SAGA_Dra_000009,-2.6,
SAGA_Dra_000009,-2.5,-2.28
SAGA_Dra_000009,-2.55,-2.41
SAGA_Dra_000009,-2.33,-2.19
SAGA_Dra_000009,-2.59,
SAGA_Dra_000009,-2.51,
SAGA_Dra_000010,-1.74,
SAGA_Dra_000010,-1.54,-1.63
SAGA_Dra_000010,-1.41,-1.66
SAGA_Dra_000010,-1.63,
SAGA_Dra_000011,-2.7,-2.53
SAGA_Dra_000011,-2.56,-2.52
SAGA_Dra_000012,-3.06,-3.08
SAGA_Dra_000012,-2.76,-2.65
SAGA_Dra_000013,-1.87,
SAGA_Dra_000013,-1.78,-1.79
SAGA_Dra_000013,-1.59,-1.71
SAGA_Dra_000013,-1.75,
SAGA_Dra_000014,-2.04,-2.27
SAGA_Dra_000016,-1.93,-1.88
SAGA_Dra_000017,-0.88,-0.39
SAGA_Dra_000021,,
SAGA_Dra_000021,-2.15,
SAGA_Dra_000021,-1.87,-1.83
SAGA_Dra_000021,-2.09,
SAGA_Dra_000023,-2.01,-2.03
SAGA_Dra_000027,-1.83,
SAGA_Dra_000027,-1.52,-1.64
SAGA_Dra_000030,-2.38,
SAGA_Dra_000030,-2.07,-2.25
SAGA_Dra_000030,-2.26,
SAGA_Dra_000031,-2.13,-1.7
SAGA_Dra_000033,-2.04,
SAGA_Dra_000033,-1.76,-2.02
SAGA_Dra_000036,-2.29,
SAGA_Dra_000036,-1.96,-2.21
SAGA_Dra_000038,-1.6,
SAGA_Dra_000038,-1.25,-1.57
SAGA_Dra_000038,-1.46,
SAGA_Dra_000039,-1.57,
SAGA_Dra_000039,-1.32,-0.38
SAGA_Dra_000040,-2.03,
SAGA_Dra_000040,-1.73,-1.82
SAGA_Dra_000040,-1.95,
SAGA_Dra_000043,-2.01,
SAGA_Dra_000043,-1.72,-1.97
SAGA_Dra_000045,-1.52,-2
SAGA_Dra_000047,-1.32,-1.72
SAGA_Dra_000048,-1.21,
SAGA_Dra_000048,-0.91,-0.27
SAGA_Dra_000049,-2.07,
SAGA_Dra_000049,-1.75,-2.16
SAGA_Dra_000049,-1.87,
SAGA_Dra_000050,-2.1,
SAGA_Dra_000050,-1.8,-1.77
SAGA_Dra_000054,-2.33,
SAGA_Dra_000054,-2.2,-1.93
SAGA_Dra_000054,-2.01,-2.23
SAGA_Dra_000054,-2.19,
SAGA_Dra_000056,-2.49,-1.59
SAGA_Dra_000060,-2.04,
SAGA_Dra_000060,-1.69,-1.75
SAGA_Dra_000060,-1.89,
SAGA_Dra_000062,-2.51,-2.68
SAGA_Dra_000063,-1.98,
SAGA_Dra_000063,-1.65,-2.04
SAGA_Dra_000064,-1.79,
SAGA_Dra_000064,-1.47,-1.9
SAGA_Dra_000067,-1.79,
SAGA_Dra_000067,-1.46,-1.38
SAGA_Dra_000069,-1.78,
SAGA_Dra_000069,-1.53,-1.69
SAGA_Dra_000069,-1.72,
SAGA_Dra_000071,-2.48,
SAGA_Dra_000071,-2.2,-1.72
SAGA_Dra_000071,-2.44,
SAGA_Dra_000072,-2.27,-2.33
SAGA_Dra_000073,-1.97,
SAGA_Dra_000073,-1.92,-1.85
SAGA_Dra_000073,-1.71,-1.65
SAGA_Dra_000073,-1.89,
SAGA_Dra_000075,-1.76,-1.98
SAGA_Dra_000076,-2.4,
SAGA_Dra_000076,-2.08,-2.26
SAGA_Dra_000079,-1.85,
SAGA_Dra_000079,-1.56,-1.12
SAGA_Dra_000081,-2.01,
SAGA_Dra_000081,-1.67,-1.73
SAGA_Dra_000082,-1.81,
SAGA_Dra_000082,-1.48,-1.58
SAGA_Dra_000083,-2.32,-2.15
SAGA_Dra_000083,-2.03,-2.18
SAGA_Dra_000085,-2.21,
SAGA_Dra_000085,-1.92,-2.2
SAGA_Dra_000085,-2.12,
SAGA_Dra_000086,-1.78,
SAGA_Dra_000086,-1.48,-1.29
SAGA_Dra_000089,-1.99,-2.13
SAGA_Dra_000089,-2.12,
SAGA_Dra_000091,-1.49,
SAGA_Dra_000091,-1.19,-1.44
SAGA_Dra_000092,-1.99,
SAGA_Dra_000092,-1.69,-2.22
SAGA_Dra_000092,-1.89,
SAGA_Dra_000093,-1.45,
SAGA_Dra_000093,-1.13,-1.49
SAGA_Dra_000094,-2.02,
SAGA_Dra_000094,-1.69,-1.89
SAGA_Dra_000094,-1.93,
SAGA_Dra_000097,-3.24,-2.51
SAGA_Dra_000099,-2.2,
SAGA_Dra_000099,-1.89,-1.75
SAGA_Dra_000101,-2.52,
SAGA_Dra_000101,-2.21,-1.79
SAGA_Dra_000102,-1.54,-1.69
SAGA_Dra_000103,-2.07,
SAGA_Dra_000103,-1.76,-1.89
SAGA_Dra_000104,-2.19,
SAGA_Dra_000104,-1.85,-2.09
SAGA_Dra_000105,-1.84,
SAGA_Dra_000105,-1.54,-1.3
SAGA_Dra_000107,-2.02,
SAGA_Dra_000107,-1.66,-2
SAGA_Dra_000108,-2.51,
SAGA_Dra_000108,-2.18,-2.26
SAGA_Dra_000110,-1.87,
SAGA_Dra_000110,-1.54,-2.05
SAGA_Dra_000111,-1.99,
SAGA_Dra_000111,-1.67,-1.92
SAGA_Dra_000112,-2,
SAGA_Dra_000112,-1.68,-2.14
SAGA_Dra_000112,-1.92,
SAGA_Dra_000115,-2.28,
SAGA_Dra_000115,-2.05,-1.9
SAGA_Dra_000118,-1.99,
SAGA_Dra_000118,-1.69,-1.89
SAGA_Dra_000118,-1.88,
SAGA_Dra_000119,-1.38,
SAGA_Dra_000119,-1.14,-1.04
SAGA_Dra_000120,-2.01,
SAGA_Dra_000120,-1.71,-1.83
SAGA_Dra_000120,-1.88,
SAGA_Dra_000121,-2.15,
SAGA_Dra_000121,-1.81,-1.21
SAGA_Dra_000123,-1.77,-1.73
SAGA_Dra_000125,-1.92,
SAGA_Dra_000125,-1.59,-2.42
SAGA_Dra_000126,-1.44,-1.89
SAGA_Dra_000127,-1.88,-1.68
SAGA_Dra_000128,-1.81,
SAGA_Dra_000128,-1.5,-0.82
SAGA_Dra_000129,-1.5,
SAGA_Dra_000129,-1.2,-2
SAGA_Dra_000129,-1.49,
SAGA_Dra_000131,-1.46,
SAGA_Dra_000131,-1.14,-1.44
SAGA_Dra_000131,-1.34,
SAGA_Dra_000132,-1.56,
SAGA_Dra_000132,-1.22,-1.53
SAGA_Dra_000132,-1.37,
SAGA_Dra_000133,-2.15,
SAGA_Dra_000133,-1.85,-1.01
SAGA_Dra_000135,-2.09,-1.57
SAGA_Dra_000136,-1.54,
SAGA_Dra_000136,-1.23,-1.93
SAGA_Dra_000138,-1.94,
SAGA_Dra_000138,-1.63,-1.88
SAGA_Dra_000141,-2.01,
SAGA_Dra_000141,-1.71,-2.06
SAGA_Dra_000142,-2.15,
SAGA_Dra_000142,-1.87,-1.9
SAGA_Dra_000142,-1.83,-1.76
SAGA_Dra_000146,-2.08,
SAGA_Dra_000146,-1.71,-1.3
SAGA_Dra_000146,-1.9,
SAGA_Dra_000147,-2.1,
SAGA_Dra_000147,-1.79,-1.84
SAGA_Dra_000147,-1.92,
SAGA_Dra_000151,-2.12,-1.96
SAGA_Dra_000153,-1.92,
SAGA_Dra_000153,-1.58,-1.74
SAGA_Dra_000156,-1.55,
SAGA_Dra_000156,-1.14,-1.89
SAGA_Dra_000156,-1.18,
SAGA_Dra_000156,-1.45,
SAGA_Dra_000158,-1.92,
SAGA_Dra_000158,-1.55,-1.8
SAGA_Dra_000158,-1.77,
SAGA_Dra_000161,-1.6,-1.86
SAGA_Dra_000162,-2.15,
SAGA_Dra_000162,-1.86,-2.01
SAGA_Dra_000163,-1.79,
SAGA_Dra_000163,-1.49,-1.54
SAGA_Dra_000163,-1.7,
SAGA_Dra_000164,,
SAGA_Dra_000164,-2.27,
SAGA_Dra_000164,-2,-1.98
SAGA_Dra_000164,-2.19,
SAGA_Dra_000165,-2.01,
SAGA_Dra_000165,-1.67,-1.83
SAGA_Dra_000165,-1.86,
SAGA_Dra_000169,-2.03,
SAGA_Dra_000169,-1.9,-1.81
SAGA_Dra_000169,-1.72,-1.83
SAGA_Dra_000169,-1.87,
SAGA_Dra_000172,-2.86,
SAGA_Dra_000172,-2.59,-1.95
SAGA_Dra_000174,-1.88,-2.3
SAGA_Dra_000175,-2.54,
SAGA_Dra_000175,-2.22,-2.37
SAGA_Dra_000175,-2.35,
SAGA_Dra_000176,-1.65,-1.11
SAGA_Dra_000177,-2.25,
SAGA_Dra_000177,-2.34,-2.14
SAGA_Dra_000177,-1.94,-1.99
SAGA_Dra_000177,-2.14,
SAGA_Dra_000178,-2.8,-2.73
SAGA_Dra_000182,-2.62,
SAGA_Dra_000182,-2.31,-2.32
SAGA_Dra_000183,-2.01,
SAGA_Dra_000183,-1.68,-1.84
SAGA_Dra_000183,-1.87,
SAGA_Dra_000184,-2.06,-2.01
SAGA_Dra_000185,-2.36,
SAGA_Dra_000185,-2.05,-2.46
SAGA_Dra_000186,-2.29,
SAGA_Dra_000186,-1.98,-2.05
