Fe/H,Co/Fe
-3.28,0
-2.47,0.05
-3.26,0.14
-3.06,0.1
-2.72,0.05
-2.7,0.66
-3.33,-0.13
-2.78,0.15
-3.82,0.25
-3.24,0.34
-3.0,0.18
-3.08,0.06
-3.23,0.25
-2.62,0.07
-2.92,0.24
-2.27,0.18
-2.94,0.11
-2.69,0.03
-2.21,-0.0
-2.06,0.05
-3.5,0.57
-3.47,0.25
-2.76,0.24
-2.41,0.02
-2.5,-0.1
-2.68,-0.07
-2.46,0.2
-3.22,0.17
-3.25,0.42
-2.91,0.29
-2.56,0.07
-3.61,0.24
-1.77,-0.22
-2.4,0
-2.44,-0.13
-2.88,-0.07
-2.0,0.14
-3.22,-0.0
-2.34,0.21
-2.76,0.08
-3.13,-0.13
-2.93,0.28
-3.08,0
-3.28,0.64
-3.31,0.06
-3.3,0.33
-2.56,0.37
-3.57,0.14
-2.35,-0.31
-2.52,0.05
-2.96,0.47
-2.99,0.06
-3.2,0.5
-2.62,-0.06
-2.97,0.13
-2.65,0.23
-3.57,0.17
-3.98,0.2
-2.95,0.22
-2.62,0.14
-2.31,0.4
-2.13,0.06
-3.46,0.29
-3.08,0.09
-3.4,0.15
-2.47,0.1
-3.03,0.02
-1.98,-0.04
-2.95,-0.07
-3.05,0.03
-2.81,0.17
-2.61,0.08
-2.08,-0.19
-4.68,1.6
-2.58,0.31
-3.92,0.05
-3.23,0.21
-2.86,0.16
-2.58,0.03
-3.04,0.17
-2.56,0.18
-2.49,0.19
-2.53,0.06
-4.09,0.18
-2.83,0.26
-2.27,0.13
-3.99,0.28
-1.56,0.19
-2.82,0.01
-3.86,0.4
-3.06,-0.08
-2.73,0.15
-2.32,0.07
-3.14,0.02
-3.14,0.16
-2.68,-0.14
-2.19,0.02
-1.89,-0.01
-2.87,0.19
-2.64,0.15
-2.61,0.16
-2.43,0.16
-1.81,0.01
-2.88,-0.23
-1.95,-0.12
-1.82,-0.06
-2.42,0.03
-1.8,-0.07
-2.77,-0.02
-3.17,0.42
-2.97,-0.05
-2.55,0.12
-2.88,-0.08
-3.34,0.17
-3.42,0.3
-3.31,-0.37
-2.81,0.16
-2.72,0.05
-2.82,0.02
-2.33,0.12
-3.04,-0.08
-2.65,0.08
-3.0,0.16
-2.72,-0.02
-2.08,0.03
-3.19,0.23
-2.35,0.11
-2.52,0.27
-2.85,0.24
-2.41,-0.04
-3.1,0.24
-3.38,0.12
-2.4,0.01
-3.06,-0.02
-2.39,-0.07
-2.48,0.3
-2.61,0.06
-2.52,0.06
-2.74,0.2
-2.01,-0.05
-1.52,0.03
-3.01,0.12
-4.73,-0.06
-2.75,-0.11
-2.68,0.1
-2.62,0.1
-4.17,0.26
-3.02,0.26
-3.13,-0.16
-2.96,0.74
-2.39,-0.03
-3.28,0.9
-2.88,0.17
-2.33,0.25
-2.29,0.18
-3.34,0.15
-2.08,-0.42
-2.39,0.18
-2.8,0.25
-2.9,0.48
-2.65,0.07
-3.36,0.11
-2.69,0.05
-2.72,0.21
-2.71,0.12
-2.49,-0.12
-2.38,-0.03
-2.53,0.08
-2.31,0.08
-2.63,0.24
-3.12,0.26
-2.57,-0.02
-2.26,0.07
-2.16,-0.18
-3.0,0.14
-2.9,0.16
-2.94,0.22
-3.43,0.38
-2.97,0.11
-3.06,-0.04
-2.84,0.26
-2.04,-0.16
-2.44,0.23
-2.75,0.08
-1.96,-0.02
-2.3,-0.12
-2.91,0.17
-2.67,0.26
-3.81,0.32
-3.4,0.05
-2.61,0.01
-2.89,0.12
-3.23,0.27
-2.65,-0.08
-2.73,0.02
-2.86,0.53
-3.28,0.17
-2.95,0.05
-2.08,-0.1
-2.64,0.27
-3.25,0.37
-2.6,0.33
-3.02,0.15
-3.33,0.3
-3.14,0.05
-2.84,0.38
-4.15,0.28
-2.88,-0.01
-3.15,0.38
-3.31,-0.1
-2.98,0.08
-2.52,0.03
-2.82,0.17
-2.33,0.12
-2.46,0.07
-2.47,0.04
-2.34,-0.0
-1.9,-0.15
-2.85,0.24
-2.82,-0.1
-2.82,0.17
-3.45,0.41
-2.97,0.21
-2.37,-0.26
-3.17,0.07
-2.65,-0.05
-2.71,-0.11
-3.36,0.3
-2.78,0.28
-3.03,0.21
-2.7,0.32
-2.6,0.17
-2.38,1.46
-2.53,0.29
-3.3,0.22
-2.89,0.15
-2.71,0.69
-2.91,0.03
-2.41,0.16
-2.77,0.02
-3.41,0.02
-2.69,-0.06
-3.1,0.34
-3.2,0.63
-3.19,0.01
-3.06,-0.0
-3.53,-0.01
-3.18,0.22
-4.07,0.79
-4.06,-0.18
-3.49,0.03
-2.68,0.3
