# Object,[Fe/H],[Co/Fe]
SAGA_Car_000001,-1.94,-0.23
SAGA_Car_000001,-2.13,
SAGA_Car_000001,-2.02,
SAGA_Car_000003,-1.65,-0.15
SAGA_Car_000003,-2.19,
SAGA_Car_000003,-1.82,
SAGA_Car_000003,-1.82,
SAGA_Car_000004,-1.41,0
SAGA_Car_000004,-1.67,
SAGA_Car_000004,-1.29,-0.27
SAGA_Car_000004,-0.99,
SAGA_Car_000005,-1.59,0.03
SAGA_Car_000005,-1.7,
SAGA_Car_000005,-1.39,
SAGA_Car_000323,-1.3,-0.01
SAGA_Car_000323,-1.43,
SAGA_Car_000323,-2,
SAGA_Car_000323,-1.61,
SAGA_Car_000323,-1.53,
SAGA_Car_000324,-1.85,
SAGA_Car_000324,-1.6,-0.09
SAGA_Car_000324,-1.49,
SAGA_Car_000324,-1.63,
SAGA_Car_000429,-2.86,-0.26
SAGA_Car_000429,-2.62,
SAGA_Car_000438,-2.08,
SAGA_Car_000438,-1.72,-0.15
SAGA_Car_000438,-1.68,0.07
SAGA_Car_000438,-1.56,
SAGA_Car_000458,-1.58,0.09
SAGA_Car_000458,-1.33,
SAGA_Car_000477,-1.9,
SAGA_Car_000477,-1.59,0.15
SAGA_Car_000477,-1.56,
SAGA_Car_000513,-1.47,0.16
SAGA_Car_000513,-1.36,
SAGA_Car_000617,-1.95,
SAGA_Car_000617,-1.63,-0.2
SAGA_Car_000617,-1.56,
SAGA_Car_000617,-1.7,
SAGA_Car_000619,-1.68,0.02
SAGA_Car_000619,-1.89,
SAGA_Car_000619,-1.57,0.08
SAGA_Car_000619,-1.66,
SAGA_Car_000717,-1.35,-0.26
SAGA_Car_000717,-1.3,
SAGA_Car_000717,-1.92,
SAGA_Car_000717,-1.34,
SAGA_Car_000717,-1.39,
SAGA_Car_000897,-1.75,-0.27
SAGA_Car_000897,-1.88,
SAGA_Car_000897,-1.5,
SAGA_Car_000930,-1.53,-0.13
SAGA_Car_000930,-1.41,
SAGA_Car_000930,-1.76,
SAGA_Car_000930,-1.43,-0.03
