# Object	Reference	[Fe/H]	[C/Fe]
SAGA_Dra_000001	Fulbright,Jon.P+,ApJ, 612, 447, 2004	-2.93	-0.32
SAGA_Dra_000001	E.N.Kirby+,ApJ, 801, 125, 2015	-3.05	-1.01
SAGA_Dra_000001	M.D.Shetrone+,AJ, 145, 123, 2013	-2.91	-0.96
SAGA_Dra_000001	M.D.Shetrone+,AJ, 115, 1888, 1998	-2.97	
SAGA_Dra_000001	M.D.Shetrone+,ApJ, 548, 592, 2001	-2.97	
SAGA_Dra_000001	E.N.Kirby+,ApJS, 191, 352, 2010	-2.78	
SAGA_Dra_000001	G.E.Duggan+,ApJ, 869, 50, 2018	-3	
SAGA_Dra_000003	E.N.Kirby+,ApJ, 801, 125, 2015	-2.55	-0.41
SAGA_Dra_000003	M.D.Shetrone+,AJ, 145, 123, 2013	-2.47	-0.55
SAGA_Dra_000003	M.D.Shetrone+,AJ, 115, 1888, 1998	-2.36	
SAGA_Dra_000003	M.D.Shetrone+,ApJ, 548, 592, 2001	-2.36	
SAGA_Dra_000003	G.E.Duggan+,ApJ, 869, 50, 2018	-2.39	
SAGA_Dra_000004	E.N.Kirby+,ApJ, 801, 125, 2015	-1.77	-1.05
SAGA_Dra_000004	M.D.Shetrone+,AJ, 145, 123, 2013	-2.05	-0.68
SAGA_Dra_000004	M.D.Shetrone+,AJ, 115, 1888, 1998	-1.67	
SAGA_Dra_000004	M.D.Shetrone+,ApJ, 548, 592, 2001	-1.67	
SAGA_Dra_000004	E.N.Kirby+,ApJS, 191, 352, 2010	-1.55	
SAGA_Dra_000004	G.E.Duggan+,ApJ, 869, 50, 2018	-1.74	
SAGA_Dra_000005	E.N.Kirby+,ApJ, 801, 125, 2015	-2.05	-0.81
SAGA_Dra_000005	M.D.Shetrone+,ApJ, 548, 592, 2001	-1.86	
SAGA_Dra_000005	E.N.Kirby+,ApJS, 191, 352, 2010	-1.78	
SAGA_Dra_000005	G.E.Duggan+,ApJ, 869, 50, 2018	-1.95	
SAGA_Dra_000006	E.N.Kirby+,ApJ, 801, 125, 2015	-2.05	-0.66
SAGA_Dra_000006	M.D.Shetrone+,AJ, 145, 123, 2013	-2.11	-0.63
SAGA_Dra_000006	M.D.Shetrone+,ApJ, 548, 592, 2001	-1.72	
SAGA_Dra_000006	E.N.Kirby+,ApJS, 191, 352, 2010	-1.74	
SAGA_Dra_000006	G.E.Duggan+,ApJ, 869, 50, 2018	-1.99	
SAGA_Dra_000007	E.N.Kirby+,ApJ, 801, 125, 2015	-2.03	-0.83
SAGA_Dra_000007	J.G.Cohen+,ApJ, 701, 1053, 2009	-1.94	-0.43
SAGA_Dra_000007	E.N.Kirby+,ApJS, 191, 352, 2010	-1.73	
SAGA_Dra_000007	G.E.Duggan+,ApJ, 869, 50, 2018	-1.94	
SAGA_Dra_000008	J.G.Cohen+,ApJ, 701, 1053, 2009	-2.39	-0.28
SAGA_Dra_000009	E.N.Kirby+,ApJ, 801, 125, 2015	-2.6	-0.36
SAGA_Dra_000009	J.G.Cohen+,ApJ, 701, 1053, 2009	-2.5	-0.08
SAGA_Dra_000009	M.D.Shetrone+,AJ, 145, 123, 2013	-2.55	-0.43
SAGA_Dra_000009	E.N.Kirby+,ApJS, 191, 352, 2010	-2.33	
SAGA_Dra_000009	G.E.Duggan+,ApJ, 869, 50, 2018	-2.59	
SAGA_Dra_000009	T.Tsujimoto+,PASJ, 67, L3, 2015	-2.51	
SAGA_Dra_000010	E.N.Kirby+,ApJ, 801, 125, 2015	-1.74	-0.7
SAGA_Dra_000010	J.G.Cohen+,ApJ, 701, 1053, 2009	-1.54	-0.33
SAGA_Dra_000010	E.N.Kirby+,ApJS, 191, 352, 2010	-1.41	
SAGA_Dra_000010	G.E.Duggan+,ApJ, 869, 50, 2018	-1.63	
SAGA_Dra_000011	J.G.Cohen+,ApJ, 701, 1053, 2009	-2.7	-0.23
SAGA_Dra_000011	E.N.Kirby+,ApJS, 191, 352, 2010	-2.56	
SAGA_Dra_000012	J.G.Cohen+,ApJ, 701, 1053, 2009	-3.06	0.53
SAGA_Dra_000012	E.N.Kirby+,ApJS, 191, 352, 2010	-2.76	
SAGA_Dra_000013	E.N.Kirby+,ApJ, 801, 125, 2015	-1.87	-0.93
SAGA_Dra_000013	J.G.Cohen+,ApJ, 701, 1053, 2009	-1.78	-0.59
SAGA_Dra_000013	E.N.Kirby+,ApJS, 191, 352, 2010	-1.59	
SAGA_Dra_000013	G.E.Duggan+,ApJ, 869, 50, 2018	-1.75	
SAGA_Dra_000014	J.G.Cohen+,ApJ, 701, 1053, 2009	-2.04	-0.63
SAGA_Dra_000019	E.N.Kirby+,ApJ, 801, 125, 2015	-2.01	-0.59
SAGA_Dra_000019	E.N.Kirby+,ApJS, 191, 352, 2010	-1.75	
SAGA_Dra_000019	G.E.Duggan+,ApJ, 869, 50, 2018	-1.96	
SAGA_Dra_000021	T.Tsujimoto+,ApJ, 850, L12, 2017		
SAGA_Dra_000021	E.N.Kirby+,ApJ, 801, 125, 2015	-2.15	-1.02
SAGA_Dra_000021	E.N.Kirby+,ApJS, 191, 352, 2010	-1.87	
SAGA_Dra_000021	G.E.Duggan+,ApJ, 869, 50, 2018	-2.09	
SAGA_Dra_000024	E.N.Kirby+,ApJ, 801, 125, 2015	-2.01	0.29
SAGA_Dra_000024	E.N.Kirby+,ApJS, 191, 352, 2010	-1.76	
SAGA_Dra_000027	E.N.Kirby+,ApJ, 801, 125, 2015	-1.83	-0.09
SAGA_Dra_000027	E.N.Kirby+,ApJS, 191, 352, 2010	-1.52	
SAGA_Dra_000029	E.N.Kirby+,ApJ, 801, 125, 2015	-1.9	-0.27
SAGA_Dra_000029	E.N.Kirby+,ApJS, 191, 352, 2010	-1.64	
SAGA_Dra_000030	E.N.Kirby+,ApJ, 801, 125, 2015	-2.38	-0.35
SAGA_Dra_000030	E.N.Kirby+,ApJS, 191, 352, 2010	-2.07	
SAGA_Dra_000030	G.E.Duggan+,ApJ, 869, 50, 2018	-2.26	
SAGA_Dra_000034	E.N.Kirby+,ApJ, 801, 125, 2015	-2.33	-0.1
SAGA_Dra_000034	E.N.Kirby+,ApJS, 191, 352, 2010	-2.02	
SAGA_Dra_000036	E.N.Kirby+,ApJ, 801, 125, 2015	-2.29	0.08
SAGA_Dra_000036	E.N.Kirby+,ApJS, 191, 352, 2010	-1.96	
SAGA_Dra_000037	E.N.Kirby+,ApJ, 801, 125, 2015	-1.85	0.2
SAGA_Dra_000037	E.N.Kirby+,ApJS, 191, 352, 2010	-1.58	
SAGA_Dra_000038	E.N.Kirby+,ApJ, 801, 125, 2015	-1.6	-0.53
SAGA_Dra_000038	E.N.Kirby+,ApJS, 191, 352, 2010	-1.25	
SAGA_Dra_000038	G.E.Duggan+,ApJ, 869, 50, 2018	-1.46	
SAGA_Dra_000039	E.N.Kirby+,ApJ, 801, 125, 2015	-1.57	-0.22
SAGA_Dra_000039	E.N.Kirby+,ApJS, 191, 352, 2010	-1.32	
SAGA_Dra_000040	E.N.Kirby+,ApJ, 801, 125, 2015	-2.03	-0.89
SAGA_Dra_000040	E.N.Kirby+,ApJS, 191, 352, 2010	-1.73	
SAGA_Dra_000040	G.E.Duggan+,ApJ, 869, 50, 2018	-1.95	
SAGA_Dra_000042	E.N.Kirby+,ApJ, 801, 125, 2015	-1.88	-0.31
SAGA_Dra_000042	E.N.Kirby+,ApJS, 191, 352, 2010	-1.57	
SAGA_Dra_000043	E.N.Kirby+,ApJ, 801, 125, 2015	-2.01	-1.08
SAGA_Dra_000043	E.N.Kirby+,ApJS, 191, 352, 2010	-1.72	
SAGA_Dra_000049	E.N.Kirby+,ApJ, 801, 125, 2015	-2.07	-0.76
SAGA_Dra_000049	E.N.Kirby+,ApJS, 191, 352, 2010	-1.75	
SAGA_Dra_000049	G.E.Duggan+,ApJ, 869, 50, 2018	-1.87	
SAGA_Dra_000050	E.N.Kirby+,ApJ, 801, 125, 2015	-2.1	-0.12
SAGA_Dra_000050	E.N.Kirby+,ApJS, 191, 352, 2010	-1.8	
SAGA_Dra_000054	E.N.Kirby+,ApJ, 801, 125, 2015	-2.33	-0.61
SAGA_Dra_000054	M.D.Shetrone+,AJ, 145, 123, 2013	-2.2	-0.86
SAGA_Dra_000054	E.N.Kirby+,ApJS, 191, 352, 2010	-2.01	
SAGA_Dra_000054	G.E.Duggan+,ApJ, 869, 50, 2018	-2.19	
SAGA_Dra_000057	E.N.Kirby+,ApJ, 801, 125, 2015	-1.49	-0.5
SAGA_Dra_000057	E.N.Kirby+,ApJS, 191, 352, 2010	-1.16	
SAGA_Dra_000060	E.N.Kirby+,ApJ, 801, 125, 2015	-2.04	-0.77
SAGA_Dra_000060	E.N.Kirby+,ApJS, 191, 352, 2010	-1.69	
SAGA_Dra_000060	G.E.Duggan+,ApJ, 869, 50, 2018	-1.89	
SAGA_Dra_000063	E.N.Kirby+,ApJ, 801, 125, 2015	-1.98	-0.22
SAGA_Dra_000063	E.N.Kirby+,ApJS, 191, 352, 2010	-1.65	
SAGA_Dra_000064	E.N.Kirby+,ApJ, 801, 125, 2015	-1.79	-0.17
SAGA_Dra_000064	E.N.Kirby+,ApJS, 191, 352, 2010	-1.47	
SAGA_Dra_000067	E.N.Kirby+,ApJ, 801, 125, 2015	-1.79	-0.07
SAGA_Dra_000067	E.N.Kirby+,ApJS, 191, 352, 2010	-1.46	
SAGA_Dra_000069	E.N.Kirby+,ApJ, 801, 125, 2015	-1.78	-0.65
SAGA_Dra_000069	E.N.Kirby+,ApJS, 191, 352, 2010	-1.53	
SAGA_Dra_000069	G.E.Duggan+,ApJ, 869, 50, 2018	-1.72	
SAGA_Dra_000070	E.N.Kirby+,ApJ, 801, 125, 2015	-1.49	0.07
SAGA_Dra_000070	E.N.Kirby+,ApJS, 191, 352, 2010	-1.2	
SAGA_Dra_000071	E.N.Kirby+,ApJ, 801, 125, 2015	-2.48	-0.02
SAGA_Dra_000071	E.N.Kirby+,ApJS, 191, 352, 2010	-2.2	
