Name,ecc_mean,rperi_mean(kpc)
2MASS J00101758-1735387,0.038744917,7.999334102
2MASS J00002259-1302275,0.792063674,1.677901845
2MASS J00002416-1107454,0.749725297,2.38624912
HD 224930,0.250458418,4.874199457
2MASS J00021668-2453494,0.380010858,5.675216208
BPS CS 22957-036,0.848093557,0.773035196
HD 20,0.968919649,0.208055568
2MASS J00073817-0345509,0.84444275,0.830192385
2MASS J00093394-1857008,0.702521079,1.542861247
2MASS J00154806-6253207,0.838746827,0.818058158
2MASS J00172430-3333151,0.426446899,4.32871829
2MASS J00182832-3900338,0.531707,7.779116936
BPS CS 22882-001,0.755971773,1.535835103
2MASS J00223225-4839449,0.557759216,4.524364438
BPS CS 29497-004,0.480813352,4.742595797
2MASS J00400685-4325183,0.571149989,2.992073133
2MASS J00405260-5122491,0.926428821,0.317778175
2MASS J00413026-4058547,0.500652079,8.082672157
2MASS J00442897-1017497,0.908328704,0.439302936
2MASS J00452379-2112161,0.449589949,3.398091626
2MASS J00452879-5846450,0.950302614,0.614053336
2MASS J00453930-7457294,0.49201482,5.788534818
HE 0045-2430,0.859840223,1.857566372
2MASS J00482431-1041309,0.899362717,0.657690741
2MASS J00512646-1053170,0.628071879,2.555887201
2MASS J00524174-0902235,0.768116241,2.919045653
2MASS J00541965-0611555,0.750847598,1.445225803
HE 0057-4541,0.840010918,1.276343677
BPS CS 22953-003,0.821774505,1.545072453
BPS CS 22183-031,0.925550969,0.442786111
2MASS J01165010-6307441,0.92557961,0.367971167
2MASS J01202234-5425582,0.644260539,2.37728868
2MASS J01213447-2528002,0.419088819,4.203974118
2MASS J01293113-1600454,0.255370982,6.862762971
2MASS J01311599-4016510,0.943354505,0.308134068
2MASS J01321981-3040512,0.570485722,2.420515552
2MASS J01371888-1729037,0.80165179,1.63358651
2MASS J01373857-2618131,0.523376364,3.029321828
2MASS J01425422-5032488,0.407278248,3.758571324
2MASS J01425445-0904162,0.547062036,2.793975854
2MASS J01493760-4551222,0.986814724,0.085813023
2MASS J01530024-3417360,0.970829524,0.168119139
2MASS J01553180-4919420,0.678762326,4.624005575
2MASS J01555066-6400155,0.239888906,5.103784533
2MASS J01565634-1402108,0.882044904,0.891558954
BPS CS 22958-037,0.722045779,5.569531627
2MASS J02031860-7930291,0.270016969,5.501893525
2MASS J02070641-5009166,0.535049982,3.916814537
BPS CS 22958-052,0.652717351,2.159035325
2MASS J02165716-7547064,0.461015505,6.416996512
2MASS J02230804-3129531,0.597001715,2.620638781
2MASS J02265832-0749596,0.429626078,3.492627211
2MASS J02274104-0519230,0.615764746,5.902390933
2MASS J02355867-6745520,0.730304759,1.344593184
2MASS J02413897-0427349,0.696682069,3.04299614
2MASS J02462013-1518419,0.754379984,4.442782235
SMSS J024858.41-684306.4,0.86801129,6.398305769
2MASS J02500719-5145148,0.309336318,9.428060789
2MASS J02515281-3717316,0.663409619,1.886036624
2MASS J02570028-3024374,0.776506204,1.067066089
BPS CS 31078-018,0.526587786,3.17487463
HE 0300-0751,0.733386225,17.95273188
2MASS J03071478-0534554,0.833842061,1.077347207
2MASS J03073894-0502491,0.597954041,5.344300265
2MASS J03084611-4747083,0.967860757,0.359280142
2MASS J03133726-1020553,0.835071545,1.329762526
2MASS J03154102-7626329,0.586168875,4.224062614
BPS CS 22968-026,0.974615598,0.163113236
2MASS J03210882-3944213,0.543131882,3.067750621
2MASS J03270229+0132322,0.353811874,8.953456907
BPS CS 29526-110,0.38690936,4.363148575
HE 0328-1047,0.538315741,4.444181967
HE 0337-5127,0.452828287,3.717391477
2MASS J03422816-6500355,0.633069208,1.87721348
SMSS J034249.53-284216.0,0.515378075,4.933692355
HE 0341-4024,0.944219125,0.27977321
2MASS J03434624-0924169,0.860010667,1.429502453
BPS CS 29529-054,0.826137363,0.857561854
2MASS J04012191-2635058,0.964007609,0.19976263
2MASS J04121388-1205050,0.63922769,2.539289422
BPS CS 22186-005,0.875888445,0.837185351
BPS CS 22186-002,0.734731662,2.066613667
2MASS J04182158-2323391,0.927258064,0.399220401
2MASS J04192966-0517491,0.892417715,0.675666032
BPS CS 22182-033,0.726744145,1.785247412
HE 0420+0123a,0.651345301,2.020129385
BPS CS 22186-025,0.710401281,4.713204684
2MASS J04245677-6500173,0.694061632,1.721814302
2MASS J04263084-4058516,0.633521245,2.328898861
HE 0430-4901,0.665920713,1.994062177
2MASS J04315411-0632100,0.281343069,5.014114933
HE 0432-0923,0.506257592,5.577130857
HE 0442-1234,0.162115536,10.57649872
BPS CS 22191-029,0.121185703,10.68759423
2MASS J04520910-6209121,0.747203652,1.291699966
2MASS J04530168-2437144,0.666765218,11.5837259
2MASS J04565146-3115427,0.931892191,0.341921795
2MASS J05030025-7601462,0.72661944,1.66940913
SMSS J051008.62-372019.8,0.31039481,5.038080502
HE 0512-3835,0.932720811,0.626870111
HE 0516-3820,0.528952463,3.004269176
HE 0524-2055,0.642144743,3.953142526
2MASS J05311779-5810048,0.692646666,1.799890311
HE 0534-4615,0.835680877,1.205638839
2MASS J05381700-7516207,0.425687451,3.513842185
2MASS J05383296-5904280,0.475621825,3.204927826
HE 0538-4515,0.243683803,5.311497788
2MASS J05521578-3953184,0.610266745,2.3974435
2MASS J05564771-6639054,0.904864697,0.56506268
2MASS J06090353-7122260,0.650974187,1.828420843
2MASS J06195001-5312114,0.266017672,5.320597043
SMSS J062609.83-590503.2,0.527159463,7.962563205
2MASS J06290787-6709523,0.271774618,5.412189889
2MASS J06320130-2026538,0.368961816,4.210513139
2MASS J06332771-3519240,0.782683848,1.671886503
SMSS J063447.15-622355.0,0.886084361,7.907102585
2MASS J06392518-7414056,0.534724138,2.408664672
2MASS J06401317-3540444,0.904092572,0.461024655
2MASS J07052028-3343242,0.984644965,0.161591209
2MASS J07150266-0154092,0.108172668,9.378268089
2MASS J07161594-5135248,0.794969496,1.005918059
2MASS J07202253-3358518,0.778008015,7.138142362
2MASS J07250021-7022038,0.734451481,1.574423008
2MASS J07352232-4425010,0.978153204,0.137981822
2MASS J07393021-5548171,0.824161585,0.954094957
BD-01:1792,0.954311794,0.246002195
2MASS J07411443-4339360,0.674301881,4.744713254
2MASS J07501424-4123454,0.902287797,0.970663841
2MASS J08015897-5752032,0.763107578,2.53102994
2MASS J08032084-5856521,0.447320166,3.142036967
2MASS J08134364-2332528,0.478519797,3.320593278
2MASS J08155667-2204105,0.719436357,1.659258158
2MASS J08393460-2122069,0.931060889,0.397176834
2MASS J08594093-1415151,0.891533107,0.853155295
2MASS J09185890-2311511,0.830714157,4.071390948
2MASS J09255655-3450373,0.853880105,0.854196907
2MASS J09261133-1526232,0.923820851,0.800350124
2MASS J09284944-0738585,0.417832334,3.996603012
2MASS J09364069-2038386,0.575711533,2.862463222
2MASS J09463483-0626532,0.883882195,0.865231632
