Fe/H,Eu/Fe
-2.78,1.72
-2.68,1.71
-1.77,0.32
-2.44,0.17
-2.88,0.18
-3.22,0.33
-2.34,0.55
-3.13,0.92
-3.08,0.02
-2.56,0.51
-3.57,0.91
-2.35,0.08
-2.99,-0.07
-3.03,0.36
-1.98,0.48
-2.86,0.76
-2.58,1.9
-2.83,1.14
-2.27,0.76
-2.96,-0.31
-1.56,0.55
-3.06,-0.26
-2.73,0.64
-2.68,0.17
-2.61,0.59
-2.42,-0.09
-2.97,0.02
-2.72,0.65
-3.04,-0.55
-3.0,0.53
-2.72,1.15
-3.19,1.24
-2.41,0.51
-2.4,0.29
-2.39,0.36
-2.48,0.62
-2.74,0.47
-2.01,0.49
-2.75,-0.02
-2.29,0.78
-2.39,0.22
-2.88,0.92
-2.08,0.13
-2.39,0.12
-2.72,1.06
-2.49,0.87
-2.53,0.24
-2.16,0.34
-3.0,0.48
-2.97,1.39
-2.44,0.58
-2.75,0.24
-2.61,0.21
-2.08,0.49
-2.88,0.52
-3.31,0.03
-2.98,0.16
-2.2,0.51
-2.52,0.4
-2.33,0.24
-2.46,0.47
-2.82,0.49
-2.37,1.52
-2.71,0.47
-3.03,0.71
-2.53,0.66
-2.89,0.07
-2.64,0.22
-2.41,0.87
-2.77,0.3
-3.41,0.41
-2.69,-0.17
-3.18,0.26
-4.06,0.11
-3.49,0.1
-2.68,0.84
-2.98,-0.19
-3.31,-0.32
-3.83,-0.03
-2.35,0.07
-3.27,0.28
-3.44,-0.48
-2.81,-0.11
-2.22,0.46
-2.47,1.87
-2.54,0.61
-2.41,0.18
-2.43,-0.02
-2.81,-0.11
-2.49,0.2
-3.13,-0.04
-2.07,0.68
-1.85,0.44
-3.14,-0.18
-2.66,0.74
-2.74,0.01
-2.81,-0.2
-2.85,0.68
-2.73,0.6
-3.1,1.63
-1.7,0.57
-2.58,-0.15
-2.55,0.17
-2.77,0.34
-3.07,-0.25
-2.58,1.04
-2.6,1.05
-2.61,0.37
-3.03,-0.44
-2.75,1.1
-2.21,0.54
-2.87,0.94
-2.94,1.12
-1.93,0.52
-2.78,0.97
-2.92,0.26
-3.11,0.39
-3.43,0.67
-2.58,0.44
-2.61,0.39
-2.56,-0.26
-2.62,0.6
-2.98,-0.31
-1.24,0.35
-2.62,0.36
-2.48,0.28
-3.18,0.04
-2.92,0.12
-3.09,1.44
-2.75,0.02
-2.58,0.08
-3.2,-0.41
-3.0,-0.11
-1.8,0.45
-2.5,-0.63
-2.72,0.22
-2.0,0.18
-2.1,0.42
-2.27,0.12
-2.31,0.1
-2.06,0.87
-1.71,0.39
-2.93,-0.07
-1.35,0.66
-2.48,0.53
-2.85,0.19
-2.85,0.04
-3.14,0.25
-2.58,0.55
-2.84,0.33
-3.19,0.2
-2.76,0.48
-3.22,0.31
-2.9,1.79
-3.05,-0.21
-2.48,0.78
-2.54,-0.01
-2.83,0.35
-2.62,0.32
-2.36,0.36
-2.51,0.08
-1.52,0.23
-0.72,0.36
-2.96,0.81
-1.84,0.24
-1.89,0.51
-2.26,0.31
-2.97,-0.8
-1.81,0.37
-3.29,0.24
-2.52,-0.28
-1.7,0.37
-2.97,-0.04
-1.0,-0.21
-1.0,-0.07
-1.45,0.45
-1.99,0.25
-2.75,0.23
-1.69,0.24
-2.39,0.12
-1.51,0.95
-1.5,0.11
-0.28,0
-1.7,0.46
-1.32,0.36
-1.72,0.48
-2.21,0.41
-1.7,0.34
-2.16,0.78
-1.5,0.31
-3.29,-0.33
-0.7,0.31
-2.8,-0.14
-1.71,0
-2.45,0.08
-2.03,0.16
-2.16,0.02
-2.86,-0.58
-2.39,0.49
-2.82,0.43
-1.7,0.06
-1.56,0.62
-1.02,0.53
-1.4,0.15
-1.81,0.38
-3.29,-0.51
-3.75,-0.5
-3.46,0.21
-3.03,0.79
-2.89,-0.56
-2.88,1.52
-3.65,-0.2
-3.0,0.14
-2.67,1.68
-3.67,0.13
-3.35,0.58
-3.41,1.16
-2.23,0.47
-2.32,-0.55
-2.32,0.4
-2.56,0.45
-2.53,0.51
-1.59,0.08
-2.81,0.13
-2.71,0.34
-2.87,0
-3.71,1
-2.33,0.31
-3.2,0.95
-2.72,0.1
-2.77,1.06
-3.41,0.89
-2.48,-0.49
-2.08,0.21
-2.4,0.36
-1.48,0.3
-1.86,0.37
-1.98,0.25
-2.59,0.12
-2.1,0.28
-2.35,0.08
-2.54,0.17
-2.73,0.31
-2.61,1.14
-2.66,0.31
-2.24,0.68
-2.48,0.56
-2.2,0.23
-2.51,0.12
-2.77,0.42
-2.17,1.75
-2.46,1.02
-3.0,0.19
-2.4,0.43
-3.33,0.66
-1.29,0.4
-2.43,-0.14
-2.31,0.29
-2.58,0.74
-1.89,0.22
-2.56,0.94
-2.87,0.11
-2.38,-0.24
-2.75,0.1
-2.24,1.23
-3.1,0.01
-3.0,1.86
-2.88,0.19
-2.42,2
-3.18,0.02
-2.35,0.58
-2.63,0.26
-2.91,1.54
-2.9,0.29
-2.91,0.69
-2.99,0.65
-2.2,0.22
-2.06,0.33
-1.86,0.19
-2.3,0.46
-1.5,0.35
