JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,Eu/Ni
58,ROE14b,CS22882-001,2MASS_J00202529-3139040, -2.62,0.66
67,ROE14b,CS30339-052,2MASS_J00225014-3407207, -2.69,0.6
105,ROE14b,CS22942-011,2MASS_J00541299-2504338, -2.88,0.1
109,ROE14b,CS22166-016,2MASS_J00582384-1447068, -3.22,0.26
131,ROE14b,CS22953-003,2MASS_J01021585-6143458, -3.13,0.74
136,ROE14b,CS22942-035,2MASS_J01035747-2352452, -3.08, -0.12
147,ROE14b,CS22183-031,2MASS_J01090507-0443211, -3.57,0.78
149,ROE14b,CS29514-017,2MASS_J01094480-2616549, -2.35,0.15
263,ROE14b,CS22185-007,2MASS_J03173604-1517227, -3.06, -0.36
276,ROE14b,CS22172-029,2MASS_J03304535-1037098, -2.68,0.02
298,ROE14b,CS30494-003,2MASS_J03591002-2106479, -2.97, -0.1
299,ROE14b,CS29529-054,2MASS_J03592387-6210089, -2.55,0.61
320,ROE14b,CS22186-002,2MASS_J04135721-3646255, -2.72,0.59
324,ROE14b,CS22186-023,2MASS_J04194553-3651359, -3.04, -0.6
327,ROE14b,CS22182-033,2MASS_J04231047-3037041, -2.65,0.51
410,ROE14b,G146-76,2MASS_J10595749+4446439, -2.08,0.19
512,ROE14b,CS22877-001,2MASS_J13135537-1211415, -3.31,0.09
617,ROE14b,CS22890-024,2MASS_J15160539-0003578, -2.77,0.2
625,ROE14b,CS30312-059,2MASS_J15344884-0123372, -3.41,0.42
630,ROE14b,CS30312-100,2MASS_J15433166+0201174, -2.69, -0.37
671,ROE14b,CS22891-200,2MASS_J19351908-6142243, -4.06,0.25
676,ROE14b,CS22891-209,2MASS_J19420216-6103446, -3.49,0.02
722,ROE14b,CS30314-067,2MASS_J20525098-3419405, -3.31, -0.38
727,ROE14b,CS22897-008,2MASS_J21031185-6505088, -3.83, -0.3
745,ROE14b,CS30492-110,2MASS_J21214583-3808579, -3.27,0.2
763,ROE14b,CS29495-042,2MASS_J21391140-2817544, -2.54,0.58
784,ROE14b,CS22965-016,2MASS_J21570791-0434083, -3.13, -0.31
811,ROE14b,CS22881-036,2MASS_J22075843-4044164, -2.34,0.5
856,ROE14b,CS22960-064,2MASS_J22240014-4235160, -2.77,0.22
950,ROE14b,CS22945-028,2MASS_J23311355-6629578, -2.92,0.2
952,ROE14b,CS22941-017,2MASS_J23325017-3359254, -3.11,0.31
961,ROE14b,CS22945-024,2MASS_J23364248-6535437, -2.58,0.46
995,ROE14b,CS22957-013,2MASS_J23554905-0522528, -2.98, -0.32
1008,ROE14b,BD-012582,BD-01_2582, -2.62,0.35
1034,ROE14b,HE1320-1339,BD-13_3695, -3.18, -0.15
1037,ROE14b,BD-155781,BD-15_5781, -2.92,0.06
1047,ROE14b,CS31082-001,BD-16_251, -3.09,1.36
1062,ROE14b,BD-185550,BD-18_5550, -3.2, -0.5
1066,ROE14b,BD-206008,BD-20_6008, -3.0, -0.11
1152,ROE14b,BD+233130,BD+23_3130, -2.93, -0.05
1232,ROE14b,CS22191-029,BPS_CS_22191-0029, -2.94,0.24
1248,ROE14b,CS22875-029,BPS_CS_22875-0029, -2.71,0.98
1252,ROE14b,CS22877-015,BPS_CS_22877-0015, -2.12,0.81
1258,ROE14b,CS22879-029,BPS_CS_22879-0029, -2.55,0.58
1264,ROE14b,CS22879-103,BPS_CS_22879-0103, -2.16,0.04
1281,ROE14b,CS22886-012,BPS_CS_22886-0012, -2.88,1.16
1288,ROE14b,CS22888-047,BPS_CS_22888-0047, -2.54,0.85
1305,ROE14b,CS22896-015,BPS_CS_22896-0015, -2.85,0.16
1306,ROE14b,CS22896-055,BPS_CS_22896-0055, -2.52,0.4
1308,ROE14b,CS22896-110,BPS_CS_22896-0110, -2.85, -0.12
1310,ROE14b,CS22896-136,BPS_CS_22896-0136, -2.41,0.93
1320,ROE14b,CS22940-121,BPS_CS_22940-0121, -3.14,0.09
1327,ROE14b,CS22943-132,BPS_CS_22943-0132, -2.63,0.79
