Name,energy_mean(km^2 s^(-2)),j_phi(kpc s^(-1)),Lz
2MASS J00101758-1735387,-153753.5716,-705.4602332,705.4602332
2MASS J00002259-1302275,-150286.9814,-572.0016688,572.0016688
2MASS J00002416-1107454,-143011.6038,783.8600238,-783.8600238
HD 224930,-168319.4197,-1411.983371,1411.983371
2MASS J00021668-2453494,-148068.5714,-1067.694789,1067.694789
BPS CS 22957-0036,-172559.9995,304.679553,-304.679553
HD 20,-157785.7007,-97.77487992,97.77487992
2MASS J00073817-0345509,-171474.6458,-114.9236508,114.9236508
2MASS J00093394-1857008,-175810.3046,603.1714132,-603.1714132
HE 0010-3422,-170034.1678,125.4381172,-125.4381172
2MASS J00154806-6253207,-158538.2878,-1321.410194,1321.410194
2MASS J00172430-3333151,-118499.9261,-834.6152067,834.6152067
2MASS J00182832-3900338,-161910.4528,403.8167014,-403.8167014
BPS CS 22882-0001,-141844.1715,1308.243202,-1308.243202
2MASS J00223225-4839449,-148153.7044,-1402.577536,1402.577536
BPS CS 30339-0052,-159424.921,687.6170633,-687.6170633
BPS CS 29497-0004,-182152.4324,-141.3701104,141.3701104
2MASS J00400685-4325183,-119976.4561,-749.6016924,749.6016924
2MASS J00405260-5122491,-172566.7559,132.0981286,-132.0981286
2MASS J00413026-4058547,-168130.3453,-988.7888662,988.7888662
J004305.27+194859.2,-127014.039,-235.9093243,235.9093243
2MASS J00442897-1017497,-136585.5791,-230.3719088,230.3719088
2MASS J00452379-2112161,-125430.8937,729.1711193,-729.1711193
2MASS J00452879-5846450,-160297.3733,-301.7674239,301.7674239
2MASS J00453930-7457294,-160589.4871,-811.1567189,811.1567189
HE 0045-2430,-129018.4273,-943.4856226,943.4856226
2MASS J00482431-1041309,-165230.7813,-141.9199507,141.9199507
2MASS J00512646-1053170,-150069.6339,454.6542547,-454.6542547
2MASS J00524174-0902235,-146438.6023,542.7917419,-542.7917419
2MASS J00532781-0253169,-164556.9653,-21.77859874,21.77859874
2MASS J00541965-0611555,-174825.1423,166.2591282,-166.2591282
HE 0057-4541,-163041.7297,-916.4647328,916.4647328
BPS CS 22953-0003,-160095.7048,1126.719198,-1126.719198
BPS CS 22183-0031,-148350.3455,920.6534634,-920.6534634
2MASS J01165010-6307441,-164840.1683,44.78144851,-44.78144851
2MASS J01202234-5425582,-170553.1659,-611.7705488,611.7705488
2MASS J01213447-2528002,-148043.3573,-8.038631232,8.038631232
2MASS J01293113-1600454,-165569.256,-871.028975,871.028975
2MASS J01311599-4016510,-168603.9426,1226.971555,-1226.971555
2MASS J01321981-3040512,-168402.9976,-992.2261327,992.2261327
2MASS J01371888-1729037,-157839.7615,-1.72916129,1.72916129
2MASS J01373857-2618131,-165627.3607,70.33614373,-70.33614373
2MASS J01425422-5032488,-124049.7819,-1745.334004,1745.334004
2MASS J01425445-0904162,-165176.9696,1254.938066,-1254.938066
2MASS J01493760-4551222,-152002.6564,-359.5646065,359.5646065
2MASS J01530024-3417360,-107860.023,-1720.409574,1720.409574
2MASS J01553180-4919420,-158826.9643,-1270.292705,1270.292705
2MASS J01555066-6400155,-151822.2534,-1255.620927,1255.620927
2MASS J01565634-1402108,-166902.5664,-840.571846,840.571846
BPS CS 22958-0037,-135224.9456,-1938.328136,1938.328136
2MASS J02031860-7930291,-163920.2168,-851.4521151,851.4521151
2MASS J02070641-5009166,-169125.0471,-1047.367886,1047.367886
BPS CS 22958-0052,-121364.2005,-774.5462461,774.5462461
2MASS J02165716-7547064,-177293.8393,-509.5021061,509.5021061
2MASS J02230804-3129531,-141611.6895,1197.211348,-1197.211348
2MASS J02265832-0749596,-112281.3386,1860.732976,-1860.732976
2MASS J02274104-0519230,-68538.9682,-2866.530439,2866.530439
2MASS J02355867-6745520,-129269.1076,-626.3219205,626.3219205
2MASS J02413897-0427349,-172056.8418,-646.7655486,646.7655486
HE 0240-0807,-179210.196,-444.3889213,444.3889213
BD+42:621,-164301.1684,-1130.522112,1130.522112
2MASS J02462013-1518419,-56257.25794,5977.115238,-5977.115238
BM028,-159585.4272,-344.0282889,344.0282889
SMSS J024858.41-684306.4,-128470.3047,-1387.729938,1387.729938
2MASS J02500719-5145148,-131347.0448,81.91888054,-81.91888054
2MASS J02515281-3717316,-150631.8309,540.0175443,-540.0175443
2MASS J02570028-3024374,-140932.1919,-583.8696599,583.8696599
BPS CS 31078-0018,-159881.5334,10.25982774,-10.25982774
HE 0300-0751,-163269.7595,1003.160869,-1003.160869
2MASS J03071478-0534554,-128364.3696,-1312.394777,1312.394777
2MASS J03073894-0502491,-160128.8472,851.402511,-851.402511
2MASS J03084611-4747083,-145188.8545,1460.791496,-1460.791496
2MASS J03133726-1020553,-163130.2681,-1058.946924,1058.946924
2MASS J03154102-7626329,-177898.9706,-711.6961213,711.6961213
HE 0315+0000,-142449.4979,-1366.088401,1366.088401
BPS CS 22968-0026,-173671.1128,128.3712337,-128.3712337
2MASS J03210882-3944213,-138100.639,-639.5167638,639.5167638
2MASS J03270229+0132322,-176448.8925,-339.1335743,339.1335743
HE 0328-1047,-167776.3076,87.12870275,-87.12870275
HE 0337-5127,-159312.8721,-821.970367,821.970367
2MASS J03422816-6500355,-157382.9932,-223.2833135,223.2833135
SMSS J034249.53-284216.0,-153696.0819,831.1668352,-831.1668352
HE 0341-4024,-169170.637,-186.4577094,186.4577094
2MASS J03434624-0924169,-161379.8799,292.2096019,-292.2096019
BPS CS 29529-0054,-162452.8674,707.5747368,-707.5747368
2MASS J04012191-2635058,-168372.3164,-616.4039339,616.4039339
RAVE J040618.2-030525,-117804.2331,-1747.523165,1747.523165
2MASS J04121388-1205050,-169693.903,-599.7079732,599.7079732
BPS CS 22186-0005,-164792.1488,-802.7067191,802.7067191
BPS CS 22186-0002,-167485.6575,-709.9016696,709.9016696
2MASS J04182158-2323391,-162589.1239,1144.265085,-1144.265085
2MASS J04192966-0517491,-137442.1392,-1625.671529,1625.671529
BPS CS 22182-0033,-133679.1262,2587.947817,-2587.947817
HE 0420+0123a,-135409.6124,-910.3570842,910.3570842
BPS CS 22186-0025,-171696.4535,309.2373932,-309.2373932
2MASS J04245677-6500173,-83954.27413,3619.375174,-3619.375174
2MASS J04263084-4058516,-171235.726,134.9852219,-134.9852219
HE 0429-4620,-163222.3542,133.8851787,-133.8851787
HE 0430-4901,-159309.0721,814.1214832,-814.1214832
2MASS J04315411-0632100,-140918.3353,268.7294182,-268.7294182
HE 0432-0923,-166465.9107,-1037.94454,1037.94454
HE 0442-1234,-137328.3368,-1404.75682,1404.75682
BPS CS 22191-0029,-169301.0516,-694.9098302,694.9098302
2MASS J04520910-6209121,-155418.5901,-455.7963841,455.7963841
2MASS J04530168-2437144,-169658.5864,-1117.346897,1117.346897
2MASS J04565146-3115427,-167830.4806,-858.6242363,858.6242363
2MASS J05030025-7601462,-163474.565,-1487.412524,1487.412524
SMSS J051008.62-372019.8,-167948.6216,-898.790635,898.790635
BM056,-165426.5503,-267.960097,267.960097
HE 0512-3835,-171443.3956,314.5954614,-314.5954614
HE 0516-3820,-160915.4867,-1270.450827,1270.450827
2MASS J05241392-0336543,-117932.2782,-2749.731932,2749.731932
HE 0524-2055,-159532.408,-1255.840614,1255.840614
2MASS J05311779-5810048,-165285.3464,-1280.409299,1280.409299
HE 0534-4615,-154211.9899,756.4839702,-756.4839702
2MASS J05381700-7516207,-55619.26291,-3730.697599,3730.697599
2MASS J05383296-5904280,-178409.3167,-845.991758,845.991758
HE 0538-4515,-173242.8199,-159.9815012,159.9815012
2MASS J05521578-3953184,-134505.0794,62.72341141,-62.72341141
2MASS J05564771-6639054,-142922.1688,-2407.585337,2407.585337
2MASS J06090353-7122260,-177261.3035,408.6720349,-408.6720349
2MASS J06195001-5312114,-86142.30233,30.27293538,-30.27293538
SMSS J062609.83-590503.2,-168067.5284,625.8366126,-625.8366126
2MASS J06290787-6709523,-160646.2766,49.16988925,-49.16988925
2MASS J06320130-2026538,-169637.2315,366.5787277,-366.5787277
2MASS J06332771-3519240,-169580.6226,-107.9463567,107.9463567
SMSS J063447.15-622355.0,-123512.5964,1682.82286,-1682.82286
2MASS J06392518-7414056,-139018.4868,495.7696389,-495.7696389
2MASS J06401317-3540444,-137557.5464,-1122.455291,1122.455291
J064813.33+323105.2,-173935.4654,-1031.985837,1031.985837
2MASS J07052028-3343242,-166260.649,-982.6143972,982.6143972
2MASS J07150266-0154092,-164878.3556,166.1938555,-166.1938555
2MASS J07161594-5135248,-165365.8323,173.332142,-173.332142
2MASS J07202253-3358518,-149810.3407,331.2244836,-331.2244836
2MASS J07250021-7022038,-98191.97826,-1830.352151,1830.352151
2MASS J07352232-4425010,-166953.1825,377.0190429,-377.0190429
2MASS J07393021-5548171,-135887.3636,424.1071469,-424.1071469
BD-01:1792,-164099.2841,-1317.855393,1317.855393
2MASS J07411443-4339360,-163452.3554,1054.894646,-1054.894646
RAVE J074824.3-483141,-151470.4038,-137.1614911,137.1614911
2MASS J07501424-4123454,-145033.7485,1478.332634,-1478.332634
2MASS J08015897-5752032,-170404.2156,-1000.356276,1000.356276
2MASS J08032084-5856521,-143272.7207,36.17328138,-36.17328138
2MASS J08134364-2332528,-174052.0097,134.3557584,-134.3557584
2MASS J08155667-2204105,-169164.2175,87.7265823,-87.7265823
2MASS J08393460-2122069,-172442.2273,-877.1216939,877.1216939
2MASS J08580584-0809174,-163949.3844,-1254.756248,1254.756248
2MASS J08594093-1415151,-154976.6497,-1792.47746,1792.47746
2MASS J09185890-2311511,-148857.6953,229.8649441,-229.8649441
J092157.27+503404.7,-165853.9635,-1341.515185,1341.515185
2MASS J09255655-3450373,-146365.3689,20.90931597,-20.90931597
2MASS J09261133-1526232,-179355.2113,399.4053466,-399.4053466
2MASS J09284944-0738585,-178394.6824,208.1321777,-208.1321777
2MASS J09364069-2038386,-171170.1778,-389.2975166,389.2975166
2MASS J09463483-0626532,-174925.5554,-504.629819,504.629819
2MASS J09531322+0744515,-136567.2758,-1713.072517,1713.072517
2MASS J09544277+5246414,-152656.6547,1413.224944,-1413.224944
2MASS J09574607-3923072,-180050.8859,-161.7840014,161.7840014
2MASS J09580181-1446137,-173139.9973,-754.7429022,754.7429022
2MASS J10025125-4331098,-13286.90345,-3974.549913,3974.549913
2MASS J10044858-2706500,-161350.0475,-1097.10022,1097.10022
2MASS J10063414-7030212,-171426.0972,-360.8765775,360.8765775
2MASS J10082492-2314124,-163139.7991,685.908234,-685.908234
2MASS J10121964-3221347,-176990.0834,-168.9139128,168.9139128
2MASS J10191573-1924464,-143116.0597,240.2433946,-240.2433946
2MASS J10194932-4900584,-159588.6172,-1369.549193,1369.549193
2MASS J10223779-3400209,-164582.2859,-116.3764233,116.3764233
2MASS J10302845-7543299,-171929.6722,-881.8348463,881.8348463
2MASS J10345348-1117221,-182386.5771,-204.620145,204.620145
2MASS J10362687-3746174,-168616.284,-3.5866039,3.5866039
2MASS J10401894-4106124,-123602.6436,-363.7334272,363.7334272
HE 1044-2509,-112420.5635,2885.200291,-2885.200291
2MASS J10492192-1154173,-159874.5357,215.9872166,-215.9872166
2MASS J10513692-2115466,-170687.2763,-165.4035459,165.4035459
SMSS J105320.99-435300.1,-119890.2811,1966.748948,-1966.748948
J1054+0528,-126486.9091,-655.28242,655.28242
2MASS J10550658+1931580,-188650.6314,53.92915852,-53.92915852
2MASS J10594136-2052253,-137483.6613,-705.6548961,705.6548961
2MASS J11014865-3749526,-107599.9072,-174.2839316,174.2839316
LAMOST J110901+075441,-158329.2238,-815.814274,815.814274
2MASS J11165400-7250160,-112828.2273,1135.642263,-1135.642263
LAMOST J112456.61+453531.,-174741.641,68.11905299,-68.11905299
HE 1127-1143,-163242.3232,248.0710064,-248.0710064
2MASS J11301705-1449325,-151576.1738,-139.8107696,139.8107696
2MASS J11303693+0224037,-141068.3216,-544.8557671,544.8557671
HE 1131+0141,-158270.0526,1081.365289,-1081.365289
2MASS J11370170-5401298,-153223.5485,-948.1765502,948.1765502
2MASS J11404726-0833030,-158471.0846,-1243.731107,1243.731107
2MASS J11404944-1615396,-166647.8557,-1218.315151,1218.315151
BD+26:2251,-150660.3798,299.5517826,-299.5517826
2MASS J11444086-0409511,-141742.8074,519.9409314,-519.9409314
2MASS J11444480-1128167,-123653.0366,-1829.693868,1829.693868
2MASS J11463882-0422395,-164209.3947,688.1244506,-688.1244506
2MASS J11471027+0341265,-145090.1114,-1071.485068,1071.485068
2MASS J11472988-0521444,-172889.01,-112.6638931,112.6638931
2MASS J11510227-6940416,-128647.2115,1899.944437,-1899.944437
HD 103095,-109842.7701,1426.947923,-1426.947923
2MASS J11543613-0133450,-178043.9551,-816.5623645,816.5623645
RAVE J115941.7-382043,-169239.0387,-804.8229163,804.8229163
2MASS J12044314-2911051,-186696.1799,-111.160435,111.160435
2MASS J12045624-0759232,-168010.6416,-908.7706404,908.7706404
2MASS J12070990-3653243,-163803.5178,127.4105443,-127.4105443
2MASS J12091322-1415313,-178516.9268,-991.6442995,991.6442995
2MASS J12102259-4902190,-183138.7259,-403.8145456,403.8145456
HD 106373,-167345.0335,-588.0285031,588.0285031
HE 1212-0127,-147113.8787,114.1882758,-114.1882758
HE 1214-1819,-165502.2196,589.733136,-589.733136
2MASS J12170829+0415146,-186007.6382,-62.8935838,62.8935838
2MASS J12203297+0257138,-151067.5825,585.0056077,-585.0056077
HE 1219-0312,-179064.753,458.569195,-458.569195
HD 107752,-172313.5787,-1181.421359,1181.421359
2MASS J12233047-4216365,-163495.5492,-1108.55068,1108.55068
2MASS J12255123-2351074,-179217.7085,548.2823901,-548.2823901
HD 108317,-170639.245,-630.92295,630.92295
HD 108577,-111689.0089,-1094.581077,1094.581077
2MASS J12292696-0442325,-132017.8775,-1189.753049,1189.753049
HE 1226-1149,-147018.7319,538.4204277,-538.4204277
2MASS J12341308-3149577,-184783.8692,-142.0417179,142.0417179
2MASS J12351734+0945333,-138953.2331,521.4442698,-521.4442698
RAVE J123550.1-313111,-149273.8242,8.043797297,-8.043797297
2MASS J12405721-4051430,-87449.22569,-507.9823112,507.9823112
2MASS J12503987-0307485,-184040.8891,-381.0747006,381.0747006
2MASS J12535742-3801355,-163273.2225,-274.3398896,274.3398896
2MASS J12563137-0834098,-177633.7944,-187.22346,187.22346
2MASS J12571667-4335318,-171567.3461,-803.3483473,803.3483473
HE 1256-0228,-151111.4064,-1069.960393,1069.960393
2MASS J12591462-7049592,-175790.6275,76.48511808,-76.48511808
2MASS J13052137-1137220,-166144.6936,-1182.84063,1182.84063
RAVE J130524.5-393126,-182786.3496,137.2198258,-137.2198258
2MASS J13101305-3342369,-183614.0462,777.5218067,-777.5218067
HE 1311-1412,-121119.3839,-1399.68357,1399.68357
BPS CS 22877-0015,-155677.0477,-1151.33909,1151.33909
HD 115444,-118127.068,1441.046093,-1441.046093
2MASS J13164824-2743351,-162807.6808,388.8537109,-388.8537109
2MASS J13214178-4320055,-147410.3438,-1198.066544,1198.066544
2MASS J13254554-1747547,-116966.045,-1112.445109,1112.445109
2MASS J13261792-0945176,-170942.566,593.1491866,-593.1491866
2MASS J13315746-1929446,-166654.2728,-1521.342162,1521.342162
2MASS J13330890-4654079,-168213.1943,-606.8461656,606.8461656
HD 118055,-186263.0241,-308.2047321,308.2047321
2MASS J13351401-0110524,-143844.3425,301.2589566,-301.2589566
SMSS J133532.32-210632.9,-180268.566,777.1678307,-777.1678307
2MASS J13374885-0826176,-149303.0812,-1745.810619,1745.810619
2MASS J13425404-0717005,-165237.6275,-986.2744336,986.2744336
HD 119516,-171540.6826,-1254.48763,1254.48763
BPS BS 16089-0013,-129772.509,-1313.961668,1313.961668
2MASS J13494713-7423395,-162717.669,33.61107637,-33.61107637
2MASS J13511539-7340363,-179390.0994,-428.5799422,428.5799422
2MASS J13524835+1254216,-96059.03818,2187.256895,-2187.256895
2MASS J14004919+4551581,-164584.535,832.1336389,-832.1336389
2MASS J14032900-5250429,-131378.3881,302.3781852,-302.3781852
2MASS J14043762+0011117,-188133.3696,567.8497181,-567.8497181
HD 122956,-168388.623,-1004.55024,1004.55024
2MASS J14100568-0701443,-164895.1882,-767.7660346,767.7660346
2MASS J14101587-0343553,-178990.4024,-545.096112,545.096112
2MASS J14155955-3219255,-169416.8221,717.0449193,-717.0449193
2MASS J14180866-2842077,-109826.9015,-2112.5225,2112.5225
2MASS J14191395-0844410,-143640.0432,1464.065451,-1464.065451
BD+01:2916,-177597.5467,-739.5564047,739.5564047
2MASS J14232679-2834200,-191143.5516,754.6446429,-754.6446429
2MASS J14234371-4025526,-181171.1065,430.5909954,-430.5909954
BD+08:2856,-125751.4417,-895.456642,895.456642
BPS CS 22883-0037,-172785.2428,-1116.917856,1116.917856
2MASS J14301385-2317388,-162902.1555,-1428.426635,1428.426635
BD+18:2890,-177518.0654,73.34357051,-73.34357051
HE 1429-0347,-194318.4709,115.0462151,-115.0462151
2MASS J14325334-4125494,-175033.5811,473.5807231,-473.5807231
HE 1430+0053,-184654.6649,-827.7489909,827.7489909
2MASS J14354680-1124122,-171590.9405,-839.226701,839.226701
BPS BS 16083-0172,-168182.7647,-1365.241502,1365.241502
2MASS J14534137+0040467,-162419.6363,-57.28051453,57.28051453
2MASS J14543792+0830379,-169660.1335,-717.7699537,717.7699537
2MASS J14590234-0916105,-150060.9515,800.181612,-800.181612
