Name,j_phi(kpc s^(-1)),energy_mean(km^2 s^(-2))
2MASS J00101758-1735387,-705.4602332,-153753.5716
2MASS J00002259-1302275,-572.0016688,-150286.9814
2MASS J00002416-1107454,783.8600238,-143011.6038
HD 224930,-1411.983371,-168319.4197
2MASS J00021668-2453494,-1067.694789,-148068.5714
BPS CS 22957-036,304.679553,-172559.9995
HD 20,-97.77487992,-157785.7007
2MASS J00073817-0345509,-114.9236508,-171474.6458
2MASS J00093394-1857008,603.1714132,-175810.3046
2MASS J00154806-6253207,125.4381172,-170034.1678
2MASS J00172430-3333151,-1321.410194,-158538.2878
2MASS J00182832-3900338,-834.6152067,-118499.9261
BPS CS 22882-001,403.8167014,-161910.4528
2MASS J00223225-4839449,1308.243202,-141844.1715
BPS CS 29497-004,-1402.577536,-148153.7044
2MASS J00400685-4325183,687.6170633,-159424.921
2MASS J00405260-5122491,-141.3701104,-182152.4324
2MASS J00413026-4058547,-749.6016924,-119976.4561
2MASS J00442897-1017497,132.0981286,-172566.7559
2MASS J00452379-2112161,-988.7888662,-168130.3453
2MASS J00452879-5846450,-235.9093243,-127014.039
2MASS J00453930-7457294,-230.3719088,-136585.5791
HE 0045-2430,729.1711193,-125430.8937
2MASS J00482431-1041309,-301.7674239,-160297.3733
2MASS J00512646-1053170,-811.1567189,-160589.4871
2MASS J00524174-0902235,-943.4856226,-129018.4273
2MASS J00541965-0611555,-141.9199507,-165230.7813
HE 0057-4541,454.6542547,-150069.6339
BPS CS 22953-003,542.7917419,-146438.6023
BPS CS 22183-031,-21.77859874,-164556.9653
2MASS J01165010-6307441,166.2591282,-174825.1423
2MASS J01202234-5425582,-916.4647328,-163041.7297
2MASS J01213447-2528002,1126.719198,-160095.7048
2MASS J01293113-1600454,920.6534634,-148350.3455
2MASS J01311599-4016510,44.78144851,-164840.1683
2MASS J01321981-3040512,-611.7705488,-170553.1659
2MASS J01371888-1729037,-8.038631232,-148043.3573
2MASS J01373857-2618131,-871.028975,-165569.256
2MASS J01425422-5032488,1226.971555,-168603.9426
2MASS J01425445-0904162,-992.2261327,-168402.9976
2MASS J01493760-4551222,-1.72916129,-157839.7615
2MASS J01530024-3417360,70.33614373,-165627.3607
2MASS J01553180-4919420,-1745.334004,-124049.7819
2MASS J01555066-6400155,1254.938066,-165176.9696
2MASS J01565634-1402108,-359.5646065,-152002.6564
BPS CS 22958-037,-1720.409574,-107860.023
2MASS J02031860-7930291,-1270.292705,-158826.9643
2MASS J02070641-5009166,-1255.620927,-151822.2534
BPS CS 22958-052,-840.571846,-166902.5664
2MASS J02165716-7547064,-1938.328136,-135224.9456
2MASS J02230804-3129531,-851.4521151,-163920.2168
2MASS J02265832-0749596,-1047.367886,-169125.0471
2MASS J02274104-0519230,-774.5462461,-121364.2005
2MASS J02355867-6745520,-509.5021061,-177293.8393
2MASS J02413897-0427349,1197.211348,-141611.6895
2MASS J02462013-1518419,1860.732976,-112281.3386
SMSS J024858.41-684306.4,-2866.530439,-68538.9682
2MASS J02500719-5145148,-626.3219205,-129269.1076
2MASS J02515281-3717316,-646.7655486,-172056.8418
2MASS J02570028-3024374,-444.3889213,-179210.196
BPS CS 31078-018,-1130.522112,-164301.1684
HE 0300-0751,5977.115238,-56257.25794
2MASS J03071478-0534554,-344.0282889,-159585.4272
2MASS J03073894-0502491,-1387.729938,-128470.3047
2MASS J03084611-4747083,81.91888054,-131347.0448
2MASS J03133726-1020553,540.0175443,-150631.8309
2MASS J03154102-7626329,-583.8696599,-140932.1919
BPS CS 22968-026,10.25982774,-159881.5334
2MASS J03210882-3944213,1003.160869,-163269.7595
2MASS J03270229+0132322,-1312.394777,-128364.3696
BPS CS 29526-110,851.402511,-160128.8472
HE 0328-1047,1460.791496,-145188.8545
HE 0337-5127,-1058.946924,-163130.2681
2MASS J03422816-6500355,-711.6961213,-177898.9706
SMSS J034249.53-284216.0,-1366.088401,-142449.4979
HE 0341-4024,128.3712337,-173671.1128
2MASS J03434624-0924169,-639.5167638,-138100.639
BPS CS 29529-054,-339.1335743,-176448.8925
2MASS J04012191-2635058,87.12870275,-167776.3076
2MASS J04121388-1205050,-821.970367,-159312.8721
BPS CS 22186-005,-223.2833135,-157382.9932
BPS CS 22186-002,831.1668352,-153696.0819
2MASS J04182158-2323391,-186.4577094,-169170.637
2MASS J04192966-0517491,292.2096019,-161379.8799
BPS CS 22182-033,707.5747368,-162452.8674
HE 0420+0123a,-616.4039339,-168372.3164
BPS CS 22186-025,-1747.523165,-117804.2331
2MASS J04245677-6500173,-599.7079732,-169693.903
2MASS J04263084-4058516,-802.7067191,-164792.1488
HE 0430-4901,-709.9016696,-167485.6575
2MASS J04315411-0632100,1144.265085,-162589.1239
HE 0432-0923,-1625.671529,-137442.1392
HE 0442-1234,2587.947817,-133679.1262
BPS CS 22191-029,-910.3570842,-135409.6124
2MASS J04520910-6209121,309.2373932,-171696.4535
2MASS J04530168-2437144,3619.375174,-83954.27413
2MASS J04565146-3115427,134.9852219,-171235.726
2MASS J05030025-7601462,133.8851787,-163222.3542
SMSS J051008.62-372019.8,814.1214832,-159309.0721
HE 0512-3835,268.7294182,-140918.3353
HE 0516-3820,-1037.94454,-166465.9107
HE 0524-2055,-1404.75682,-137328.3368
2MASS J05311779-5810048,-694.9098302,-169301.0516
HE 0534-4615,-455.7963841,-155418.5901
2MASS J05381700-7516207,-1117.346897,-169658.5864
2MASS J05383296-5904280,-858.6242363,-167830.4806
HE 0538-4515,-1487.412524,-163474.565
2MASS J05521578-3953184,-898.790635,-167948.6216
2MASS J05564771-6639054,-267.960097,-165426.5503
2MASS J06090353-7122260,314.5954614,-171443.3956
2MASS J06195001-5312114,-1270.450827,-160915.4867
SMSS J062609.83-590503.2,-2749.731932,-117932.2782
2MASS J06290787-6709523,-1255.840614,-159532.408
2MASS J06320130-2026538,-1280.409299,-165285.3464
2MASS J06332771-3519240,756.4839702,-154211.9899
SMSS J063447.15-622355.0,-3730.697599,-55619.26291
2MASS J06392518-7414056,-845.991758,-178409.3167
2MASS J06401317-3540444,-159.9815012,-173242.8199
2MASS J07052028-3343242,62.72341141,-134505.0794
2MASS J07150266-0154092,-2407.585337,-142922.1688
2MASS J07161594-5135248,408.6720349,-177261.3035
2MASS J07202253-3358518,30.27293538,-86142.30233
