# Object,[Fe/H],[K/Fe]
SAGA_Dra_000008,-2.39,0.49
SAGA_Dra_000009,-2.5,0.24
SAGA_Dra_000009,-2.6,
SAGA_Dra_000009,-2.55,
SAGA_Dra_000009,-2.33,
SAGA_Dra_000009,-2.51,
SAGA_Dra_000009,-2.59,
SAGA_Dra_000011,-2.7,0.42
SAGA_Dra_000011,-2.56,
SAGA_Dra_000012,-3.06,0.7
SAGA_Dra_000012,-2.76,
SAGA_Dra_000013,-1.78,0.39
SAGA_Dra_000013,-1.87,
SAGA_Dra_000013,-1.59,
SAGA_Dra_000013,-1.75,
SAGA_Scl_000026,-1.89,
SAGA_Scl_000026,-2.03,
SAGA_Scl_000026,-2.03,0.45
SAGA_Scl_000442,-2.38,0.4
SAGA_UMi_000008,-2.47,0.36
SAGA_UMi_000025,-2.48,0.54
SAGA_UMi_000034,-3.13,0.59
SAGA_UMi_000082,-1.6,0.35
SAGA_UMi_000098,-1.4,0.02
SAGA_UMi_000136,-3.15,0.18
SAGA_UMi_000151,-2.2,0.49
SAGA_UMi_000220,-2.12,
SAGA_UMi_000220,-1.81,0.3
SAGA_UMi_000220,-1.92,
SAGA_UMi_000220,-2.09,
SAGA_UMi_000221,-2.13,0.39
SAGA_UMi_000222,-1.96,0.4
