JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,K/Fe
54,ROE14b,CS30339-015,2MASS_J00165810-3348175, -3.0,0.43
66,ROE14b,CS22882-006,2MASS_J00215986-2929265, -2.94,0.23
105,ROE14b,CS22942-011,2MASS_J00541299-2504338, -2.88,0.11
147,ROE14b,CS22183-031,2MASS_J01090507-0443211, -3.57,0.77
149,ROE14b,CS29514-017,2MASS_J01094480-2616549, -2.35,0.01
263,ROE14b,CS22185-007,2MASS_J03173604-1517227, -3.06,0.53
276,ROE14b,CS22172-029,2MASS_J03304535-1037098, -2.68,0.32
298,ROE14b,CS30494-003,2MASS_J03591002-2106479, -2.97,0.32
313,ROE14b,CS22169-035,2MASS_J04121388-1205050, -3.31,0.45
320,ROE14b,CS22186-002,2MASS_J04135721-3646255, -2.72,0.13
321,ROE14b,CS22186-017,2MASS_J04162226-3417576, -2.82,0.33
420,ROE14b,HE1124-2335,2MASS_J11272694-2352056, -3.36,0.3
630,ROE14b,CS30312-100,2MASS_J15433166+0201174, -2.69,0.08
671,ROE14b,CS22891-200,2MASS_J19351908-6142243, -4.06,0.32
692,ROE14b,CS22873-128,2MASS_J20070379-5834575, -3.32,0.77
706,ROE14b,CS22950-046,2MASS_J20212839-1316336, -4.12,0.59
722,ROE14b,CS30314-067,2MASS_J20525098-3419405, -3.31,0.28
727,ROE14b,CS22897-008,2MASS_J21031185-6505088, -3.83,0.37
735,ROE14b,CS29498-043,2MASS_J21035211-2942502, -3.87,0.45
745,ROE14b,CS30492-110,2MASS_J21214583-3808579, -3.27,0.32
784,ROE14b,CS22965-016,2MASS_J21570791-0434083, -3.13,0.33
811,ROE14b,CS22881-036,2MASS_J22075843-4044164, -2.34,0.17
853,ROE14b,CS29502-092,2MASS_J22223599-0138275, -3.3,0.26
856,ROE14b,CS22960-064,2MASS_J22240014-4235160, -2.77,0.36
950,ROE14b,CS22945-028,2MASS_J23311355-6629578, -2.92,0.27
952,ROE14b,CS22941-017,2MASS_J23325017-3359254, -3.11,0.25
961,ROE14b,CS22945-024,2MASS_J23364248-6535437, -2.58,0.21
995,ROE14b,CS22957-013,2MASS_J23554905-0522528, -2.98,0.2
1002,ROE14b,CS22957-027,2MASS_J23591314-0353482, -3.19,0.04
1008,ROE14b,BD-012582,BD-01_2582, -2.62,0.23
1034,ROE14b,HE1320-1339,BD-13_3695, -3.18,0.38
1037,ROE14b,BD-155781,BD-15_5781, -2.92,0.17
1066,ROE14b,BD-206008,BD-20_6008, -3.0,0.32
1160,ROE14b,BD+241676,BD+24_1676, -2.7,0.31
1183,ROE14b,G190-15,BD+38_4955, -3.12,0.15
1257,ROE14b,CS22879-012,BPS_CS_22879-0012, -3.01,0.15
1276,ROE14b,CS22884-020,BPS_CS_22884-0020, -2.48,0.41
1280,ROE14b,CS22885-203,BPS_CS_22885-0203, -2.73,0.32
1281,ROE14b,CS22886-012,BPS_CS_22886-0012, -2.88,0.47
1299,ROE14b,CS22893-010,BPS_CS_22893-0010, -3.12,0.43
1301,ROE14b,CS22894-004,BPS_CS_22894-0004, -2.96,0.74
1305,ROE14b,CS22896-015,BPS_CS_22896-0015, -2.85,0.24
1308,ROE14b,CS22896-110,BPS_CS_22896-0110, -2.85,0.51
1355,ROE14b,CS22951-059,BPS_CS_22951-0059, -2.84,0.26
1368,ROE14b,CS22956-106,BPS_CS_22956-0106, -2.69,0.37
1378,ROE14b,CS22958-065,BPS_CS_22958-0065, -2.29,0.2
1379,ROE14b,CS22958-074,BPS_CS_22958-0074, -2.67,0.32
1387,ROE14b,CS22964-176,BPS_CS_22964-0176, -2.56,0.25
1401,ROE14b,CS22968-026,BPS_CS_22968-0026, -2.57,0.32
1407,ROE14b,CS29495-005,BPS_CS_29495-0005, -2.44,0.65
1433,ROE14b,CS29513-014,BPS_CS_29513-0014, -2.32,0.28
1438,ROE14b,CS29517-018,BPS_CS_29517-0018, -2.78,0.26
1478,ROE14b,HE0336-2412,CD-24_1782, -3.05,0.49
1561,ROE14b,G25-24,G_25-24, -2.11,0.07
1575,ROE14b,G90-3,G_90-3, -2.4,0.27
1591,ROE14b,HD106373,HD_106373, -2.61,0.23
1609,ROE14b,HD108317,HD_108317, -2.62,0.25
1637,ROE14b,HD11582,HD_11582, -1.84,0.24
1671,ROE14b,HD122563,HD_122563, -2.97,0.3
1688,ROE14b,HD126587,HD_126587, -3.29,0.46
1721,ROE14b,HD13979,HD_13979, -2.97,0.31
1772,ROE14b,HD175606,HD_175606, -2.39,0.31
1775,ROE14b,HD178443,HD_178443, -1.99,0.31
1802,ROE14b,HD19445,HD_19445, -2.29,0.14
1821,ROE14b,HD200654,HD_200654, -3.13,0.37
1840,ROE14b,HD214362,HD_214362, -2.06,0.18
1953,ROE14b,HD64090,HD_64090, -2.03,0.09
2093,ROE14b,G180-58,LHS_3199, -2.6,0.08
2168,ROE14b,HE0938+0114,Ross_889, -3.09,0.31
2172,ROE14b,CS29514-018,SB_467, -2.84,0.4
2538,ROE14b,CS22943-095,TYC_8406-355-1, -2.52,0.56
