Fe/H,Li/Fe
-3.28,2.86
-2.78,2.84
-3.82,3.69
-3.24,3.22
-3.08,2.95
-3.47,3.89
-3.61,3.45
-2.88,2.75
-3.22,2.69
-2.34,2.43
-3.13,2.72
-2.93,3
-3.08,2.9
-2.56,2.67
-3.57,3.16
-2.35,2.82
-2.96,3.37
-2.65,1.5
-3.98,4.2
-3.05,2.92
-3.92,3.39
-2.58,2.5
-4.09,3.78
-3.99,3.31
-3.86,3.13
-3.06,2.79
-2.68,2.3
-2.97,2.72
-3.31,2.17
-2.72,3.69
-3.04,2.37
-3.0,1.8
-3.38,3.28
-2.48,2.39
-4.73,4.38
-4.17,3.87
-2.08,1.99
-3.36,3.11
-4.15,3.9
-3.15,2.52
-3.31,2.92
-2.37,2.22
-2.71,2.28
-3.36,3.21
-3.3,2
-2.77,2.64
-3.41,3.06
-2.69,2.7
-3.53,2.91
-4.07,4.62
-4.06,3.14
-3.49,2.82
-2.68,2.78
-2.98,1.58
-3.32,3.05
-4.41,3.88
-4.12,3.02
-3.64,4.48
-3.31,1.85
-3.83,3.55
-3.87,2.77
-3.27,2.6
-3.22,2.75
-2.81,2.14
-2.54,2.41
-3.29,2.65
-3.22,3.17
-2.81,2.68
-3.13,2.38
-3.67,3.43
-2.81,2.2
-2.85,1.5
-3.64,3.14
-3.91,3.57
-3.1,2.2
-3.19,3.04
-3.3,2.7
-2.77,2.58
-3.07,2.35
-2.61,2.54
-3.03,1.88
-2.75,2
-3.55,2.94
-4.38,3.46
-2.78,2.72
-2.92,2.67
-3.11,3.1
-2.58,2.28
-3.87,2.97
-2.61,2.91
-2.62,2.07
-2.98,2.79
-3.19,3
-2.62,2.21
-3.18,2.39
-2.92,1.31
-3.09,2.81
-3.2,2.85
-3.0,2
-2.31,1.83
-2.06,1.21
-2.93,2.74
-2.15,2.35
-4.28,3.87
-2.04,2.49
-2.92,1.32
-3.23,2.74
-3.23,3.63
-3.28,2.97
-3.55,4.16
-3.23,3.25
-2.99,3.48
-3.12,4.64
-2.85,2.72
-2.85,2.74
-3.51,3.54
-3.1,2.85
-3.14,2.72
-2.58,3.52
-2.84,3.03
-2.75,3.58
-3.19,2.72
-2.6,2.17
-2.76,3.8
-3.22,2.96
-3.93,3.53
-3.3,4.1
-3.05,2.75
-2.48,2
-3.77,3.39
-4.59,3.55
-2.54,2.58
-2.62,2.04
-1.52,1.32
-1.84,1.71
-2.26,2.35
-2.97,1.77
-3.29,3.03
-2.52,2.39
-2.97,1.92
-1.45,1.44
-1.99,1.62
-2.75,1.6
-2.39,1.89
-3.13,2.91
-0.28,0.57
-1.32,0.29
-1.72,1.6
-3.29,2.79
-2.8,2.48
-1.94,2.11
-2.45,1.1
-2.82,1.83
-1.56,1.56
-3.29,2.23
-5.67,5.56
-3.7,3.24
-3.32,3.01
-3.03,2.91
-3.21,2.74
-3.5,2.9
-2.88,2.6
-3.0,2.35
-3.88,3.26
-3.68,3
-2.23,3.24
-7.3,>6.95
-4.34,4.99
-5.0,4.75
-3.73,3.03
-3.1,2.66
-2.98,2.65
-2.88,2.33
-2.19,1.4
-3.78,3.79
-3.83,3.58
