Fe/H,Mg/Fe
-0.92,0.42
-3.28,0.46
-3.26,0.67
-3.06,0.39
-2.72,0.23
-3.33,0.31
-2.78,0.34
-3.82,0.68
-3.24,0.68
-3.08,0.66
-3.23,0.23
-2.3,0.3
-2.68,0.29
-3.47,0.51
-2.5,-0.02
-2.68,0.31
-3.22,0.25
-3.61,0.56
-1.77,-0.06
-2.44,0.29
-2.88,0.44
-3.22,0.69
-2.34,0.39
-3.13,0.39
-2.93,0.64
-3.08,0.47
-3.31,0.23
-3.3,0.19
-2.56,0.38
-2.64,0.25
-3.57,0.77
-2.35,0.35
-2.52,0.28
-2.96,0.29
-2.99,0.33
-2.97,0.41
-2.65,0.14
-3.57,0.42
-3.08,0.35
-3.98,0.25
-2.95,0.39
-2.62,0
-3.46,0.87
-3.08,0.38
-2.47,0.32
-3.03,0.52
-1.98,-0.03
-2.14,0.5
-2.95,0.54
-2.27,0.02
-3.05,0.59
-2.81,0.36
-2.61,0.24
-3.92,0.44
-3.23,0.28
-2.86,0.49
-2.58,1.08
-3.04,0.31
-2.49,0.2
-2.53,0.24
-4.09,0.58
-2.83,0.39
-2.27,0.18
-3.99,0.57
-2.96,0.35
-1.56,0.4
-2.82,0.6
-3.86,0.18
-3.06,0.49
-2.73,0.24
-3.14,0.65
-3.14,0.36
-2.68,0.55
-2.87,0.31
-2.61,0.31
-2.88,-0.06
-2.42,0.4
-3.17,0.19
-2.97,0.48
-2.88,-0.04
-3.34,0.41
-2.13,0.4
-3.31,0.3
-2.72,0.2
-3.04,0.34
-3.0,0.34
-2.72,0.15
-3.19,0.32
-2.35,0.2
-2.52,0.33
-2.41,0.29
-3.1,0.2
-3.38,0.54
-2.4,0.27
-3.06,0.3
-2.39,0.31
-2.48,0.43
-2.61,0.18
-2.52,0.22
-2.74,0.74
-2.01,0.21
-3.01,0.11
-4.73,0.16
-2.75,0.24
-3.22,0.58
-2.29,0.77
-4.17,1.81
-3.02,0.33
-3.13,0.43
-2.96,0.35
-2.39,0.38
-2.39,0.38
-2.81,0.45
-2.88,0.27
-3.34,0.25
-2.08,0.31
-2.39,0.52
-3.36,0.59
-2.72,0.2
-2.49,0.22
-2.53,0.18
-2.32,0.33
-3.21,0.34
-2.39,0.48
-3.12,0.18
-2.16,0.11
-3.0,0.36
-2.9,0.33
-2.97,0.35
-3.06,0.26
-2.44,0.15
-2.75,0.45
-2.91,0.19
-2.67,0.2
-3.81,0.56
-3.4,0.48
-2.61,0.22
-2.89,0.24
-3.23,0.24
-2.65,0.08
-2.73,0.04
-2.86,0.12
-3.28,0.49
-2.95,0.24
-2.08,0.25
-3.25,0.38
-3.02,0.24
-3.33,0.42
-3.14,0.02
-2.84,0.3
-4.15,0.42
-2.88,0.24
-3.15,0.49
