# Object,[Fe/H],[Mg/Fe]
SAGA_Car_000001,-1.94,0.04
SAGA_Car_000001,-2.13,0.24
SAGA_Car_000001,-2.02,
SAGA_Car_000002,-1.6,0.21
SAGA_Car_000002,-1.68,0.43
SAGA_Car_000002,,
SAGA_Car_000003,-1.65,-0.29
SAGA_Car_000003,-2.19,0.34
SAGA_Car_000003,-1.82,-0.23
SAGA_Car_000003,-1.82,
SAGA_Car_000004,-1.41,0.22
SAGA_Car_000004,-1.67,0.56
SAGA_Car_000004,-1.29,0.12
SAGA_Car_000004,-0.99,
SAGA_Car_000005,-1.59,0.24
SAGA_Car_000005,-1.7,0.59
SAGA_Car_000005,-1.39,
SAGA_Car_000258,-2.53,0.39
SAGA_Car_000258,-2.33,0.75
SAGA_Car_000258,-2.04,
SAGA_Car_000323,-1.3,0.09
SAGA_Car_000323,-1.43,0.1
SAGA_Car_000323,-2,0.63
SAGA_Car_000323,-1.61,0.33
SAGA_Car_000323,-1.53,
SAGA_Car_000324,-1.85,0.33
SAGA_Car_000324,-1.6,0.28
SAGA_Car_000324,-1.49,0.42
SAGA_Car_000324,-1.63,
SAGA_Car_000370,-1.85,0.72
SAGA_Car_000370,-1.52,0.52
SAGA_Car_000370,-1.43,
SAGA_Car_000398,-2.81,0.48
SAGA_Car_000398,,
SAGA_Car_000398,-2.86,
SAGA_Car_000401,-1.55,0.39
SAGA_Car_000401,-1.54,
SAGA_Car_000409,-2.08,0.44
SAGA_Car_000409,-1.89,0.26
SAGA_Car_000409,-1.74,
SAGA_Car_000420,-2.51,0.39
SAGA_Car_000420,-2.29,
SAGA_Car_000429,-2.86,0.22
SAGA_Car_000429,-2.62,
SAGA_Car_000437,-2.08,-0.56
SAGA_Car_000437,-1.99,-0.45
SAGA_Car_000437,-1.96,-0.42
SAGA_Car_000437,-2.13,
SAGA_Car_000438,-2.08,0.38
SAGA_Car_000438,-1.72,0.25
SAGA_Car_000438,-1.68,0.3
SAGA_Car_000438,-1.56,
SAGA_Car_000458,-1.58,0.19
SAGA_Car_000458,-1.33,
SAGA_Car_000462,-1.93,0.35
SAGA_Car_000462,-1.35,0.1
SAGA_Car_000462,-1.47,
SAGA_Car_000477,-1.9,-0.01
SAGA_Car_000477,-1.59,0.1
SAGA_Car_000477,-1.56,
SAGA_Car_000495,-1.52,-0.26
SAGA_Car_000495,-1.84,0.45
SAGA_Car_000495,-1.42,0.15
SAGA_Car_000495,-1.61,
SAGA_Car_000513,-1.47,0.25
SAGA_Car_000513,-1.36,
SAGA_Car_000528,-1.83,0.19
SAGA_Car_000528,-1.5,0.16
SAGA_Car_000528,-1.6,
SAGA_Car_000589,-2.34,0.69
SAGA_Car_000589,-2.13,0.76
SAGA_Car_000589,-2.05,
SAGA_Car_000591,,
SAGA_Car_000591,-1.78,-0.22
SAGA_Car_000591,-2.27,
SAGA_Car_000617,-1.95,0.37
SAGA_Car_000617,-1.63,0.23
SAGA_Car_000617,-1.56,0.18
SAGA_Car_000617,-1.7,
SAGA_Car_000619,-1.68,0.42
SAGA_Car_000619,-1.89,0.31
SAGA_Car_000619,-1.57,0.36
SAGA_Car_000619,-1.66,
SAGA_Car_000625,-2.23,0.37
SAGA_Car_000625,-1.78,0.04
SAGA_Car_000625,-2.03,
SAGA_Car_000697,-1.79,0.51
SAGA_Car_000697,-1.73,0.52
SAGA_Car_000697,-1.66,
SAGA_Car_000712,-1.57,0.26
SAGA_Car_000712,-1.68,
SAGA_Car_000717,-1.35,0.13
SAGA_Car_000717,-1.3,-0.3
SAGA_Car_000717,-1.92,0.5
SAGA_Car_000717,-1.34,-0.02
SAGA_Car_000717,-1.39,
SAGA_Car_000727,-1.48,0.13
SAGA_Car_000727,-1.17,
SAGA_Car_000817,-1.57,0.01
SAGA_Car_000817,-2.2,
SAGA_Car_000835,-2,0.18
SAGA_Car_000835,-1.79,
SAGA_Car_000867,-1.84,0.27
SAGA_Car_000867,-1.68,
SAGA_Car_000894,-1.53,0.06
SAGA_Car_000894,-2.14,0.73
SAGA_Car_000894,-1.43,
SAGA_Car_000897,-1.75,0.27
SAGA_Car_000897,-1.88,0.67
SAGA_Car_000897,-1.5,
SAGA_Car_000926,-1.71,0.38
SAGA_Car_000926,-1.49,
SAGA_Car_000930,-1.53,0.19
SAGA_Car_000930,-1.41,0.03
SAGA_Car_000930,-1.76,0.42
SAGA_Car_000930,-1.43,0.31
SAGA_Car_000930,-1.37,
SAGA_Car_001197,-1.82,-0.08
SAGA_Car_001197,-2.17,0.2
SAGA_Car_001197,-2.04,
SAGA_Car_001198,-1.39,-0.05
SAGA_Car_001198,-1.53,0.32
SAGA_Car_001198,-1.28,0.09
SAGA_Car_001199,-2.75,0.29
SAGA_Car_001199,-2.85,0.69
SAGA_Car_001200,-1.3,-0.5
SAGA_Car_001200,-1.52,-0.92
SAGA_Car_001200,-1.56,
SAGA_Car_001200,-1.29,-0.38
SAGA_Car_001201,-1.5,0.51
SAGA_Car_001202,-1.75,
SAGA_Car_001202,-1.75,0.09
SAGA_Car_001203,-1.83,0.5
SAGA_Car_001203,-1.39,0.26
SAGA_Car_001204,-1.24,0
SAGA_Car_001205,-1.51,0.07
SAGA_Car_001206,-1.62,0.09
SAGA_Car_001206,-1.18,0.21
SAGA_Car_001206,-1.3,0.23
SAGA_Car_001208,-1.8,0.54
SAGA_Car_001208,-1.43,0.15
SAGA_Car_001208,-1.26,0.19
SAGA_Car_001209,-2.15,-0.36
SAGA_Car_001209,-2.52,-0.14
SAGA_Car_001209,-2.5,0.15
SAGA_Car_001210,-1.21,-0.97
SAGA_Car_001211,-1.2,-0.75
SAGA_Car_001212,-1.64,-0.27
SAGA_Car_001213,-1.39,0.37
SAGA_Car_001214,-1.75,0.33
SAGA_Car_001215,-2.5,0.66
SAGA_Car_001215,-2.29,0.02
SAGA_Car_001215,-2.29,0.82
SAGA_Car_001216,-1.73,0.29
SAGA_Car_001217,-1.67,0.39
SAGA_Car_001218,-1.54,-0.2
SAGA_Car_001219,-1.57,-0.17
SAGA_Car_001220,-1.57,0.46
SAGA_Car_001221,-2.65,0.35
SAGA_Car_001221,-2.32,0.2
SAGA_Car_001221,-2.03,0.17
SAGA_Car_001222,-1.6,0.05
SAGA_Car_001224,-1.8,0.05
SAGA_Car_001225,-1.85,
SAGA_Car_001225,-1.6,0.03
SAGA_Car_001226,-2.03,0.55
SAGA_Car_001226,-1.27,-0.05
SAGA_Car_001227,-2.48,0.37
SAGA_Car_001227,-1.72,-0.12
SAGA_Car_001228,-1.88,0.82
SAGA_Car_001228,-1.48,0.26
SAGA_Car_001229,-1.74,0.28
SAGA_Car_001229,-1.48,0.28
SAGA_Dra_000001,-2.93,0.5
SAGA_Dra_000001,-3.05,
SAGA_Dra_000001,-2.91,
SAGA_Dra_000001,-2.97,0.21
SAGA_Dra_000001,-2.97,0.18
SAGA_Dra_000001,-2.78,
SAGA_Dra_000001,-3,
SAGA_Dra_000002,-1.44,-0.41
SAGA_Dra_000002,-1.44,-0.21
SAGA_Dra_000003,-2.55,
SAGA_Dra_000003,-2.47,
SAGA_Dra_000003,-2.36,0.4
SAGA_Dra_000003,-2.36,0.24
SAGA_Dra_000003,-2.39,
SAGA_Dra_000004,-1.77,
SAGA_Dra_000004,-2.05,
SAGA_Dra_000004,-1.67,0.29
SAGA_Dra_000004,-1.67,-0.06
SAGA_Dra_000004,-1.55,-0.13
SAGA_Dra_000004,-1.74,
SAGA_Dra_000005,-2.05,
SAGA_Dra_000005,-1.86,0.04
SAGA_Dra_000005,-1.78,-0.48
SAGA_Dra_000005,-1.95,
SAGA_Dra_000006,-2.05,
SAGA_Dra_000006,-2.11,
SAGA_Dra_000006,-1.72,0.05
SAGA_Dra_000006,-1.74,-0.08
SAGA_Dra_000006,-1.99,
SAGA_Dra_000007,-2.03,
SAGA_Dra_000007,-1.94,0.17
SAGA_Dra_000007,-1.73,0.12
SAGA_Dra_000007,-1.94,
SAGA_Dra_000008,-2.39,0.18
SAGA_Dra_000009,-2.6,
SAGA_Dra_000009,-2.5,0.18
SAGA_Dra_000009,-2.55,
SAGA_Dra_000009,-2.33,0.16
SAGA_Dra_000009,-2.59,
SAGA_Dra_000009,-2.51,
SAGA_Dra_000010,-1.74,
SAGA_Dra_000010,-1.54,-0.01
SAGA_Dra_000010,-1.41,-0.31
SAGA_Dra_000010,-1.63,
SAGA_Dra_000011,-2.7,0.19
SAGA_Dra_000011,-2.56,
SAGA_Dra_000012,-3.06,0.32
SAGA_Dra_000012,-2.76,0
SAGA_Dra_000013,-1.87,
SAGA_Dra_000013,-1.78,-0.01
SAGA_Dra_000013,-1.59,-0.38
SAGA_Dra_000013,-1.75,
SAGA_Dra_000014,-2.04,-0.38
SAGA_Dra_000021,,
SAGA_Dra_000021,-2.15,
SAGA_Dra_000021,-1.87,-0.04
SAGA_Dra_000021,-2.09,
SAGA_Dra_000022,-1.53,0.89
SAGA_Dra_000023,-2.01,0.5
SAGA_Dra_000026,-1.92,
SAGA_Dra_000026,-1.6,0.94
SAGA_Dra_000027,-1.83,
SAGA_Dra_000027,-1.52,-0.06
SAGA_Dra_000033,-2.04,
SAGA_Dra_000033,-1.76,0.5
SAGA_Dra_000036,-2.29,
SAGA_Dra_000036,-1.96,0.5
SAGA_Dra_000037,-1.85,
SAGA_Dra_000037,-1.58,0.16
SAGA_Dra_000038,-1.6,
SAGA_Dra_000038,-1.25,-0.04
SAGA_Dra_000038,-1.46,
SAGA_Dra_000042,-1.88,
SAGA_Dra_000042,-1.57,0.47
SAGA_Dra_000044,-1.95,1.01
SAGA_Dra_000047,-1.32,0.3
SAGA_Dra_000049,-2.07,
SAGA_Dra_000049,-1.75,-0.44
SAGA_Dra_000049,-1.87,
SAGA_Dra_000050,-2.1,
SAGA_Dra_000050,-1.8,0.02
SAGA_Dra_000062,-2.51,0.47
SAGA_Dra_000064,-1.79,
SAGA_Dra_000064,-1.47,0.22
SAGA_Dra_000066,-1.49,
SAGA_Dra_000066,-1.23,0.72
SAGA_Dra_000067,-1.79,
SAGA_Dra_000067,-1.46,0.04
SAGA_Dra_000069,-1.78,
SAGA_Dra_000069,-1.53,-0.1
SAGA_Dra_000069,-1.72,
SAGA_Dra_000071,-2.48,
SAGA_Dra_000071,-2.2,0.34
SAGA_Dra_000071,-2.44,
SAGA_Dra_000073,-1.97,
SAGA_Dra_000073,-1.92,
SAGA_Dra_000073,-1.71,0.02
SAGA_Dra_000073,-1.89,
SAGA_Dra_000075,-1.76,0.22
SAGA_Dra_000083,-2.32,
SAGA_Dra_000083,-2.03,0.15
SAGA_Dra_000086,-1.78,
SAGA_Dra_000086,-1.48,-0.2
SAGA_Dra_000089,-1.99,-0.54
SAGA_Dra_000089,-2.12,
SAGA_Dra_000093,-1.45,
SAGA_Dra_000093,-1.13,-0.29
SAGA_Dra_000094,-2.02,
SAGA_Dra_000094,-1.69,-0.17
SAGA_Dra_000094,-1.93,
SAGA_Dra_000102,-1.54,0
SAGA_Dra_000103,-2.07,
SAGA_Dra_000103,-1.76,-0.03
SAGA_Dra_000104,-2.19,
SAGA_Dra_000104,-1.85,0.23
SAGA_Dra_000105,-1.84,
SAGA_Dra_000105,-1.54,0.58
SAGA_Dra_000111,-1.99,
SAGA_Dra_000111,-1.67,0.49
SAGA_Dra_000115,-2.28,
SAGA_Dra_000115,-2.05,0.6
SAGA_Dra_000118,-1.99,
SAGA_Dra_000118,-1.69,0.11
SAGA_Dra_000118,-1.88,
SAGA_Dra_000120,-2.01,
SAGA_Dra_000120,-1.71,-0.02
SAGA_Dra_000120,-1.88,
SAGA_Dra_000131,-1.46,
SAGA_Dra_000131,-1.14,-0.81
SAGA_Dra_000131,-1.34,
SAGA_Dra_000132,-1.56,
SAGA_Dra_000132,-1.22,-0.17
SAGA_Dra_000132,-1.37,
SAGA_Dra_000141,-2.01,
