Fe/H,Mn/Fe
-3.28,-0.37
-3.26,-0.5
-3.06,-0.37
-2.72,-0.29
-3.33,-0.88
-2.78,-0.71
-3.82,-0.8
-3.24,-0.45
-3.08,-0.29
-3.23,-0.62
-3.47,-0.78
-2.5,-0.91
-2.68,-0.67
-3.22,-0.73
-3.61,-0.75
-1.77,-0.29
-2.44,-0.56
-2.88,-0.4
-3.22,-0.43
-2.34,-0.31
-3.13,-0.4
-2.93,-0.18
-3.08,-0.31
-3.31,-0.99
-3.3,-0.7
-2.56,-0.5
-3.57,-0.38
-2.35,-0.36
-2.52,-0.68
-2.96,-1.02
-2.99,-0.25
-2.97,-0.73
-2.65,-0.5
-3.57,-1.0
-3.98,-0.65
-2.95,-0.17
-2.62,0.02
-3.46,-0.59
-3.08,-0.95
-2.47,-0.4
-3.03,-0.46
-1.98,-0.37
-2.27,-0.59
-3.05,-0.2
-2.81,-0.78
-2.61,-0.56
-3.92,-0.53
-3.23,-0.44
-2.86,-0.5
-2.58,-0.47
-3.04,-0.78
-2.49,-0.28
-2.53,-0.66
-4.09,-0.64
-2.83,-0.25
-2.27,-0.41
-3.99,-0.16
-1.56,-0.2
-2.82,-0.74
-3.86,-0.63
-3.06,-0.36
-2.73,-0.68
-3.14,-0.77
-3.14,-0.82
-2.68,-0.39
-2.87,-0.72
-2.61,-0.69
-2.88,-0.92
-2.42,-0.21
-3.17,-0.8
-2.97,-0.33
-2.88,-0.72
-3.34,-0.84
-3.31,-0.34
-2.72,-0.47
-3.04,-0.26
-3.0,-0.42
-2.72,-0.75
-3.19,-0.77
-2.35,-0.45
-2.41,-0.43
-3.1,-0.29
-3.38,-0.44
-2.4,-0.4
-3.06,-0.75
-2.39,-0.39
-2.48,-0.22
-2.61,-0.68
-2.52,-0.25
-2.74,-0.43
-2.01,-0.39
-3.01,-0.59
-4.73,-0.69
-2.75,-0.37
-4.17,-0.52
-3.02,-0.58
-3.13,-0.49
-2.39,-0.67
-2.81,-0.19
-2.88,-0.56
-3.34,-0.66
-2.08,-0.51
-2.39,-0.61
-3.36,-0.07
-2.72,-0.79
-2.49,-0.5
-2.53,-0.58
