Fe/H,Na/Fe
-0.92,0.37
-3.26,0.07
-2.78,1
-3.47,-0.2
-2.88,-0.01
-3.13,-0.03
-2.93,1
-2.96,-0.1
-2.65,0.36
-3.57,0.08
-3.98,-0.24
-3.46,1.16
-2.14,0.72
-2.95,0.61
-3.05,0.07
-3.92,-0.1
-2.58,1
-3.99,-0.18
-2.96,1.14
-1.56,0.32
-3.86,-0.26
-3.06,-0.02
-2.42,-0.56
-2.72,-0.32
-3.0,0.43
-2.52,0.7
-3.38,-0.12
-4.73,-0.25
-3.22,1.17
-2.29,1.38
-4.17,1.65
-3.13,0.43
-2.96,0.51
-2.39,0.62
-2.39,0.27
-2.81,0.84
-2.08,-0.35
-3.36,0.02
-3.21,1.4
-2.39,0.9
-3.12,0.12
-2.97,-0.28
-3.06,0.11
-3.33,0.07
-4.15,0.19
-2.1,0.22
-2.2,0.79
-1.79,0.5
-2.82,0.78
-2.37,0.75
-2.71,1
-2.52,1.12
-3.36,0.16
-2.38,0.12
-2.11,0.78
-2.52,1.05
-3.3,0.18
-2.2,1.17
-2.65,1.1
-2.69,-0.18
-3.19,-0.14
-3.06,0.56
-4.07,0.22
-2.68,0.2
-2.98,0.79
-3.32,-0.11
-4.41,0.22
-4.1,-0.01
-3.83,-0.05
-3.87,1.03
-3.44,1.27
-2.81,0.32
-2.47,0.66
-2.54,0.32
-2.41,0.6
-2.81,-0.08
-3.13,0.14
-3.14,1.26
-2.66,0.88
-2.81,0.14
-2.85,0.48
-3.1,-0.1
-3.19,-0.36
-3.3,-0.02
-2.77,0.33
-2.27,0.9
-3.07,0.46
-2.46,1.65
-3.03,0.33
-2.75,1.6
-2.94,0.27
-2.49,0.7
-2.63,0.62
-2.55,0.36
-2.92,-0.08
-3.11,-0.06
-2.82,0.94
-3.17,-0.14
-2.61,0.55
-2.62,0.28
-2.98,-0.08
-3.19,0.98
-1.24,0.39
-2.62,0.26
-2.48,0.32
-3.18,0.48
-3.09,0.15
-2.75,1
-2.58,0.03
-2.1,0.05
-2.1,-0.03
-2.73,0.2
-2.27,0.74
-2.31,-0.04
-2.11,-0.19
-2.06,0.01
-1.71,0.01
-1.35,-0.3
-2.15,0.03
-2.92,0.37
-3.55,-0.16
-3.23,-0.26
-2.99,-0.05
-3.12,1.58
-2.85,-0.17
-2.58,0.16
-2.75,-0.21
-3.93,0.07
-2.9,1.27
-2.48,1.2
-3.77,0.03
-2.13,-0.02
-0.63,0.11
-1.47,0.13
-2.36,0.31
-1.52,0.07
-0.72,0.22
-2.96,0.06
-1.84,-0.03
-1.89,-0.08
-2.26,-0.19
-1.81,-0.06
-3.29,0.06
-2.52,0.23
-2.97,0.01
-1.45,-0.04
-1.99,0.13
-1.69,0.08
-1.51,0.02
-0.28,0.09
-1.32,0.02
-1.43,-0.1
-2.23,-0.29
-1.72,-0.01
-2.21,-0.09
-2.17,0.07
-2.16,-0.16
-0.7,0.08
-2.8,0.08
-1.71,-0.26
-1.94,-0.26
-2.45,0.41
-2.16,-0.26
-2.86,0.59
-1.69,-0.01
-1.48,-0.15
-2.39,0.22
-1.7,-0.05
-1.56,-0.26
-1.02,0.01
-1.06,-0.08
-1.44,-0.11
-2.58,-0.62
-1.93,0.23
-1.81,0.01
-1.15,-0.05
-3.75,0.06
-4.08,1.98
-5.67,1.18
-3.46,0.46
-1.43,0.41
-2.7,0.55
-3.69,0.09
-3.54,1.65
-4.02,2.15
-2.87,0.81
-2.89,0.53
-2.78,1.44
-3.65,0.7
-2.87,0.82
-2.67,0.65
-3.67,0.71
-3.35,0.59
-3.68,0.46
-3.41,0.58
-2.23,0.78
-2.66,0.21
-2.8,-0.0
-2.62,0.15
-3.32,-0.1
-2.87,0.28
-2.64,0.11
-2.53,-0.25
-3.05,-0.46
-4.34,0.44
-2.73,-0.15
-2.77,0.21
-5.0,0.37
-3.64,-0.16
-3.03,0.36
-2.86,0.12
-3.32,0.76
-2.51,0.43
-3.29,0.38
-2.93,0.21
-3.17,0.48
-2.85,1.78
-3.43,0.42
-2.55,0.5
-3.12,0.93
-2.56,0.31
-3.17,-0.13
-3.36,0.58
-3.83,0.17
-3.03,0.77
-3.79,0.29
-3.02,0.97
-2.81,0.8
-2.62,0.19
-2.71,0.75
-2.87,0.75
-3.4,0.76
-3.97,0
-2.55,0.45
-2.63,0.51
-2.22,0.11
-2.94,0.87
-3.42,-0.17
-3.37,0.94
-3.71,0.01
-3.26,-0.0
-3.4,0.57
-3.44,0.73
-2.33,-0.29
-3.09,0.47
-2.97,0.44
-3.2,0.76
-2.5,0.37
-2.72,0.42
-2.77,0.29
-3.41,0.45
-2.48,0.24
-3.18,0.28
-2.62,0.6
-2.08,0.26
-3.63,0.76
-2.4,0.47
-2.64,0.35
-3.11,0.37
-2.34,0.36
-3.18,0.97
-2.99,0.44
-1.48,0.41
-2.62,0.46
-1.86,0.15
-1.98,0.19
-2.9,0.03
-2.59,0.49
-2.1,0.23
-2.62,0.28
-2.63,0.41
-3.03,0.45
-2.52,0.4
-2.81,0.4
-3.44,0.53
-2.35,0.21
-2.54,0.55
-2.73,0.62
-2.56,0.33
-2.76,0.27
-2.58,0.42
-2.26,0.23
-3.15,0.42
-2.61,0.47
-2.79,0.39
-2.66,0.38
-2.24,0.49
-2.48,0.59
-2.2,0.32
-3.58,0.63
-2.5,0.19
-2.51,0.3
-2.77,0.52
-2.76,0.36
-2.17,0.15
-2.46,0.27
-3.0,0.48
-2.99,0.29
-3.89,0.21
-3.65,0.41
-2.99,0.72
-3.11,0.45
-3.33,-0.03
-2.62,0.61
-3.39,0.91
-1.29,-0.1
-2.43,0.35
-2.31,1.1
-2.58,0.47
-3.22,0.63
-3.25,-0.24
-3.12,0.76
-2.61,0.13
-2.62,0.78
-1.89,0.09
-2.4,0.49
-3.41,1.74
-2.56,0.32
-2.87,0.55
-2.38,0.28
-3.48,0.05
-3.35,0.58
-2.53,0.04
-2.75,0.1
-2.24,0.36
-3.36,0.58
-2.19,0.67
-2.91,0.54
-3.29,-0.07
-3.08,-0.16
-2.67,-0.66
-3.11,0.2
-2.88,1.03
-2.42,0.26
-3.18,0.42
-3.37,0.9
-3.05,0.05
-2.59,0.4
-3.3,0.3
-2.0,-0.02
-3.01,0.23
-2.74,0.76
-3.6,-0.18
-2.84,0.13
-2.35,0.07
-2.63,0.74
-3.34,0.04
-2.38,-0.09
-2.8,-0.15
-3.28,-0.05
-2.9,0.19
-2.91,0.2
-3.48,-0.13
-3.2,1.32
-2.9,0.15
-2.91,1.12
-3.17,-0.01
-3.48,0.6
-2.66,0.08
-3.73,0.47
-2.75,-0.1
-2.91,0.33
-3.15,-0.04
-3.15,0.2
-4.01,0.09
-3.35,0.48
-3.8,0.57
-2.23,-0.04
-2.81,0.2
-3.38,-0.24
-3.78,-0.02
-2.2,0.92
-2.86,0.3
-3.83,-0.02
-3.39,-0.08
-2.06,-0.2
-1.76,0.2
