# Object,[Mg/Fe],[Na/Fe]
SAGA_Car_000001,0.04,-0.57
SAGA_Car_000001,0.24,
SAGA_Car_000001,,
SAGA_Car_000002,0.21,-0.29
SAGA_Car_000002,0.43,-0.01
SAGA_Car_000002,,
SAGA_Car_000003,-0.29,-0.49
SAGA_Car_000003,0.34,
SAGA_Car_000003,-0.23,
SAGA_Car_000003,,
SAGA_Car_000004,0.22,-0.17
SAGA_Car_000004,0.56,0.34
SAGA_Car_000004,0.12,-0.14
SAGA_Car_000004,,
SAGA_Car_000005,0.24,-0.26
SAGA_Car_000005,0.59,0.08
SAGA_Car_000005,,
SAGA_Car_000258,0.39,0.11
SAGA_Car_000258,0.75,
SAGA_Car_000258,,
SAGA_Car_000323,0.09,-0.25
SAGA_Car_000323,0.1,-0.03
SAGA_Car_000323,0.63,0.57
SAGA_Car_000323,0.33,-0.17
SAGA_Car_000323,,
SAGA_Car_000324,0.33,
SAGA_Car_000324,0.28,
SAGA_Car_000324,0.42,-0.25
SAGA_Car_000324,,
SAGA_Car_000398,0.48,-0.82
SAGA_Car_000398,,
SAGA_Car_000398,,
SAGA_Car_000429,0.22,-0.45
SAGA_Car_000429,,
SAGA_Car_000438,0.38,
SAGA_Car_000438,0.25,
SAGA_Car_000438,0.3,-0.21
SAGA_Car_000438,,
SAGA_Car_000462,0.35,
SAGA_Car_000462,0.1,-0.76
SAGA_Car_000462,,
SAGA_Car_000495,-0.26,-0.77
SAGA_Car_000495,0.45,
SAGA_Car_000495,0.15,-0.31
SAGA_Car_000495,,
SAGA_Car_000528,0.19,
SAGA_Car_000528,0.16,-0.39
SAGA_Car_000528,,
SAGA_Car_000617,0.37,0.35
SAGA_Car_000617,0.23,
SAGA_Car_000617,0.18,-0.22
SAGA_Car_000617,,
SAGA_Car_000619,0.42,0.04
SAGA_Car_000619,0.31,
SAGA_Car_000619,0.36,-0.34
SAGA_Car_000619,,
SAGA_Car_000697,0.51,
SAGA_Car_000697,0.52,-0.06
SAGA_Car_000697,,
SAGA_Car_000717,0.13,-0.22
SAGA_Car_000717,-0.3,-0.46
SAGA_Car_000717,0.5,0.18
SAGA_Car_000717,-0.02,-0.44
SAGA_Car_000717,,
SAGA_Car_000894,0.06,-0.21
SAGA_Car_000894,0.73,
SAGA_Car_000894,,
SAGA_Car_000930,0.19,-0.25
SAGA_Car_000930,0.03,-0.22
SAGA_Car_000930,0.42,-0.05
SAGA_Car_000930,0.31,-0.2
SAGA_Car_000930,,
SAGA_Car_001198,-0.05,-0.23
SAGA_Car_001198,0.32,0.15
SAGA_Car_001198,0.09,-0.23
SAGA_Car_001200,-0.5,
SAGA_Car_001200,-0.92,-0.39
SAGA_Car_001200,,-0.38
SAGA_Car_001200,-0.38,-0.69
SAGA_Car_001201,0.51,0.45
SAGA_Car_001206,0.09,
SAGA_Car_001206,0.21,
SAGA_Car_001206,0.23,-0.29
SAGA_Car_001208,0.54,0.31
SAGA_Car_001208,0.15,
SAGA_Car_001208,0.19,-0.19
SAGA_Car_001209,-0.36,-1.18
SAGA_Car_001209,-0.14,
SAGA_Car_001209,0.15,
SAGA_Car_001221,0.35,
SAGA_Car_001221,0.2,
SAGA_Car_001221,0.17,0.19
SAGA_Car_001225,,
SAGA_Car_001225,0.03,0.25
SAGA_Car_001226,0.55,
SAGA_Car_001226,-0.05,-0.5
SAGA_Car_001228,0.82,
SAGA_Car_001228,0.26,-0.13
SAGA_Car_001229,0.28,
