JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,Na/Fe
66,ROE14b,CS22882-006,2MASS_J00215986-2929265, -2.94, -0.1
82,ROE14b,CS22882-030,2MASS_J00302004-3020584, -3.47, -0.2
83,ROE14b,CS22882-012,2MASS_J00302250-2735272, -2.76,0.49
102,YON13,HE0049-3948,2MASS_J00521335-3932368, -3.68, -0.07
105,ROE14b,CS22942-011,2MASS_J00541299-2504338, -2.88, -0.01
131,ROE14b,CS22953-003,2MASS_J01021585-6143458, -3.13, -0.03
138,YON13,HE0102-1213,2MASS_J01052796-1157310, -3.28, -0.02
186,YON13,HE0146-1548,2MASS_J01483472-1533243, -3.46,1.16
195,YON13,HE0207-1423,2MASS_J02100069-1409110, -2.95,0.61
200,ROE14b,CS22958-083,2MASS_J02154272-5359561, -3.05,0.07
222,ROE14b,CS22189-009,2MASS_J02414237-1328105, -3.92, -0.1
247,ROE14b,CS22968-014,2MASS_J03062950-5430325, -3.99, -0.18
263,ROE14b,CS22185-007,2MASS_J03173604-1517227, -3.06, -0.02
320,ROE14b,CS22186-002,2MASS_J04135721-3646255, -2.72, -0.32
327,ROE14b,CS22182-033,2MASS_J04231047-3037041, -2.65, -0.12
348,ROE14b,HE0454-4758,2MASS_J04552670-4753417, -3.38, -0.12
392,ROE14b,HE1012-1540,2MASS_J10145347-1555532, -4.17,1.65
410,ROE14b,G146-76,2MASS_J10595749+4446439, -2.08, -0.35
420,ROE14b,HE1124-2335,2MASS_J11272694-2352056, -3.36,0.02
630,ROE14b,CS30312-100,2MASS_J15433166+0201174, -2.69, -0.18
692,ROE14b,CS22873-128,2MASS_J20070379-5834575, -3.32, -0.11
701,ROE14b,CS22885-096,2MASS_J20205117-3953301, -4.41,0.22
714,YON13,CS30336-049,2MASS_J20452353-2842359, -4.1, -0.01
727,ROE14b,CS22897-008,2MASS_J21031185-6505088, -3.83, -0.05
735,ROE14b,CS29498-043,2MASS_J21035211-2942502, -3.87,1.03
743,ROE14b,CS30492-001,2MASS_J21055523-4210101, -2.62, -0.15
763,ROE14b,CS29495-042,2MASS_J21391140-2817544, -2.54,0.32
784,ROE14b,CS22965-016,2MASS_J21570791-0434083, -3.13,0.14
811,ROE14b,CS22881-036,2MASS_J22075843-4044164, -2.34,0.28
853,ROE14b,CS29502-092,2MASS_J22223599-0138275, -3.3, -0.02
856,ROE14b,CS22960-064,2MASS_J22240014-4235160, -2.77,0.33
950,ROE14b,CS22945-028,2MASS_J23311355-6629578, -2.92, -0.08
952,ROE14b,CS22941-017,2MASS_J23325017-3359254, -3.11, -0.06
995,ROE14b,CS22957-013,2MASS_J23554905-0522528, -2.98, -0.08
1002,ROE14b,CS22957-027,2MASS_J23591314-0353482, -3.19,0.98
1008,ROE14b,BD-012582,BD-01_2582, -2.62,0.26
1034,ROE14b,HE1320-1339,BD-13_3695, -3.18,0.48
1047,ROE14b,CS31082-001,BD-16_251, -3.09,0.15
1160,ROE14b,BD+241676,BD+24_1676, -2.7, -0.19
1225,ROE14b,CS22171-037,BPS_CS_22171-0037, -3.63, -0.1
1236,ROE14b,CS22872-102,BPS_CS_22872-0102, -2.85, -0.05
1237,ROE14b,CS22873-072,BPS_CS_22873-0072, -3.08, -0.25
1246,ROE14b,CS22874-123,BPS_CS_22874-0123, -2.79,0.21
1252,ROE14b,CS22877-015,BPS_CS_22877-0015, -2.12, -0.13
1256,ROE14b,CS22878-027,BPS_CS_22878-0027, -2.92, -0.28
1258,ROE14b,CS22879-029,BPS_CS_22879-0029, -2.55,0.15
1270,ROE14b,CS22881-032,BPS_CS_22881-0032, -3.55, -0.16
1276,ROE14b,CS22884-020,BPS_CS_22884-0020, -2.48, -0.11
