Fe/H,Ni/Fe
-0.61,0.07
-0.98,0.09
-0.92,0.11
-0.69,0.07
-0.74,0.04
-0.96,0.09
-1.49,-0.02
-3.28,0
-2.47,0.05
-1.11,0.07
-3.26,-0.06
-3.06,0.1
-2.72,0.28
-2.7,0.1
-3.33,-0.14
-2.78,0.01
-3.82,0.15
-3.24,0.05
-3.0,-0.07
-3.08,-0.01
-3.23,0.19
-2.62,0.15
-2.92,-0.04
-2.27,0.05
-2.94,-0.02
-2.69,-0.03
-2.21,-0.01
-2.71,0.05
-2.06,0.03
-3.5,0.06
-2.76,0
-2.41,-0.13
-2.5,-0.44
-2.68,-0.05
-2.46,-0.11
-3.22,0
-3.25,-0.01
-2.91,0.04
-2.56,-0.12
-3.61,0.04
-1.77,-0.45
-2.4,-0.2
-3.68,0.3
-2.44,-0.15
-2.88,0.08
-2.0,0.1
-3.22,0.07
-2.34,-0.09
-2.76,-0.17
-3.13,0.18
-2.93,0.37
-3.08,0.14
-3.28,0.09
-3.31,0.16
-3.3,0.1
-2.56,0.09
-3.57,0.13
-2.35,-0.07
-2.52,-0.12
-2.96,0.68
-2.77,0.07
-2.99,0.17
-3.2,0.1
-2.62,-0.03
-2.97,-0.12
-2.65,0.08
-3.57,-0.08
-3.08,0.13
-2.68,-0.25
-3.98,0.19
-2.95,0.07
-2.62,0.27
-2.31,-0.28
-2.13,-0.06
-3.46,0.05
-3.08,0.07
-2.47,-0.17
-3.03,-0.14
-1.98,0.07
-2.95,0.21
-3.05,0.24
-2.81,0.29
-2.61,-0.13
-2.08,-0.11
-4.68,0.9
-2.58,0.06
-3.92,0.04
-3.23,0.24
-2.86,-0.05
-2.58,0.26
-3.04,0.02
-2.56,0.03
-2.49,0.12
-2.53,-0.18
-4.09,0.16
-2.83,0.11
-2.27,0
-3.99,0.37
-1.56,-0.07
-2.82,0.22
-3.86,-0.12
-3.06,0.1
-2.73,0.37
-2.32,-0.06
-3.14,0.34
-3.14,0.09
-2.38,-0.08
-2.68,0.15
-2.19,-0.01
-1.89,-0.13
-2.87,0.01
-2.64,0.06
-2.75,-0.1
-2.61,-0.06
-2.43,0.04
-1.81,-0.06
-2.88,-0.79
-1.95,-0.23
-1.82,-0.16
-2.42,0.1
-1.8,-0.01
-2.77,-0.18
-3.17,0.2
-2.97,0.12
-2.55,0.09
-2.88,-0.11
-1.78,-0.04
-3.34,0.06
-3.42,-0.03
-3.31,-0.05
-2.81,0.1
-2.72,0.06
-2.82,-0.16
-2.33,0.03
-3.04,0.05
-2.65,0.07
-3.0,0.01
-2.72,0
-2.08,0.04
-3.19,0.14
-2.35,0.1
-2.52,0.09
-2.52,0.18
-2.85,0.12
-2.41,0.01
-1.69,0.37
-3.1,0.4
-3.38,0.13
-2.4,-0.23
-2.38,-0.1
-3.06,0.21
-2.39,-0.31
-2.48,0.11
-2.61,-0.02
-2.52,0.16
-2.52,-0.04
-2.74,-0.09
-2.01,-0.17
-1.52,-0.16
-3.01,0.06
-4.73,-0.23
-2.75,0.52
-2.56,0.12
-2.68,-0.28
-2.62,-0.07
-4.17,-0.05
-3.02,0.04
-2.65,-0.07
-3.13,0.1
-2.96,0.16
-2.39,-0.24
-2.39,-0.03
-3.28,0.34
-2.88,0.08
-2.33,-0.03
-2.29,0.06
-3.34,0.05
-2.08,-0.06
-2.39,0.04
-2.8,0.13
