[Fe/H],[Ni/Fe],[Eu/Fe],Ni/Eu
-1.94,-0.05,0.79,-0.84
-1.6,-0.12,0.06,-0.18
-1.65,-0.04,0.38,-0.42
-1.82,-0.24,0.84,-1.08
-1.41,-0.03,0.03,-0.06
-1.29,-0.24,0.55,-0.79
-1.59,-0.01,0.18,-0.19
-1.3,-0.1,0.33,-0.43
-1.61,-0.06,0.52,-0.58
-1.72,0.09,,0.09
-1.68,-0.07,0.44,-0.51
-1.58,0.21,0.4,-0.19
-1.35,-0.14,0.62,-0.76
-1.5,0.03,0.85,-0.82
-1.78,-0.28,0.95,-1.23
-1.34,-0.1,,-0.1
-1.53,-0.07,0.47,-0.54
-1.43,-0.08,,-0.08
-1.28,-0.12,0.44,-0.56
-1.29,-0.43,,-0.43
-2.15,0.18,0.13,0.05
-2.5,-0.08,,-0.08
-1.48,0,0.8,-0.8
