Name,rapo_mean(kpc),ecc_mean
2MASS J00101758-1735387,8.644339008,0.038744917
2MASS J00002259-1302275,14.46165177,0.792063674
2MASS J00002416-1107454,16.68332607,0.749725297
HD 224930,8.13142664,0.250458418
2MASS J00021668-2453494,12.63269465,0.380010858
BPS CS 22957-036,9.403784924,0.848093557
HD 20,13.17903109,0.968919649
2MASS J00073817-0345509,9.843667974,0.84444275
2MASS J00093394-1857008,8.829976606,0.702521079
2MASS J00154806-6253207,9.325255346,0.838746827
2MASS J00172430-3333151,10.76575078,0.426446899
2MASS J00182832-3900338,25.4454191,0.531707
BPS CS 22882-001,11.05185572,0.755971773
2MASS J00223225-4839449,15.93737195,0.557759216
BPS CS 29497-004,13.52721335,0.480813352
2MASS J00400685-4325183,10.96052783,0.571149989
2MASS J00405260-5122491,8.320780716,0.926428821
2MASS J00413026-4058547,24.29112455,0.500652079
2MASS J00442897-1017497,9.141788797,0.908328704
2MASS J00452379-2112161,8.949361715,0.449589949
2MASS J00452879-5846450,24.0917503,0.950302614
2MASS J00453930-7457294,17.00199461,0.49201482
HE 0045-2430,24.65219576,0.859840223
2MASS J00482431-1041309,12.41284778,0.899362717
2MASS J00512646-1053170,11.18787229,0.628071879
2MASS J00524174-0902235,22.25781013,0.768116241
2MASS J00541965-0611555,10.1521615,0.750847598
HE 0057-4541,14.67915291,0.840010918
BPS CS 22953-003,15.79163962,0.821774505
BPS CS 22183-031,11.45191415,0.925550969
2MASS J01165010-6307441,9.520821047,0.92557961
2MASS J01202234-5425582,10.98774721,0.644260539
2MASS J01213447-2528002,10.26968884,0.419088819
2MASS J01293113-1600454,11.5699405,0.255370982
2MASS J01311599-4016510,10.56524484,0.943354505
2MASS J01321981-3040512,8.848834,0.570485722
2MASS J01371888-1729037,14.83752993,0.80165179
2MASS J01373857-2618131,9.68216011,0.523376364
2MASS J01425422-5032488,8.923812675,0.407278248
2MASS J01425445-0904162,9.543171415,0.547062036
2MASS J01493760-4551222,12.85772357,0.986814724
2MASS J01530024-3417360,11.35571779,0.970829524
2MASS J01553180-4919420,24.16503101,0.678762326
2MASS J01555066-6400155,8.325115032,0.239888906
2MASS J01565634-1402108,14.22108424,0.882044904
BPS CS 22958-037,34.52357925,0.722045779
2MASS J02031860-7930291,9.571178112,0.270016969
2MASS J02070641-5009166,12.9319515,0.535049982
BPS CS 22958-052,10.27479135,0.652717351
2MASS J02165716-7547064,17.39505211,0.461015505
2MASS J02230804-3129531,10.38511571,0.597001715
2MASS J02265832-0749596,8.754138813,0.429626078
2MASS J02274104-0519230,24.82103285,0.615764746
2MASS J02355867-6745520,8.627140951,0.730304759
2MASS J02413897-0427349,17.02211174,0.696682069
2MASS J02462013-1518419,31.73515129,0.754379984
SMSS J024858.41-684306.4,90.56213768,0.86801129
2MASS J02500719-5145148,17.87381916,0.309336318
2MASS J02515281-3717316,9.320664167,0.663409619
2MASS J02570028-3024374,8.481784449,0.776506204
BPS CS 31078-018,10.23787873,0.526587786
HE 0300-0751,183.6802568,0.733386225
2MASS J03071478-0534554,11.89021655,0.833842061
2MASS J03073894-0502491,21.25568953,0.597954041
2MASS J03084611-4747083,21.95546013,0.967860757
2MASS J03133726-1020553,14.79586186,0.835071545
2MASS J03154102-7626329,16.19017726,0.586168875
BPS CS 22968-026,12.63542281,0.974615598
2MASS J03210882-3944213,10.36176858,0.543131882
2MASS J03270229+0132322,18.75860397,0.353811874
BPS CS 29526-110,9.869804125,0.38690936
HE 0328-1047,14.80813542,0.538315741
HE 0337-5127,9.869784927,0.452828287
2MASS J03422816-6500355,8.354529276,0.633069208
SMSS J034249.53-284216.0,15.42720294,0.515378075
HE 0341-4024,9.750158606,0.944219125
2MASS J03434624-0924169,18.9928698,0.860010667
BPS CS 29529-054,9.005770521,0.826137363
2MASS J04012191-2635058,10.89704829,0.964007609
2MASS J04121388-1205050,11.53732332,0.63922769
BPS CS 22186-005,12.6542466,0.875888445
BPS CS 22186-002,13.51452585,0.734731662
2MASS J04182158-2323391,10.57624045,0.927258064
2MASS J04192966-0517491,11.88427001,0.892417715
BPS CS 22182-033,11.28119111,0.726744145
HE 0420+0123a,9.567864208,0.651345301
BPS CS 22186-025,27.83799229,0.710401281
2MASS J04245677-6500173,9.533685598,0.694061632
2MASS J04263084-4058516,10.38057282,0.633521245
HE 0430-4901,9.943518047,0.665920713
2MASS J04315411-0632100,8.939876966,0.281343069
HE 0432-0923,17.01336878,0.506257592
HE 0442-1234,14.66904333,0.162115536
BPS CS 22191-029,13.63641537,0.121185703
2MASS J04520910-6209121,8.927231503,0.747203652
2MASS J04530168-2437144,57.94305683,0.666765218
2MASS J04565146-3115427,9.696433134,0.931892191
2MASS J05030025-7601462,10.53930416,0.72661944
SMSS J051008.62-372019.8,9.573156776,0.31039481
HE 0512-3835,18.00785255,0.932720811
HE 0516-3820,9.751308193,0.528952463
HE 0524-2055,18.14070961,0.642144743
2MASS J05311779-5810048,9.912043524,0.692646666
HE 0534-4615,13.46892765,0.835680877
2MASS J05381700-7516207,8.722619944,0.425687451
2MASS J05383296-5904280,9.018732748,0.475621825
HE 0538-4515,8.734009037,0.243683803
2MASS J05521578-3953184,9.905268536,0.610266745
2MASS J05564771-6639054,11.31397616,0.904864697
2MASS J06090353-7122260,8.648066607,0.650974187
2MASS J06195001-5312114,9.177238235,0.266017672
SMSS J062609.83-590503.2,25.7189292,0.527159463
2MASS J06290787-6709523,9.451318455,0.271774618
2MASS J06320130-2026538,9.134066458,0.368961816
2MASS J06332771-3519240,13.71478392,0.782683848
SMSS J063447.15-622355.0,130.9452195,0.886084361
2MASS J06392518-7414056,7.94478941,0.534724138
2MASS J06401317-3540444,9.149397688,0.904092572
2MASS J07052028-3343242,20.8696644,0.984644965
2MASS J07150266-0154092,11.65351949,0.108172668
2MASS J07161594-5135248,8.805879889,0.794969496
2MASS J07202253-3358518,57.17169102,0.778008015
2MASS J07250021-7022038,10.28324097,0.734451481
2MASS J07352232-4425010,12.47938832,0.978153204
2MASS J07393021-5548171,9.896064758,0.824161585
BD-01:1792,10.51950129,0.954311794
2MASS J07411443-4339360,24.3912476,0.674301881
2MASS J07501424-4123454,18.89611055,0.902287797
2MASS J08015897-5752032,18.83743916,0.763107578
2MASS J08032084-5856521,8.227921343,0.447320166
2MASS J08134364-2332528,9.414395227,0.478519797
2MASS J08155667-2204105,10.16818375,0.719436357
2MASS J08393460-2122069,11.12851994,0.931060889
2MASS J08594093-1415151,14.8735963,0.891533107
2MASS J09185890-2311511,44.02670536,0.830714157
2MASS J09255655-3450373,10.83729192,0.853880105
2MASS J09261133-1526232,20.21108871,0.923820851
2MASS J09284944-0738585,9.733344212,0.417832334
2MASS J09364069-2038386,10.63018732,0.575711533
2MASS J09463483-0626532,14.02589916,0.883882195
2MASS J09544277+5246414,13.51766294,0.371634994
2MASS J09574607-3923072,9.035192556,0.511897967
2MASS J09580181-1446137,15.03426129,0.534740528
2MASS J10025125-4331098,9.067509727,0.920438875
2MASS J10044858-2706500,9.329439697,0.773897513
2MASS J10063414-7030212,8.268687935,0.465558886
2MASS J10082492-2314124,9.974468241,0.459406029
BPS BS 15621-047,10.08090933,0.219802325
2MASS J10121964-3221347,15.53286068,0.916547653
2MASS J10191573-1924464,8.945098162,0.339824948
2MASS J10194932-4900584,16.47269321,0.987853388
2MASS J10223779-3400209,8.558471098,0.803188673
2MASS J10302845-7543299,8.892741356,0.901509151
2MASS J10345348-1117221,9.946095924,0.829565473
2MASS J10362687-3746174,9.17593461,0.768068398
2MASS J10401894-4106124,15.46226568,0.317943504
HE 1044-2509,10.07233537,0.176339156
2MASS J10492192-1154173,8.636823483,0.919909732
2MASS J10513692-2115466,8.936567278,0.602480832
SMSS J105320.99-435300.1,1068.941981,0.986909138
J1054+0528,10.52877981,0.499383458
2MASS J10594136-2052253,9.283113413,0.789953138
2MASS J11014865-3749526,11.35360878,0.746621094
2MASS J11165400-7250160,7.921081848,0.781572278
LAMOST J112456.61+453531.,14.71505049,0.480188119
2MASS J11301705-1449325,9.456716137,0.266646225
2MASS J11303693+0224037,11.49058147,0.936493891
2MASS J11370170-5401298,8.934726086,0.556340872
2MASS J11404726-0833030,8.226549969,0.890330667
2MASS J11404944-1615396,10.73032387,0.983167933
BD+26:2251,25.86008562,0.935782283
2MASS J11444086-0409511,29.32793486,0.557524211
2MASS J11444480-1128167,12.63195844,0.932967548
2MASS J11463882-0422395,9.518913546,0.897747975
2MASS J11471027+0341265,26.01911045,0.644633538
2MASS J11472988-0521444,24.31212837,0.895232736
2MASS J11510227-6940416,7.404433608,0.962896948
HD 103095,19.4076269,0.864598679
2MASS J11543613-0133450,36.48179745,0.971728051
2MASS J12044314-2911051,11.86206962,0.658352416
2MASS J12045624-0759232,31.91641569,0.79246515
2MASS J12070990-3653243,8.031762958,0.6686115
2MASS J12091322-1415313,10.47587087,0.713998346
2MASS J12102259-4902190,14.76558044,0.939274105
HD 106373,18.0282061,0.882011792
HD 107752,11.10906644,0.497458643
2MASS J12233047-4216365,13.50501162,0.705531672
2MASS J12255123-2351074,9.318417454,0.22630265
HD 108317,9.581753511,0.462093073
HD 108577,13.21269112,0.602387159
2MASS J12292696-0442325,17.10185001,0.800596104
HE 1226-1149,21.50592903,0.415878428
2MASS J12341308-3149577,10.06754423,0.579735755
2MASS J12351734+0945333,13.12093067,0.340010332
2MASS J12405721-4051430,9.89915287,0.950732606
2MASS J12503987-0307485,19.54761629,0.432166134
2MASS J12535742-3801355,31.90701405,0.625227265
2MASS J12571667-4335318,7.944575052,0.53918
HE 1256-0228,8.779856758,0.483570208
2MASS J12591462-7049592,7.495396585,0.887042799
BPS BS 16929-005,9.277011662,0.518205413
2MASS J13052137-1137220,10.47669797,0.757551493
2MASS J13101305-3342369,7.343040371,0.394985968
BPS CS 22877-015,7.913877831,0.780880911
HD 115444,10.59268847,0.770029027
2MASS J13164824-2743351,16.11730406,0.939554614
BPS BS 16033-081,9.160459805,0.465835158
2MASS J13214178-4320055,7.717578464,0.956483728
2MASS J13254554-1747547,13.74479816,0.715660583
2MASS J13261792-0945176,7.826423512,0.695252028
2MASS J13315746-1929446,8.251403885,0.38219152
HD 118055,9.5508249,0.405658542
SMSS J133532.32-210632.9,7.468017635,0.589282475
2MASS J13374885-0826176,8.333782511,0.482422956
2MASS J13425404-0717005,30.20754349,0.58844329
HD 119516,18.61501734,0.475570323
BPS BS 16089-013,15.06009232,0.742503898
2MASS J13494713-7423395,6.872185688,0.843856176
2MASS J13511539-7340363,18.93998631,0.898083436
2MASS J13524835+1254216,15.08484859,0.975127558
2MASS J14004919+4551581,57.43216743,0.962251571
2MASS J14032900-5250429,7.905465255,0.797939604
2MASS J14043762+0011117,10.88791803,0.826973416
HD 122956,7.986139793,0.826586097
2MASS J14101587-0343553,9.355841932,0.631774723
2MASS J14155955-3219255,12.46394512,0.467164934
2MASS J14180866-2842077,9.091313391,0.85039521
2MASS J14191395-0844410,9.352978258,0.435433129
BD+01:2916,8.001125579,0.853627961
2MASS J14232679-2834200,6.881626706,0.459359772
2MASS J14234371-4025526,26.41690069,0.764769217
BD+08:2856,12.36912715,0.599151742
2MASS J14301385-2317388,27.51064911,0.703997887
BD+18:2890,11.65708736,0.830070016
HE 1429-0347,14.0393533,0.528995749
2MASS J14325334-4125494,29.36331022,0.839642414
HE 1430+0053,8.974413509,0.627594718
2MASS J14354680-1124122,7.610177011,0.130672665
BPS BS 16083-172,10.26163679,0.734759102
2MASS J14543792+0830379,7.027148809,0.78073496
2MASS J14590234-0916105,16.57048477,0.872015153
2MASS J14592981-3852558,6.854838715,0.410506964
2MASS J15002498-0613374,12.78276463,0.411255742
2MASS J15042611-2231523,9.474488363,0.458926311
2MASS J15062866-1428038,7.96920639,0.311987471
BD+30:2611,19.00776781,0.426058428
2MASS J15075699-0659593,10.39593486,0.641575506
2MASS J15083385-1459166,7.669591646,0.689370637
HD 134440,45.99188053,0.816708127
2MASS J15111672+0025252,8.595191202,0.309822947
HD 135148,21.9559347,0.934308087
2MASS J15133549-1244339,6.663712239,0.572488232
BPS CS 30306-132,9.014654627,0.463712997
2MASS J15155734-1054220,10.86968965,0.704410365
2MASS J15204531-1742486,7.538789845,0.599663053
2MASS J15211026-0607566,8.926305532,0.532920523
2MASS J15213995-3538094,32.61356501,0.681894765
2MASS J15260106-0911388,14.57627481,0.452246549
2MASS J15271353-2336177,8.304842281,0.611582374
2MASS J15293404-3906241,5.692665405,0.369189796
2MASS J15383085-1804242,7.534745851,0.703373376
SMSS J155430.57-263904.8,24.03418335,0.798538087
2MASS J15582962-1224344,6.821175404,0.170168859
2MASS J16024498-1521016,9.503857241,0.3458972
BD+42:2667,9.084351673,0.962406951
SMSS J160447.75-293146.7,5.43905632,0.784901702
2MASS J16095117-0941174,7.922244697,0.582396541
2MASS J16122832-0848083,6.55828197,0.407954017
2MASS J16163560-0401148,9.159324608,0.595145317
2MASS J16285613-1014576,8.440643015,0.302003058
BD+09:3223,12.06436275,0.975362651
HD 149414,8.98130681,0.553889644
BPS CS 22878-121,12.1785271,0.39232339
SMSS J165023.82-252948.7,12.21116125,0.586050378
2MASS J16592172-6827199,64.37172424,0.846097379
2MASS J17043634-6219457,7.239681797,0.605018455
2MASS J17093199-6027271,20.56714352,0.767885642
2MASS J17124284-5211479,10.7667315,0.485997711
2MASS J17131974-7113010,6.537890596,0.262978536
2MASS J17163340-7009028,6.84060935,0.203458173
2MASS J17225742-7123000,13.88102783,0.436823436
BD+17:3248,8.025235257,0.953880224
2MASS J17360008-5145303,9.552150631,0.55036643
2MASS J17383643-5358288,6.413340502,0.387400387
2MASS J17400682-6102129,8.271776819,0.473671447
2MASS J17414840-5340354,6.221508999,0.47354443
2MASS J17435113-5359333,6.320268178,0.420757962
2MASS J17541561-5148268,5.924253073,0.873960688
G 154-34,10.38977773,0.802891762
SMSS J175738.37-454823.5,2.717820416,0.132007845
2MASS J18024226-4404426,11.06618176,0.902633808
2MASS J18050641-4907579,6.364730973,0.759868414
2MASS J18272347-5133001,8.087870278,0.789892923
2MASS J18285086-3434203,4.18670506,0.665560018
2MASS J18294122-4504000,5.867733006,0.468698262
RAVE J183013.5-455510,6.588063731,0.11956916
SMSS J183128.71-341018.4,3.759372592,0.342563098
2MASS J18362318-6428124,6.406088858,0.159203672
2MASS J18363613-7136597,7.645499396,0.262477911
SMSS J183647.89-274333.1,10.41162069,0.898410459
HD 175305,18.67617716,0.405068613
