# Object,[Fe/H],[Sc/Fe]
SAGA_Car_000001,-1.94,0.07
SAGA_Car_000001,-2.13,
SAGA_Car_000001,-2.02,
SAGA_Car_000002,-1.6,-0.17
SAGA_Car_000002,-1.68,
SAGA_Car_000002,,
SAGA_Car_000003,-1.65,-0.69
SAGA_Car_000003,-2.19,
SAGA_Car_000003,-1.82,-0.24
SAGA_Car_000003,-1.82,
SAGA_Car_000004,-1.41,0.05
SAGA_Car_000004,-1.67,
SAGA_Car_000004,-1.29,-0.08
SAGA_Car_000004,-0.99,
SAGA_Car_000005,-1.59,-0.27
SAGA_Car_000005,-1.7,
SAGA_Car_000005,-1.39,
SAGA_Car_000323,-1.3,-0.24
SAGA_Car_000323,-1.43,
SAGA_Car_000323,-2,
SAGA_Car_000323,-1.61,0.12
SAGA_Car_000323,-1.53,
SAGA_Car_000324,-1.85,
SAGA_Car_000324,-1.6,
SAGA_Car_000324,-1.49,-0.1
SAGA_Car_000324,-1.63,
SAGA_Car_000398,-2.81,-0.01
SAGA_Car_000398,,
SAGA_Car_000398,-2.86,
SAGA_Car_000409,-2.08,
SAGA_Car_000409,-1.89,-0.01
SAGA_Car_000409,-1.74,
SAGA_Car_000429,-2.86,0.1
SAGA_Car_000429,-2.62,
SAGA_Car_000437,-2.08,
SAGA_Car_000437,-1.99,
SAGA_Car_000437,-1.96,-0.27
SAGA_Car_000437,-2.13,
SAGA_Car_000438,-2.08,
SAGA_Car_000438,-1.72,
SAGA_Car_000438,-1.68,0.13
SAGA_Car_000438,-1.56,
SAGA_Car_000462,-1.93,
SAGA_Car_000462,-1.35,0
SAGA_Car_000462,-1.47,
SAGA_Car_000477,-1.9,
SAGA_Car_000477,-1.59,0.48
SAGA_Car_000477,-1.56,
SAGA_Car_000495,-1.52,
SAGA_Car_000495,-1.84,
SAGA_Car_000495,-1.42,-0.27
SAGA_Car_000495,-1.61,
SAGA_Car_000528,-1.83,
SAGA_Car_000528,-1.5,0.21
SAGA_Car_000528,-1.6,
SAGA_Car_000589,-2.34,
SAGA_Car_000589,-2.13,0.39
SAGA_Car_000589,-2.05,
SAGA_Car_000617,-1.95,
SAGA_Car_000617,-1.63,
SAGA_Car_000617,-1.56,0.1
SAGA_Car_000617,-1.7,
SAGA_Car_000619,-1.68,0.15
SAGA_Car_000619,-1.89,
SAGA_Car_000619,-1.57,0.06
SAGA_Car_000619,-1.66,
SAGA_Car_000625,-2.23,
SAGA_Car_000625,-1.78,-0.22
SAGA_Car_000625,-2.03,
SAGA_Car_000697,-1.79,
SAGA_Car_000697,-1.73,0.05
SAGA_Car_000697,-1.66,
SAGA_Car_000717,-1.35,-0.03
SAGA_Car_000717,-1.3,
SAGA_Car_000717,-1.92,
SAGA_Car_000717,-1.34,-0.03
SAGA_Car_000717,-1.39,
SAGA_Car_000867,-1.84,0.39
SAGA_Car_000867,-1.68,
SAGA_Car_000897,-1.75,-0.08
SAGA_Car_000897,-1.88,
SAGA_Car_000897,-1.5,
SAGA_Car_000930,-1.53,0.06
SAGA_Car_000930,-1.41,
SAGA_Car_000930,-1.76,
SAGA_Car_000930,-1.43,0.17
SAGA_Car_000930,-1.37,
SAGA_Car_001198,-1.39,
SAGA_Car_001198,-1.53,
SAGA_Car_001198,-1.28,-0.04
SAGA_Car_001200,-1.3,-0.74
SAGA_Car_001200,-1.52,
SAGA_Car_001200,-1.56,
SAGA_Car_001200,-1.29,-0.9
SAGA_Car_001206,-1.62,
SAGA_Car_001206,-1.18,-0.01
SAGA_Car_001206,-1.3,0.03
SAGA_Car_001208,-1.8,
SAGA_Car_001208,-1.43,
SAGA_Car_001208,-1.26,0.14
SAGA_Car_001209,-2.15,-0.2
SAGA_Car_001209,-2.52,
SAGA_Car_001209,-2.5,0.45
SAGA_Car_001215,-2.5,
SAGA_Car_001215,-2.29,
SAGA_Car_001215,-2.29,0.12
SAGA_Car_001216,-1.73,0.45
SAGA_Car_001221,-2.65,
SAGA_Car_001221,-2.32,
SAGA_Car_001221,-2.03,0.14
SAGA_Car_001225,-1.85,
SAGA_Car_001225,-1.6,0.15
SAGA_Car_001226,-2.03,
SAGA_Car_001226,-1.27,-0.09
SAGA_Car_001227,-2.48,
SAGA_Car_001227,-1.72,-0.08
SAGA_Car_001228,-1.88,
SAGA_Car_001228,-1.48,0.35
SAGA_Car_001229,-1.74,
SAGA_Car_001229,-1.48,0.01
SAGA_Dra_000001,-2.93,0.21
SAGA_Dra_000001,-3.05,
SAGA_Dra_000001,-2.91,
SAGA_Dra_000001,-2.97,
SAGA_Dra_000001,-2.97,
SAGA_Dra_000001,-2.78,
SAGA_Dra_000001,-3,
SAGA_Dra_000004,-1.77,
SAGA_Dra_000004,-2.05,
SAGA_Dra_000004,-1.67,-0.27
SAGA_Dra_000004,-1.67,
SAGA_Dra_000004,-1.55,
SAGA_Dra_000004,-1.74,
SAGA_Dra_000007,-2.03,
SAGA_Dra_000007,-1.94,-0.04
SAGA_Dra_000007,-1.73,
SAGA_Dra_000007,-1.94,
SAGA_Dra_000008,-2.39,0.09
SAGA_Dra_000009,-2.6,
SAGA_Dra_000009,-2.5,0.04
SAGA_Dra_000009,-2.55,
SAGA_Dra_000009,-2.33,
SAGA_Dra_000009,-2.59,
SAGA_Dra_000009,-2.51,
SAGA_Dra_000010,-1.74,
SAGA_Dra_000010,-1.54,-0.2
SAGA_Dra_000010,-1.41,
SAGA_Dra_000010,-1.63,
SAGA_Dra_000011,-2.7,-0.07
SAGA_Dra_000011,-2.56,
SAGA_Dra_000012,-3.06,-0.01
SAGA_Dra_000012,-2.76,
SAGA_Dra_000013,-1.87,
SAGA_Dra_000013,-1.78,-0.26
SAGA_Dra_000013,-1.59,
SAGA_Dra_000013,-1.75,
SAGA_Dra_000014,-2.04,-0.39
SAGA_For_000001,-1.21,-0.14
SAGA_For_000001,-0.92,
SAGA_For_000001,-0.89,
SAGA_For_000002,-1.6,-0.09
SAGA_For_000003,-0.67,0.07
SAGA_For_000003,-0.62,
SAGA_For_000003,-0.73,
SAGA_For_000003,-0.35,
SAGA_For_000003,-0.62,
SAGA_For_000305,-0.26,-0.43
SAGA_For_000305,-0.93,
SAGA_For_000318,-0.44,-0.07
SAGA_For_000318,-0.64,
SAGA_For_000346,-0.88,0.1
SAGA_For_000346,-0.95,
SAGA_For_000659,-3.66,0.22
SAGA_For_000659,-2.61,
SAGA_For_001447,-0.76,-0.3
SAGA_For_001456,-0.81,-0.11
SAGA_For_001473,-1.48,0.16
SAGA_For_001488,-1.02,0.16
SAGA_For_001502,-0.96,-0.39
SAGA_For_001529,-0.97,0.18
SAGA_For_001551,-1.02,-0.2
SAGA_For_001575,-1.87,0.2
SAGA_For_001577,-0.77,0.22
SAGA_Scl_000002,-1.66,0.03
SAGA_Scl_000002,-1.86,
SAGA_Scl_000002,-1.6,
SAGA_Scl_000002,-1.58,
SAGA_Scl_000002,-1.6,
SAGA_Scl_000002,-1.79,
SAGA_Scl_000003,-1.56,-0.2
SAGA_Scl_000003,-1.79,
SAGA_Scl_000003,-1.77,
SAGA_Scl_000003,-1.75,
SAGA_Scl_000003,-1.77,
SAGA_Scl_000003,-1.76,
SAGA_Scl_000004,-1.77,-0.03
SAGA_Scl_000004,-1.77,
SAGA_Scl_000004,-1.8,
SAGA_Scl_000004,-1.78,
SAGA_Scl_000004,-1.8,
SAGA_Scl_000004,-1.68,
SAGA_Scl_000005,-1.24,-0.36
SAGA_Scl_000005,-1.22,
SAGA_Scl_000005,-1.35,
SAGA_Scl_000005,-1.33,
SAGA_Scl_000005,-1.35,
SAGA_Scl_000005,-1.07,
SAGA_Scl_000006,-2.1,-0.06
SAGA_Scl_000006,-2.03,
SAGA_Scl_000006,-2.18,
SAGA_Scl_000006,-2.17,
SAGA_Scl_000006,-2.16,
SAGA_Scl_000006,-2.18,
SAGA_Scl_000006,-2,
SAGA_Scl_000006,-2.15,
