JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,Si/Fe
36,ROE14b,CS22957-022,2MASS_J00014549-0549465, -3.28,0.81
38,ROE14b,CS22876-040,2MASS_J00045244-3413372, -2.47,0.44
54,ROE14b,CS30339-015,2MASS_J00165810-3348175, -3.0,0.6
58,ROE14b,CS22882-001,2MASS_J00202529-3139040, -2.62,0.21
66,ROE14b,CS22882-006,2MASS_J00215986-2929265, -2.94,0.42
67,ROE14b,CS30339-052,2MASS_J00225014-3407207, -2.69,0.42
70,ROE14b,CS30339-046,2MASS_J00252167-3630244, -2.71, -0.2
80,ROE14b,CS30339-069,2MASS_J00301595-3556512, -3.5,0.21
82,ROE14b,CS22882-030,2MASS_J00302004-3020584, -3.47,0.35
83,ROE14b,CS22882-012,2MASS_J00302250-2735272, -2.76,0.47
99,ROE14b,CS22942-002,2MASS_J00463587-2443022, -3.61,0.82
102,YON13,HE0049-3948,2MASS_J00521335-3932368, -3.68, -0.01
105,ROE14b,CS22942-011,2MASS_J00541299-2504338, -2.88,0.89
131,ROE14b,CS22953-003,2MASS_J01021585-6143458, -3.13,0.94
138,YON13,HE0102-1213,2MASS_J01052796-1157310, -3.28,0.16
147,ROE14b,CS22183-031,2MASS_J01090507-0443211, -3.57,1.09
149,ROE14b,CS29514-017,2MASS_J01094480-2616549, -2.35,0.42
163,ROE14b,CS29514-037,2MASS_J01214169-2703312, -2.62,0.35
174,ROE14b,CS29504-006,2MASS_J01320497-3622429, -3.12,0.35
186,YON13,HE0146-1548,2MASS_J01483472-1533243, -3.46,0.5
195,YON13,HE0207-1423,2MASS_J02100069-1409110, -2.95,0.5
222,ROE14b,CS22189-009,2MASS_J02414237-1328105, -3.92,0.84
236,ROE14b,CS22963-004,2MASS_J02564657-0451174, -4.09,0.86
263,ROE14b,CS22185-007,2MASS_J03173604-1517227, -3.06,0.66
306,ROE14b,CS22177-009,2MASS_J04074064-2502439, -3.42,0.4
313,ROE14b,CS22169-035,2MASS_J04121388-1205050, -3.31,1.03
320,ROE14b,CS22186-002,2MASS_J04135721-3646255, -2.72,0.49
321,ROE14b,CS22186-017,2MASS_J04162226-3417576, -2.82,0.43
327,ROE14b,CS22182-033,2MASS_J04231047-3037041, -2.65,0.36
