Fe/H,Sr/Fe
-3.28,-0.33
-3.26,-2.07
-3.06,0.29
-2.72,-0.04
-3.33,-1.4
-2.78,0.85
-2.29,0.17
-3.82,-0.46
-3.24,-0.21
-3.08,-1.06
-3.23,0.78
-2.68,0.69
-3.47,0.26
-2.5,0.13
-2.68,-0.29
-3.22,-0.54
-3.61,-1.73
-1.77,-0.64
-2.44,0.03
-2.88,0.07
-3.22,-0.15
-2.34,0.27
-3.13,0.45
-2.93,0.25
-3.08,-0.07
-3.31,-0.49
-3.3,-0.88
-2.56,0.33
-3.57,-0.14
-2.35,-0.08
-2.52,0.07
-2.96,1
-2.99,-0.03
-2.97,0.37
-2.65,0.15
-3.57,-1.61
-3.98,-0.3
-2.95,-0.52
-2.62,-0.84
-3.46,-0.38
-3.08,0.15
-2.47,-0.26
-3.03,-0.23
-1.98,0.67
-2.95,0.33
-2.27,0.05
-3.05,-0.14
-2.81,0.27
-2.61,0.27
-3.92,-0.89
-3.23,0.46
-2.86,-0.09
-2.58,0.97
-3.04,0.06
-2.49,-0.28
-2.53,-0.15
-4.09,-0.95
-2.83,0.26
-2.27,0.23
-3.99,-1.94
-2.96,-0.65
-1.56,0.09
-2.82,-1.83
-3.86,-1.21
-3.06,-0.75
-2.73,0.09
-3.14,-1.38
-3.14,0.38
-2.68,-0.14
-2.87,0.03
-2.61,0.09
-2.88,-0.43
-2.42,-0.16
-3.17,-1.18
-2.97,0.12
-2.88,-0.77
-3.34,0.21
-3.31,0.07
-2.72,0.08
-3.04,-0.12
-1.38,-0.09
-3.0,-0.02
-2.72,0.1
-3.19,0.58
-2.35,0.43
-2.41,-0.22
-3.1,-0.38
-3.38,-0.36
-2.4,-0.06
-3.06,-0.07
-2.39,0.13
-2.48,0.26
-2.61,0.07
-2.52,-0.44
-2.74,0.02
-2.01,0.15
-3.01,0.28
-2.75,-0.6
-2.29,1.29
-4.17,-0.39
-3.02,0.27
-3.13,-0.28
-2.96,-0.41
-2.39,-0.75
-2.81,0.4
-2.88,0.33
-3.34,-0.61
-2.08,-0.09
-2.39,-0.22
-3.36,0.11
-2.72,0.34
-2.49,0.25
-2.53,-0.12
-3.21,-0.18
-3.12,-0.5
-2.16,-0.09
-3.0,0.36
-2.9,0.39
-2.97,0.41
-3.06,-0.29
-2.44,-0.03
-2.75,0.18
-2.91,-0.09
-2.67,0.34
-3.4,-1.15
-2.61,0.46
-2.89,-0.16
-3.23,-0.88
-2.65,-0.78
-2.73,-0.12
-2.86,-0.89
-3.28,0.8
-2.95,-0.24
-2.08,0.1
-3.25,-0.29
-3.02,-0.12
-3.33,0.41
-3.14,-0.5
-2.84,-0.31
-4.15,-1.08
-2.88,0.04
-3.15,-0.4
-3.31,-0.16
-2.98,-0.02
-2.2,0.3
-2.52,0.12
-2.82,-1.27
-2.33,-0.35
-2.46,0.4
-2.47,0.14
-2.85,-0.69
-2.82,-0.33
-2.82,0.21
-3.45,0.13
-2.37,-0.18
-3.17,-0.17
-2.71,0.1
-3.36,0.11
-3.03,-0.68
-2.53,0.19
-3.3,-2.14
-2.46,0.19
-2.89,0.19
-2.64,0.37
-2.91,1.12
-2.41,0.18
-2.77,0.24
-2.01,0.44
-2.41,0.04
-3.41,0.03
-2.69,-0.39
-3.19,-2.07
-3.06,0.38
-3.53,-0.12
-3.18,0.04
-4.07,-0.83
-4.06,-1.18
-3.49,0.63
-2.68,0.63
-2.98,-0.39
-3.32,-0.42
-4.41,-1.75
-4.12,0.1
-3.64,-1.62
-2.1,0.28
-4.1,-1.63
-3.35,-0.71
-3.31,-0.06
-3.83,0.67
-3.87,0.1
-2.35,-0.01
-3.27,0.02
-3.22,-0.23
-3.44,-0.43
-2.81,-0.06
-2.22,0.02
-2.47,0.95
-2.54,0.92
-3.29,-0.1
-3.24,0.39
-2.41,0.47
-2.97,0.05
-2.43,0.01
-3.22,-0.2
-2.49,0.1
-3.13,0.52
