Fe/H,Ti/Fe
-0.92,0.29
-3.28,0.22
-3.26,0.15
-3.06,0.24
-2.72,0.23
-3.33,0.04
-2.78,0.59
-3.82,0.37
-3.24,0.32
-3.08,0.11
-3.23,0.43
-2.3,0.18
-2.68,0.4
-3.47,0.61
-2.5,-0.06
-2.68,0.21
-3.22,0.29
-3.61,0.37
-1.77,0.11
-2.44,0.26
-2.88,0.15
-3.22,0.28
-2.34,0.34
-3.13,0.07
-2.93,0.71
-3.08,0.25
-3.31,0.26
-3.3,0.46
-2.56,0.42
-2.64,0.31
-3.57,0.26
-2.35,0.07
-2.52,0.28
-2.96,0.22
-2.99,0.3
-2.97,0.33
-2.65,0.42
-3.57,0.36
-3.08,0.34
-3.98,0.11
-2.95,0.43
-2.62,0.36
-3.46,0.16
-3.08,0.34
-2.47,0.25
-3.03,0.31
-1.98,0.01
-2.14,0.58
-2.95,0.21
-2.27,0.21
-3.05,0.27
-2.81,0.42
-2.61,0.29
-3.92,0.02
-3.23,0.4
-2.86,0.36
-2.58,0.43
-3.04,0.3
-2.49,0.33
-2.53,0.31
-4.09,0.56
-2.83,0.37
-2.27,0.38
-3.99,0
-2.96,0.24
-1.56,0.15
-2.82,0.37
-3.86,0.21
-3.06,0.13
-2.73,0.34
-3.14,0.26
-3.14,0.39
-2.68,0.18
-2.87,0.3
-2.61,0.33
-2.88,-0.0
-2.42,0.17
-3.17,0.33
-2.97,0.14
-2.88,0.05
-3.34,0.36
-2.13,0.16
-3.31,-0.21
-2.72,0.2
-3.04,0.08
-3.0,0.37
-2.72,0.2
-3.19,0.4
-2.35,0.37
-2.52,0.29
-2.41,0.22
-3.1,0.31
-3.38,0.31
-2.4,0.23
-3.06,0.39
-2.39,0.38
-2.48,0.27
-2.61,0.31
-2.52,0.32
-2.74,0.33
-2.01,0.26
-3.01,0.26
-4.73,0.28
-2.75,0.25
-3.22,0.19
-2.29,0.36
-4.17,-0.2
-3.02,0.29
-3.13,0.26
-2.96,0.26
-2.39,0.11
-2.39,0.15
-2.81,0.49
-2.88,0.3
-3.34,0.27
-2.08,0.06
-2.39,0.28
-3.36,0.26
-2.72,0.25
-2.49,0.25
-2.53,0.14
-2.32,0.09
-3.21,0.5
-2.39,0.09
-3.12,0.35
-2.16,0.12
-3.0,0.35
-2.9,0.43
-2.97,0.1
-3.06,0.23
-2.44,0.2
-2.75,0.38
-2.91,0.26
-2.67,0.32
-3.81,0.41
-3.4,0.32
-2.61,0.23
-2.89,0.39
-3.23,0.5
-2.65,0.14
-2.73,0.24
-2.86,0.08
-3.28,0.43
-2.95,0.32
-2.08,0.23
-3.25,0.74
-3.02,0.37
-3.33,0.51
-3.14,0.06
-2.84,0.17
-4.15,0.35
-2.88,0.19
-3.15,0.26
-3.31,0.07
-2.1,0.14
-2.98,0.27
-2.2,0.66
-1.79,0.19
-2.52,0.12
-2.82,0.61
-2.33,0.25
-2.46,0.39
-2.47,0.26
-2.85,0.3
-2.82,0.03
-2.82,0.3
-3.45,0.37
-2.37,0.27
-2.14,0.31
-3.17,0.2
-2.71,0.3
-2.52,0.37
-3.36,0.31
-3.03,0.33
-2.38,0.38
-2.11,0.52
-2.52,0.27
-2.53,0.38
-3.3,0.36
-2.89,0.35
-2.64,0.45
-2.91,0.35
-2.41,0.41
-2.77,0.24
-2.2,0.27
-3.41,0.28
-2.69,0.26
-2.54,0.28
-3.19,0.09
-3.06,0.49
-3.53,0.33
-3.18,0.55
-4.07,0.56
-4.06,0.25
-3.49,0.22
-2.68,0.39
-2.98,0.2
-3.32,0.24
-4.41,0.42
-4.12,-0.01
-3.64,0.16
-4.1,0.17
-3.35,0.07
-3.31,0.04
-3.83,0.25
-3.87,0.1
-2.35,0.23
-3.27,0.23
-3.22,0.29
-3.44,0.21
-2.81,0.3
-2.22,0.31
-2.47,0.57
-2.54,0.17
-3.29,0.33
-3.24,0.33
-2.41,0.24
-2.97,0.23
-2.43,0.18
-3.22,0.28
-2.49,0.31
-3.13,0.21
-2.07,0.28
-1.85,0.29
-3.67,0.31
-3.14,0.22
-2.66,0.49
-2.74,0.23
-2.81,0.24
-2.59,0.21
-2.85,0.27
-2.79,0.28
-2.73,0.33
-3.64,0.2
-3.91,0.3
-3.1,0.23
-3.23,0.15
-1.7,0.19
-2.58,0.17
-2.55,0.16
-2.62,0.29
-3.19,0.31
-2.92,0.12
-3.3,0.17
-2.77,0.23
-2.27,0.28
-2.9,0.27
-2.73,0.4
-3.07,0.3
-2.58,0.37
-2.6,0.33
-2.87,0.25
-2.6,0.38
-3.07,0.37
-2.46,0.66
-2.61,0.33
-2.12,0.19
-2.78,0.37
-3.03,0.32
-2.4,0.27
-2.75,0.44
-2.21,0.31
-2.87,0.39
-2.26,0.3
-2.73,-0.11
-2.94,0.25
-1.93,0.26
-2.97,0.13
-3.02,0.2
-2.78,0.36
-2.49,0.76
-2.63,-0.0
-3.38,0.31
-3.55,0.24
-2.55,0.3
-4.38,0.28
-2.78,0.28
-2.78,-0.03
-2.92,0.12
-3.11,0.32
-2.82,0.38
-3.43,0.34
-3.34,0.19
-2.58,0.16
-3.87,0
-2.97,0.23
-2.64,0.24
-3.17,0.64
-2.61,0.35
-2.56,0.12
-2.98,0.06
-3.19,0.32
-1.24,0.31
-2.62,0.18
-2.48,0.25
-2.03,0.15
-3.18,0.19
-2.92,0.07
-3.09,0.17
-2.75,0.33
-3.2,0.12
-3.0,0.09
