# Object,[Fe/H],[Ti/Fe]
SAGA_Car_000001,-1.94,0.18
SAGA_Car_000001,-2.13,0.39
SAGA_Car_000001,-2.02,
SAGA_Car_000002,-1.6,0.14
SAGA_Car_000002,-1.68,0.42
SAGA_Car_000002,,
SAGA_Car_000003,-1.65,-0.34
SAGA_Car_000003,-2.19,0.87
SAGA_Car_000003,-1.82,-0.08
SAGA_Car_000003,-1.82,
SAGA_Car_000004,-1.41,0.11
SAGA_Car_000004,-1.67,0.58
SAGA_Car_000004,-1.29,0.08
SAGA_Car_000004,-0.99,
SAGA_Car_000005,-1.59,0.1
SAGA_Car_000005,-1.7,0.54
SAGA_Car_000005,-1.39,
SAGA_Car_000258,-2.53,0.4
SAGA_Car_000258,-2.33,0.58
SAGA_Car_000258,-2.04,
SAGA_Car_000323,-1.3,0.27
SAGA_Car_000323,-1.43,0.13
SAGA_Car_000323,-2,0.66
SAGA_Car_000323,-1.61,0.16
SAGA_Car_000323,-1.53,
SAGA_Car_000324,-1.85,-0.1
SAGA_Car_000324,-1.6,-0.01
SAGA_Car_000324,-1.49,0.29
SAGA_Car_000324,-1.63,
SAGA_Car_000370,-1.85,0.16
SAGA_Car_000370,-1.52,
SAGA_Car_000370,-1.43,
SAGA_Car_000398,-2.81,0.65
SAGA_Car_000398,,
SAGA_Car_000398,-2.86,
SAGA_Car_000401,-1.55,0.67
SAGA_Car_000401,-1.54,
SAGA_Car_000409,-2.08,0.34
SAGA_Car_000409,-1.89,0.43
SAGA_Car_000409,-1.74,
SAGA_Car_000420,-2.51,0.29
SAGA_Car_000420,-2.29,
SAGA_Car_000429,-2.86,0.11
SAGA_Car_000429,-2.62,
SAGA_Car_000437,-2.08,-0.08
SAGA_Car_000437,-1.99,0.22
SAGA_Car_000437,-1.96,0.29
SAGA_Car_000437,-2.13,
SAGA_Car_000438,-2.08,0.06
SAGA_Car_000438,-1.72,-0.26
SAGA_Car_000438,-1.68,0.1
SAGA_Car_000438,-1.56,
SAGA_Car_000458,-1.58,-0.19
SAGA_Car_000458,-1.33,
SAGA_Car_000462,-1.93,0.26
SAGA_Car_000462,-1.35,0.07
SAGA_Car_000462,-1.47,
SAGA_Car_000477,-1.9,-0.03
SAGA_Car_000477,-1.59,0.19
SAGA_Car_000477,-1.56,
SAGA_Car_000495,-1.52,0
SAGA_Car_000495,-1.84,0.48
SAGA_Car_000495,-1.42,0.21
SAGA_Car_000495,-1.61,
SAGA_Car_000513,-1.47,0.28
SAGA_Car_000513,-1.36,
SAGA_Car_000528,-1.83,-0.23
SAGA_Car_000528,-1.5,0.21
SAGA_Car_000528,-1.6,
SAGA_Car_000551,-1.34,1.16
SAGA_Car_000551,-1.42,
SAGA_Car_000589,-2.34,0.54
SAGA_Car_000589,-2.13,0.37
SAGA_Car_000589,-2.05,
SAGA_Car_000591,,
SAGA_Car_000591,-1.78,0.3
SAGA_Car_000591,-2.27,
SAGA_Car_000617,-1.95,0.09
SAGA_Car_000617,-1.63,0.51
SAGA_Car_000617,-1.56,0.24
SAGA_Car_000617,-1.7,
SAGA_Car_000619,-1.68,0.27
SAGA_Car_000619,-1.89,0.05
SAGA_Car_000619,-1.57,0.23
SAGA_Car_000619,-1.66,
SAGA_Car_000625,-2.23,-0.12
SAGA_Car_000625,-1.78,-0.07
SAGA_Car_000625,-2.03,
SAGA_Car_000697,-1.79,-0.08
SAGA_Car_000697,-1.73,0.45
SAGA_Car_000697,-1.66,
SAGA_Car_000712,-1.57,0.74
SAGA_Car_000712,-1.68,
SAGA_Car_000717,-1.35,0.02
SAGA_Car_000717,-1.3,-0.22
SAGA_Car_000717,-1.92,0.21
SAGA_Car_000717,-1.34,0.13
SAGA_Car_000717,-1.39,
SAGA_Car_000727,-1.48,-0.07
SAGA_Car_000727,-1.17,
SAGA_Car_000817,-1.57,0.27
SAGA_Car_000817,-2.2,
SAGA_Car_000835,-2,0.13
SAGA_Car_000835,-1.79,
SAGA_Car_000867,-1.84,0.18
SAGA_Car_000867,-1.68,
SAGA_Car_000894,-1.53,0.07
