Name,v_r(km/s),v_phi flipped
2MASS J00101758-1735387,-10.9078024,87.25345539
2MASS J00002259-1302275,-179.8035813,71.38746901
2MASS J00002416-1107454,-238.4554756,-97.00474071
HD 224930,-5.386059222,173.7717986
2MASS J00021668-2453494,-171.0964537,143.5399684
BPS CS 22957-036,119.3041128,-37.26937151
HD 20,227.8148884,12.1543306
2MASS J00073817-0345509,-96.67575566,13.7443866
2MASS J00093394-1857008,87.44954841,-75.05237996
2MASS J00154806-6253207,97.06930437,-16.94882698
2MASS J00172430-3333151,-115.2098814,171.9934845
2MASS J00182832-3900338,-52.69521708,111.4756911
BPS CS 22882-001,115.1797078,-55.80132638
2MASS J00223225-4839449,131.071171,-183.2222233
BPS CS 29497-004,121.6344101,177.6584871
2MASS J00400685-4325183,-53.860726,-99.81757654
2MASS J00405260-5122491,20.27261849,17.48482915
2MASS J00413026-4058547,-74.42310896,98.17074036
2MASS J00442897-1017497,-82.99865841,-15.71509924
2MASS J00452379-2112161,-1.690613545,119.8420454
2MASS J00452879-5846450,-335.5096132,31.41548209
2MASS J00453930-7457294,-105.7951503,30.59882203
HE 0045-2430,261.0144944,-89.12229446
2MASS J00482431-1041309,-183.5590998,35.69080978
2MASS J00512646-1053170,-153.4395826,99.37895437
2MASS J00524174-0902235,-240.6861969,112.2474214
2MASS J00541965-0611555,41.09321278,15.60079224
HE 0057-4541,-180.7872273,-60.98008837
BPS CS 22953-003,-254.503433,-74.73242228
BPS CS 22183-031,145.6542364,2.46522884
2MASS J01165010-6307441,136.1959929,-21.39073842
2MASS J01202234-5425582,159.9459402,116.342894
2MASS J01213447-2528002,-49.29813831,-129.8654383
2MASS J01293113-1600454,-114.3149637,-107.5170541
2MASS J01311599-4016510,-107.5957992,-5.522846002
2MASS J01321981-3040512,-58.5866692,74.93313699
2MASS J01371888-1729037,-163.6789825,0.930599893
2MASS J01373857-2618131,-64.24895082,103.3848312
2MASS J01425422-5032488,-78.76198914,-152.2362201
2MASS J01425445-0904162,-82.80375687,115.344648
2MASS J01493760-4551222,218.0375572,0.21367794
2MASS J01530024-3417360,-186.4173168,-8.624477968
2MASS J01553180-4919420,226.4307745,216.7192219
2MASS J01555066-6400155,16.77946349,-166.0758473
2MASS J01565634-1402108,149.7934854,37.68339424
BPS CS 22958-037,191.9659901,209.7080872
2MASS J02031860-7930291,-51.99445429,168.7247675
2MASS J02070641-5009166,142.4988849,154.2082629
BPS CS 22958-052,142.4065254,104.846658
2MASS J02165716-7547064,-152.7303839,265.6711134
2MASS J02230804-3129531,-116.6988642,98.06581894
2MASS J02265832-0749596,48.54434029,124.9086458
2MASS J02274104-0519230,-138.9726137,77.45556404
2MASS J02355867-6745520,47.79398336,66.3185428
2MASS J02413897-0427349,-199.4459991,-123.2274086
2MASS J02462013-1518419,257.6774792,-190.0790751
SMSS J024858.41-684306.4,-207.7686185,371.4535404
2MASS J02500719-5145148,-80.65563793,72.06350412
2MASS J02515281-3717316,-43.32436662,74.26269574
2MASS J02570028-3024374,22.02345945,52.93251713
BPS CS 31078-018,88.63591601,123.7108719
HE 0300-0751,163.2734542,-359.7680692
2MASS J03071478-0534554,-70.30314128,33.19993584
2MASS J03073894-0502491,-141.2122017,92.18565332
2MASS J03084611-4747083,-216.9859035,-8.06165271
2MASS J03133726-1020553,187.7300793,-56.38740916
2MASS J03154102-7626329,141.7442646,77.36870634
BPS CS 22968-026,-191.8826777,-1.258462575
2MASS J03210882-3944213,-85.94571466,-113.9574807
2MASS J03270229+0132322,-28.5391405,147.0276353
BPS CS 29526-110,-88.06787123,-100.5030813
HE 0328-1047,-121.0889971,-135.5793562
HE 0337-5127,32.58291315,116.9149638
2MASS J03422816-6500355,-56.20829856,88.67077372
SMSS J034249.53-284216.0,29.98219573,108.0923798
HE 0341-4024,126.5756897,-15.48487328
2MASS J03434624-0924169,213.3349841,59.56624273
BPS CS 29529-054,-91.07484243,41.90956713
2MASS J04012191-2635058,-125.309485,-9.99181118
2MASS J04121388-1205050,-16.39900257,74.86414271
BPS CS 22186-005,171.6128285,24.00160063
BPS CS 22186-002,195.6065814,-97.74258415
2MASS J04182158-2323391,-112.0515678,20.29703866
2MASS J04192966-0517491,74.76507657,-26.3442731
BPS CS 22182-033,146.3008569,-78.78142233
HE 0420+0123a,-56.92636019,68.46936467
BPS CS 22186-025,-195.7776642,154.5420303
2MASS J04245677-6500173,34.77435182,69.4815827
2MASS J04263084-4058516,-51.07255309,82.46072558
HE 0430-4901,86.16207342,81.48244804
2MASS J04315411-0632100,20.9280586,-132.8995464
HE 0432-0923,-95.69358707,125.2486499
HE 0442-1234,32.32967304,-205.1251497
BPS CS 22191-029,103.1463439,82.73978615
2MASS J04520910-6209121,85.13957376,-37.89885394
2MASS J04530168-2437144,54.01370146,-319.5823305
2MASS J04565146-3115427,57.61420585,-14.77021288
2MASS J05030025-7601462,120.7528373,-15.74644042
SMSS J051008.62-372019.8,46.01110144,-95.04572191
HE 0512-3835,94.72442243,-17.96222527
HE 0516-3820,24.56524964,109.3130988
HE 0524-2055,117.0416738,99.81079121
2MASS J05311779-5810048,127.0038956,84.08475047
HE 0534-4615,195.7616397,51.61064956
2MASS J05381700-7516207,84.91622024,142.4715211
2MASS J05383296-5904280,61.12766558,104.5800454
HE 0538-4515,23.93840188,172.5594631
2MASS J05521578-3953184,-76.14673926,97.57226221
2MASS J05564771-6639054,184.3309954,33.19303053
2MASS J06090353-7122260,73.3745125,-39.46600252
2MASS J06195001-5312114,-62.57468342,154.5632771
SMSS J062609.83-590503.2,-113.1257084,305.0342751
2MASS J06290787-6709523,6.081030527,141.0211785
2MASS J06320130-2026538,65.13946248,151.4046665
2MASS J06332771-3519240,-215.8945925,-89.56682954
SMSS J063447.15-622355.0,-266.6641048,348.5528057
2MASS J06392518-7414056,-14.33804214,107.2943231
2MASS J06401317-3540444,-70.65937175,18.58700585
2MASS J07052028-3343242,293.1546735,-6.985216056
2MASS J07150266-0154092,-21.60074716,251.0637069
2MASS J07161594-5135248,34.57914128,-48.6663648
2MASS J07202253-3358518,-182.4679459,-3.513566393
2MASS J07250021-7022038,-142.0594229,-76.74289889
2MASS J07352232-4425010,-204.8183057,-5.966571617
2MASS J07393021-5548171,114.7944512,-43.53368371
BD-01:1792,-151.1685931,13.06403409
2MASS J07411443-4339360,237.1947045,-202.2368816
2MASS J07501424-4123454,284.152476,-58.84434354
2MASS J08015897-5752032,261.9450248,136.1258076
2MASS J08032084-5856521,-28.32971853,127.1488183
2MASS J08134364-2332528,0.480247293,105.7674498
2MASS J08155667-2204105,81.44028187,-18.41381731
2MASS J08393460-2122069,-144.1732868,-19.75029702
2MASS J08594093-1415151,192.0746206,-34.62209771
2MASS J09185890-2311511,316.2902198,186.1151298
2MASS J09255655-3450373,-136.400304,-42.34090357
2MASS J09261133-1526232,292.9798075,-49.38791487
2MASS J09284944-0738585,68.59083328,146.4563271
2MASS J09364069-2038386,-127.2780663,-121.0965411
2MASS J09463483-0626532,125.8016524,13.25642116
2MASS J09544277+5246414,130.9525554,-149.4290621
2MASS J09574607-3923072,80.35004819,120.5147407
2MASS J09580181-1446137,132.995002,-4.052538955
2MASS J10025125-4331098,0.03932934,-14.87894629
2MASS J10044858-2706500,-66.20729715,-10.09464294
2MASS J10063414-7030212,57.21406762,114.7676361
2MASS J10082492-2314124,104.1345558,149.2217365
BPS BS 15621-047,-58.65088676,203.5243204
2MASS J10121964-3221347,223.5517872,-25.02324066
2MASS J10191573-1924464,-1.407387817,151.8714984
2MASS J10194932-4900584,275.0789706,-2.600217502
2MASS J10223779-3400209,66.70932817,-49.12124262
2MASS J10302845-7543299,-126.9033687,-27.71547511
2MASS J10345348-1117221,101.3814177,44.38184462
2MASS J10362687-3746174,-90.90564041,60.28868856
2MASS J10401894-4106124,30.37824432,212.8863417
HE 1044-2509,-74.65964343,-163.2482967
2MASS J10492192-1154173,38.21485279,19.35227211
2MASS J10513692-2115466,13.15685159,87.16634974
SMSS J105320.99-435300.1,-306.2910685,497.3033612
J1054+0528,81.80368724,118.9886668
2MASS J10594136-2052253,-76.14638922,41.72798437
2MASS J11014865-3749526,-170.5484066,-83.21930881
2MASS J11165400-7250160,-76.8866606,23.07656217
LAMOST J112456.61+453531.,-41.29922526,-20.38406107
2MASS J11301705-1449325,80.25984723,169.3245726
2MASS J11303693+0224037,106.9947215,13.20042382
2MASS J11370170-5401298,-115.0386678,117.1358584
2MASS J11404726-0833030,-1.06219385,25.27593135
2MASS J11404944-1615396,161.8384136,0.44701394
BD+26:2251,326.0857065,44.61652339
2MASS J11444086-0409511,74.28463142,-352.3551071
2MASS J11444480-1128167,217.0532434,-26.68824195
2MASS J11463882-0422395,23.3160345,19.73779813
2MASS J11471027+0341265,237.765652,-234.5654296
2MASS J11472988-0521444,309.4206359,80.80057465
2MASS J11510227-6940416,-47.3818538,-7.496590204
HD 103095,-291.5424622,86.85507479
2MASS J11543613-0133450,378.8028364,21.53212889
2MASS J12044314-2911051,187.6290848,105.79562
2MASS J12045624-0759232,233.307763,-126.5829816
2MASS J12070990-3653243,46.44418792,-9.045509051
2MASS J12091322-1415313,-157.1540752,-31.86338344
2MASS J12102259-4902190,-248.0211392,18.16307798
HD 106373,280.7334664,68.81326416
HD 107752,118.3736916,-133.8766365
2MASS J12233047-4216365,218.3728789,129.7991719
2MASS J12255123-2351074,-98.58842365,169.1786981
HD 108317,108.2628433,150.3947066
HD 108577,180.0466036,-37.08227151
2MASS J12292696-0442325,256.864169,-69.16434024
HE 1226-1149,-116.1358717,246.4696785
2MASS J12341308-3149577,-114.2584438,-89.74272598
2MASS J12351734+0945333,12.33229257,139.7426367
2MASS J12405721-4051430,-159.2534586,14.45619157
2MASS J12503987-0307485,13.77160983,-243.4046623
2MASS J12535742-3801355,63.17712952,-193.7695958
2MASS J12571667-4335318,-52.15472168,106.9408036
HE 1256-0228,-64.21484511,116.7920434
2MASS J12591462-7049592,85.30959526,16.16658545
BPS BS 16929-005,79.99455257,110.7610368
2MASS J13052137-1137220,-65.1472496,-19.48546874
2MASS J13101305-3342369,27.95064564,137.7939991
BPS CS 22877-015,8.885441737,51.35161718
HD 115444,-159.265404,72.28608584
2MASS J13164824-2743351,276.3691259,-15.35998017
BPS BS 16033-081,46.27886841,-79.60495241
2MASS J13214178-4320055,-25.19231931,8.731515158
2MASS J13254554-1747547,242.5966699,-86.10928309
2MASS J13261792-0945176,84.11890114,-70.79113476
2MASS J13315746-1929446,61.30537324,152.3911245
HD 118055,119.8903408,149.2276146
SMSS J133532.32-210632.9,80.47529605,-94.39774289
2MASS J13374885-0826176,92.5737189,113.0505963
2MASS J13425404-0717005,-252.0017966,211.8608578
HD 119516,144.6007872,149.2936083
BPS BS 16089-013,-137.1602776,-68.62771321
2MASS J13494713-7423395,-12.48224211,20.8399551
2MASS J13511539-7340363,-307.6052783,-70.65955295
2MASS J13524835+1254216,-170.010673,-1.364634799
2MASS J14004919+4551581,359.979427,60.51679122
2MASS J14032900-5250429,20.99959104,48.4087075
2MASS J14043762+0011117,188.4836574,49.67350727
HD 122956,-18.80780775,23.71328694
2MASS J14101587-0343553,-134.8263491,107.5116024
2MASS J14155955-3219255,187.5777043,202.2262759
2MASS J14180866-2842077,-162.4364542,-11.67767693
2MASS J14191395-0844410,107.3067738,161.0589617
BD+01:2916,97.82075615,-19.7688502
2MASS J14232679-2834200,16.50946539,-119.3811637
2MASS J14234371-4025526,-242.9919492,258.53237
BD+08:2856,-190.5256126,158.7919732
2MASS J14301385-2317388,79.34793082,-342.8212472
BD+18:2890,-191.4691882,-49.72479462
HE 1429-0347,198.0588382,176.5933072
2MASS J14325334-4125494,331.4876707,150.2651408
HE 1430+0053,159.9187162,-91.49768488
2MASS J14354680-1124122,4.165238813,200.5539899
BPS BS 16083-172,-122.1708673,75.10331314
2MASS J14543792+0830379,6.310550939,48.52517102
2MASS J14590234-0916105,-274.5979733,-82.91201481
2MASS J14592981-3852558,-105.2623816,-136.232661
2MASS J15002498-0613374,132.4686636,245.5809608
2MASS J15042611-2231523,118.9944603,161.9963982
2MASS J15062866-1428038,29.5959206,160.346281
BD+30:2611,4.78947689,171.6182782
2MASS J15075699-0659593,50.79394296,-7.169927534
2MASS J15083385-1459166,104.5910632,76.04997175
HD 134440,-314.3110227,-270.0776375
2MASS J15111672+0025252,143.7269237,-181.535837
HD 135148,293.1715092,-48.68043955
2MASS J15133549-1244339,-14.33839314,-89.63866225
BPS CS 30306-132,137.2601877,158.2895659
2MASS J15155734-1054220,-197.6980926,111.2123902
2MASS J15204531-1742486,146.5096028,94.58407203
2MASS J15211026-0607566,-104.1778657,-108.8909536
2MASS J15213995-3538094,-113.4547062,327.2657955
2MASS J15260106-0911388,142.4117498,-254.5031308
2MASS J15271353-2336177,53.65179167,92.47627357
2MASS J15293404-3906241,8.892019568,-135.2427458
2MASS J15383085-1804242,-57.60567257,-59.14816432
SMSS J155430.57-263904.8,-75.80139071,390.6187172
2MASS J15582962-1224344,-50.95899576,178.606009
2MASS J16024498-1521016,-96.84164386,181.4771948
BD+42:2667,-111.0995949,-9.063785118
SMSS J160447.75-293146.7,86.86247904,-40.87049018
2MASS J16095117-0941174,-100.2129077,-69.40177385
2MASS J16122832-0848083,32.93833026,131.3091538
2MASS J16163560-0401148,-167.003681,131.9446564
2MASS J16285613-1014576,-74.7451733,181.40331
BD+09:3223,-219.4023925,7.456116476
HD 149414,79.56977978,88.78402708
BPS CS 22878-121,35.14920882,-156.0138982
SMSS J165023.82-252948.7,190.5049225,281.4331355
2MASS J16592172-6827199,378.0284565,-194.7036327
2MASS J17043634-6219457,-139.6559887,-127.3540827
2MASS J17093199-6027271,259.5709725,-270.1049319
2MASS J17124284-5211479,-117.094847,240.7145198
2MASS J17131974-7113010,-70.43797407,177.4064231
2MASS J17163340-7009028,-87.66479479,175.9131873
2MASS J17225742-7123000,-4.639262765,-238.7472662
BD+17:3248,41.30837199,10.56301703
2MASS J17360008-5145303,165.1732887,152.6685171
2MASS J17383643-5358288,30.61231867,123.5527686
2MASS J17400682-6102129,-78.30582255,-68.71266967
2MASS J17414840-5340354,47.39807135,97.74493013
2MASS J17435113-5359333,36.86901192,110.8930998
2MASS J17541561-5148268,-206.5249033,28.52360365
G 154-34,128.5057163,-26.15609883
SMSS J175738.37-454823.5,-6.633695931,163.9200157
2MASS J18024226-4404426,289.9697847,-52.82975115
2MASS J18050641-4907579,-167.1344933,72.87316873
2MASS J18272347-5133001,167.7482078,43.92209974
2MASS J18285086-3434203,-24.43045763,62.8869746
2MASS J18294122-4504000,119.8242516,154.6023352
RAVE J183013.5-455510,-45.72545187,199.5351513
SMSS J183128.71-341018.4,-59.4945323,219.8976469
2MASS J18362318-6428124,8.956221945,184.7785366
2MASS J18363613-7136597,80.64710168,190.6602459
SMSS J183647.89-274333.1,294.4324317,-224.0105931
HD 175305,57.22528722,160.239097
2MASS J18562774-7251331,-226.8007618,24.75772569
2MASS J19014952-4844359,-84.36861085,-23.45324392
2MASS J19050116-1949280,-150.803347,76.30550061
SMSS J190911.03-213207.5,-198.8008283,-18.74664601
2MASS J19092677-5140208,237.8649193,-214.0254389
SMSS J190931.13-214053.9,-19.62407575,242.6787694
HD 178443,-301.4583736,-15.15399466
HD 179626,-108.5963311,0.258127989
2MASS J19161821-5544454,-77.2259205,152.1135055
2MASS J19192768-5959140,319.5820152,-91.15302693
2MASS J19215077-4452545,-62.98094323,240.354645
2MASS J19232518-5833410,-129.2569639,-11.51506102
2MASS J19232941-4425432,-253.4323479,-196.6425429
BPS CS 22896-055,238.9981566,5.778514152
2MASS J19310426-3707397,57.87785492,-30.08462023
2MASS J19345326-3236567,-242.2389736,3.13303964
SMSS J193617.38-790231.4,-261.686303,-251.433472
BPS CS 22896-154,-39.82714079,-136.7661433
2MASS J19445483-4039459,-126.6644793,-131.288313
2MASS J19451414-1729269,-175.1626086,-98.32714573
2MASS J19552158-4613569,-144.9826141,-39.44273981
2MASS J19563822-4054235,201.4616651,111.1687319
Gaia DR2 2233912206910720000,109.1931201,-35.98667225
2MASS J19584033+0430396,-21.72529127,-94.60960009
SMSS J195931.70-643529.3,-200.4030962,-55.43427305
2MASS J20000364-3301351,74.00580894,-49.25579496
2MASS J20005766-2541488,-199.9290381,76.86504137
2MASS J20050670-3057445,205.1874435,-156.9597117
2MASS J20080083-2759265,49.61319412,-29.64205668
2MASS J20093393-3410273,-221.2412243,-232.5377762
2MASS J20102782-0826556,258.98778,-57.90421392
2MASS J20103193-3558546,-110.2451538,29.02356044
2MASS J20194310-3158163,150.1885852,31.88075176
BPS CS 22943-132,77.34345252,173.9790667
2MASS J20233743-1659533,4.473726009,-17.46910765
2MASS J20374042-5520500,-66.94979962,39.11835602
2MASS J20384318-0023327,-263.3087573,-227.0637542
2MASS J20385893-0252115,154.2274142,12.44956085
2MASS J20411424-4654315,129.679989,59.627159
BPS CS 22955-174,-93.53970906,116.0302345
2MASS J20435776-4408037,-70.02837193,160.9424318
2MASS J20453454-1431151,13.5335721,75.33980433
2MASS J20492765-5124440,-68.81223192,76.79911244
2MASS J20504869-3355289,140.92703,11.96968774
2MASS J20514971-6158008,71.37262118,163.9767235
BPS CS 22940-121,-71.37851548,15.31196488
2MASS J20554594-3155159,154.4599758,-45.29993009
2MASS J20584918-0354340,-35.63973322,-4.645916641
2MASS J21003824-0539171,-12.54438784,71.22787444
2MASS J21055865-4919336,8.741304992,-80.49159985
2MASS J21063474-4957500,234.12664,-96.1283955
2MASS J21064294-6828266,50.9819614,130.6465742
2MASS J21091825-1310062,-66.89565946,-11.00234289
2MASS J21095804-0945400,46.85491486,143.7490074
2MASS J21162185-0213420,-43.23282848,189.8354485
2MASS J21220020-0820333,-60.23123863,73.25887714
2MASS J21224590-4641030,-35.01144261,80.12682138
BD-03:5215,152.0243721,-11.34210996
HE 2134+0001,-25.1289878,256.4755851
2MASS J21462219-0512324,179.386462,-54.99128017
G 214-1,121.1046234,110.3172394
BPS CS 22951-059,28.46529595,241.7441031
BPS CS 29493-062,-15.56302051,228.1980369
HE 2155+0136,94.75035456,-46.60184742
HE 2154-2838,45.401756,-107.0182344
HE 2206-2245,76.89387401,-116.1556136
BPS CS 22886-012,1.903350797,136.0067542
2MASS J22161170-5319492,-130.1359037,54.39488277
2MASS J22163596+0246171,48.12840998,32.7832949
BPS CS 22892-052,151.3321913,53.57281066
2MASS J22182082-3827554,-31.39067241,134.1898645
2MASS J22190836-2333467,-99.40300402,138.1383997
2MASS J22220344-8024592,-60.13525976,31.45462787
BPS CS 22886-043,17.51395246,85.6068211
BPS CS 22960-064,113.8058889,149.1636
HE 2224+0143,13.86287529,65.72180265
BPS CS 22875-029,135.4555277,90.61072533
BPS CS 29491-069,161.745084,-193.0164744
HE 2229-4153,-19.86175368,-38.61242686
2MASS J22345447-6605172,83.85331175,154.8603739
2MASS J22373316-4341181,-50.28222115,-32.60616189
HE 2242-1930,-131.6914161,250.5569814
HE 2244-1503,64.98895501,384.5378183
2MASS J22492756-2238289,107.6637439,-16.29295527
2MASS J22562536-0719562,-140.1157019,56.67999122
2MASS J23022289-6833233,48.55206295,51.68584267
HE 2301-4024,-63.75966536,-210.8956815
2MASS J23060975-6107368,170.1455804,-61.65017773
2MASS J23100319-7702165,201.4162292,151.6309497
BPS CS 29513-003,-14.18174277,-69.17125494
BPS CS 22945-017,80.65923922,136.9593618
2MASS J23242766-2728055,-52.54223757,-30.58354481
2MASS J23251897-0815539,31.66801004,-86.44539658
2MASS J23265258-0159248,-161.3973467,-68.1791224
2MASS J23285061-0432368,-87.80851081,137.8374118
HD 221170,-125.0107234,115.8422631
HE 2327-5642,71.18326971,-83.00987793
BPS CS 22941-017,-110.729143,204.9299329
2MASS J23342332-2748003,-4.190084804,20.85444135
2MASS J23362202-5607498,-4.612669627,36.91492184
BPS CS 22952-015,-80.85957779,94.30512917
BPS CS 29499-003,-202.0984035,49.17699533
2MASS J23411581-6406440,162.8612262,6.3651884
2MASS J23425814-4327352,-138.8147717,194.9217948
HD 222925,240.3935286,-32.68006162
2MASS J23475942-5701184,13.42642179,-28.89570146
BPS CS 22966-057,-134.7835082,-39.323331
2MASS J23490902-2447176,358.8744102,146.3047845
BPS CS 29499-058,-194.1802815,29.44544552
BPS CS 22945-058,140.3788404,24.12440052
BPS CS 22945-056,-264.7616279,-144.1655045
BPS CS 29517-025,116.6974388,-40.43151541
,,
,,
Name,v_r(km/s),
2MASS J00101758-1735387,-10.9078024,
2MASS J00002259-1302275,-179.8035813,
2MASS J00002416-1107454,-238.4554756,
HD 224930,-5.386059222,
2MASS J00021668-2453494,-171.0964537,
BPS CS 22957-036,119.3041128,
HD 20,227.8148884,
2MASS J00073817-0345509,-96.67575566,
2MASS J00093394-1857008,87.44954841,
2MASS J00154806-6253207,97.06930437,
2MASS J00172430-3333151,-115.2098814,
2MASS J00182832-3900338,-52.69521708,
BPS CS 22882-001,115.1797078,
2MASS J00223225-4839449,131.071171,
BPS CS 29497-004,121.6344101,
2MASS J00400685-4325183,-53.860726,
2MASS J00405260-5122491,20.27261849,
2MASS J00413026-4058547,-74.42310896,
2MASS J00442897-1017497,-82.99865841,
2MASS J00452379-2112161,-1.690613545,
2MASS J00452879-5846450,-335.5096132,
2MASS J00453930-7457294,-105.7951503,
