Name,v_x(km/s),v_z(km/s),v_phi(km/s)
2MASS J00101758-1735387,10.90586202,-226.6038724,-87.25345539
2MASS J00002259-1302275,175.2907475,56.55547342,-71.38746901
2MASS J00002416-1107454,235.4557241,-3.964784195,97.00474071
HD 224930,5.38605529,-25.72311814,-173.7717986
2MASS J00021668-2453494,170.4798587,-64.41095931,-143.5399684
BPS CS 22957-036,-119.0476658,53.44796165,37.26937151
HD 20,-227.8114926,6.244899128,-12.1543306
2MASS J00073817-0345509,95.62765865,47.37453858,-13.7443866
2MASS J00093394-1857008,-87.40318233,5.904861047,75.05237996
2MASS J00154806-6253207,-96.28775655,-145.0142842,16.94882698
2MASS J00172430-3333151,115.203598,45.3915732,-171.9934845
2MASS J00182832-3900338,52.63499566,-330.6938654,-111.4756911
BPS CS 22882-001,-115.1777515,-37.03705279,55.80132638
2MASS J00223225-4839449,-129.6863547,-163.2275383,183.2222233
BPS CS 29497-004,-121.58853,-110.9330354,-177.6584871
2MASS J00400685-4325183,52.16319983,45.03241383,99.81757654
2MASS J00405260-5122491,-20.27224594,-54.22448167,-17.48482915
2MASS J00413026-4058547,74.19901756,-322.6608771,-98.17074036
2MASS J00442897-1017497,82.83724083,-71.64803836,15.71509924
2MASS J00452379-2112161,1.689151382,-26.60568596,-119.8420454
2MASS J00452879-5846450,332.5781202,-16.37276088,-31.41548209
2MASS J00453930-7457294,104.8592313,294.7513173,-30.59882203
HE 0045-2430,-260.9404537,-150.0313301,89.12229446
2MASS J00482431-1041309,183.1838573,20.79552571,-35.69080978
2MASS J00512646-1053170,153.4351865,-110.1287467,-99.37895437
2MASS J00524174-0902235,240.4044017,175.4188202,-112.2474214
2MASS J00541965-0611555,-40.69188815,88.54057462,-15.60079224
HE 0057-4541,176.8498494,99.44947584,60.98008837
BPS CS 22953-003,246.0823035,-7.038830857,74.73242228
BPS CS 22183-031,-145.195753,-25.14710308,-2.46522884
2MASS J01165010-6307441,-135.6148356,-14.03146304,21.39073842
2MASS J01202234-5425582,-159.474042,-40.64530186,-116.342894
2MASS J01213447-2528002,49.28375949,-1.01087681,129.8654383
2MASS J01293113-1600454,114.3014547,-186.6837699,107.5170541
2MASS J01311599-4016510,107.318774,136.7059571,5.522846002
2MASS J01321981-3040512,58.58483347,126.6553153,-74.93313699
2MASS J01371888-1729037,163.6745622,177.4644949,-0.930599893
2MASS J01373857-2618131,64.23414999,106.213956,-103.3848312
2MASS J01425422-5032488,78.71581332,23.0838972,152.2362201
2MASS J01425445-0904162,82.78546821,30.84337663,-115.344648
2MASS J01493760-4551222,-217.5864833,27.77948519,-0.21367794
2MASS J01530024-3417360,186.4101529,25.44391757,8.624477968
2MASS J01553180-4919420,-225.6174158,-131.9995302,-216.7192219
2MASS J01555066-6400155,-15.83316696,9.018870835,166.0758473
2MASS J01565634-1402108,-149.7836941,-96.51303232,-37.68339424
BPS CS 22958-037,-160.126271,-174.7231294,-209.7080872
2MASS J02031860-7930291,34.73891782,12.71501271,-168.7247675
2MASS J02070641-5009166,-138.8267775,-60.16789013,-154.2082629
BPS CS 22958-052,-142.0253224,-37.02721163,-104.846658
2MASS J02165716-7547064,140.1322909,-33.6907792,-265.6711134
2MASS J02230804-3129531,116.3651611,-41.69134527,-98.06581894
2MASS J02265832-0749596,-48.54427025,84.3649701,-124.9086458
2MASS J02274104-0519230,138.942381,261.9885354,-77.45556404
2MASS J02355867-6745520,-45.34868776,12.36721485,-66.3185428
2MASS J02413897-0427349,199.4387859,63.44108054,123.2274086
2MASS J02462013-1518419,-257.4149331,-106.9873219,190.0790751
SMSS J024858.41-684306.4,200.0503926,213.9043406,-371.4535404
2MASS J02500719-5145148,75.89844514,-266.53614,-72.06350412
2MASS J02515281-3717316,43.03191208,36.30170296,-74.26269574
2MASS J02570028-3024374,-22.01027081,-24.43435632,-52.93251713
BPS CS 31078-018,-88.6218918,-30.75949375,-123.7108719
HE 0300-0751,-162.9496925,-18.15321686,359.7680692
2MASS J03071478-0534554,70.28854185,96.12361506,-33.19993584
2MASS J03073894-0502491,141.1058295,-6.343189672,-92.18565332
2MASS J03084611-4747083,191.558978,81.61256401,8.06165271
2MASS J03133726-1020553,-187.6118066,-72.05574897,56.38740916
2MASS J03154102-7626329,-136.6374708,-246.791655,-77.36870634
BPS CS 22968-026,191.1395739,91.27583329,1.258462575
2MASS J03210882-3944213,85.06682769,73.30755085,113.9574807
2MASS J03270229+0132322,28.53902208,-277.0263899,-147.0276353
BPS CS 29526-110,88.03158225,-154.1105282,100.5030813
HE 0328-1047,120.7548237,78.74671936,135.5793562
HE 0337-5127,-30.73145099,38.47906659,-116.9149638
2MASS J03422816-6500355,55.92579262,10.57393263,-88.67077372
SMSS J034249.53-284216.0,-28.47015019,-70.58660577,-108.0923798
HE 0341-4024,-126.4697535,-29.44041107,15.48487328
2MASS J03434624-0924169,-212.7032898,-77.28866057,-59.56624273
BPS CS 29529-054,90.73224423,59.36766842,-41.90956713
2MASS J04012191-2635058,125.0594818,81.04021043,9.99181118
2MASS J04121388-1205050,16.2800454,71.10893236,-74.86414271
BPS CS 22186-005,-168.9635364,50.20840109,-24.00160063
BPS CS 22186-002,-195.1239234,-76.30683655,97.74258415
2MASS J04182158-2323391,111.5478407,-3.122525475,-20.29703866
2MASS J04192966-0517491,-74.46245082,26.70130068,26.3442731
BPS CS 22182-033,-145.4338402,35.46326985,78.78142233
HE 0420+0123a,56.91316291,104.1345061,-68.46936467
BPS CS 22186-025,182.4144899,149.3522415,-154.5420303
2MASS J04245677-6500173,-30.79199787,-51.36843794,-69.4815827
2MASS J04263084-4058516,49.13570004,-31.12735798,-82.46072558
HE 0430-4901,-84.54432575,-79.69736802,-81.48244804
2MASS J04315411-0632100,-20.92263453,-132.2164319,132.8995464
HE 0432-0923,94.30393958,108.7911338,-125.2486499
HE 0442-1234,-31.70732897,-66.44659302,205.1251497
BPS CS 22191-029,-95.85239451,192.6519334,-82.73978615
2MASS J04520910-6209121,-84.29265863,112.8652935,37.89885394
2MASS J04530168-2437144,-52.30647694,229.9261683,319.5823305
2MASS J04565146-3115427,-57.08114864,-78.53036469,14.77021288
2MASS J05030025-7601462,-88.41072481,69.93585551,15.74644042
SMSS J051008.62-372019.8,-45.83691619,-175.7606828,95.04572191
HE 0512-3835,-78.67462557,-23.78575317,17.96222527
HE 0516-3820,-23.91914549,-35.75509192,-109.3130988
HE 0524-2055,-109.887376,-74.87004765,-99.81079121
2MASS J05311779-5810048,-125.8366257,47.13501771,-84.08475047
HE 0534-4615,-192.035277,-63.31513244,-51.61064956
2MASS J05381700-7516207,-83.74054982,48.83859083,-142.4715211
2MASS J05383296-5904280,-60.74854786,-122.0444917,-104.5800454
HE 0538-4515,-23.69656573,46.61421415,-172.5594631
2MASS J05521578-3953184,74.39666023,-15.9663855,-97.57226221
