Name,v_x(km/s),v_z(km/s),v_phi(km/s)
BooI,191.9393255,42.78581984,92.42550622
BooII,-324.4676076,-0.7868680986,167.8959345
CVenI,21.62179445,59.37266802,16.03956978
CVenII,67.56138533,-88.30786893,32.67095218
CarI,-26.39101497,183.4436123,9.642834704
CarII,118.0710545,161.4421467,-184.1963239
CarIII,11.92030248,357.14788,-56.52525014
CberI,246.2208005,90.76940237,-113.6583253
DraI,69.42441664,-168.2743491,69.7334505
FnxI,16.69506297,78.60448888,-79.54092021
GruII,-111.5467843,100.2646213,174.6035803
HerI,172.3230251,-13.02272547,3.429978364
HorI,1.550343758,181.2456581,-26.93503675
LeoIV,106.6744465,24.06490046,-80.00016412
RetII,22.69430847,232.0686075,-69.74516406
SclI,18.7669249,-94.48034164,51.88024744
SegI,-136.7971026,-68.02423066,-140.8550259
SegII,-124.7883952,78.83437721,-29.84500304
TucII,-261.2321518,140.4638561,261.2563032
TucIII,38.20923068,200.1614059,-64.39930224
UMiI,12.27824992,-156.9268272,33.43233489
UMaI,-83.76154131,-41.7962039,-118.4401651
