Name,ecc_mean,rperi_mean(kpc)
BooI,0.3313689258,48.35236077
BooII,0.6129942811,39.38585633
CVenI,0.5887464423,77.59892392
CVenII,0.6366067477,57.55091824
CarI,0.08088205755,107.5992221
CarII,0.7711473019,27.59757617
CarIII,0.7444935356,28.99083144
CberI,0.2828735169,43.04230344
DraI,0.4079681174,45.97480827
FnxI,0.3804756469,68.19562092
GruII,0.4602729431,28.31573458
HerI,0.6403959702,55.99303717
HorI,0.5021783849,92.08579612
LeoIV,0.4424828026,103.3339422
RetII,0.3690768155,27.24654505
SclI,0.3286649583,55.1981546
SegI,0.4347074914,21.97185655
SegII,0.4323260165,19.07374837
TucII,0.718872215,42.39172636
TucIII,0.8602778068,3.368492945
UMiI,0.3773875529,41.75153951
UMaI,0.319748556,57.22249545
