Name,energy_mean(km^2 s^(-2)),j_phi(kpc s^(-1)),Lz
BooI,-57573.81109,1411.927152,-1411.927152
BooII,-44942.89106,1228.20586,-1228.20586
CVenI,-32691.14732,585.2126605,-585.2126605
CVenII,-37472.95191,814.7393113,-814.7393113
CarI,-42618.07368,986.4815128,-986.4815128
CarII,-40126.63704,-6592.998812,6592.998812
CarIII,-41791.23901,-1589.655313,1589.655313
CberI,-64158.82871,-1271.762065,1271.762065
DraI,-54870.89255,4878.318252,-4878.318252
FnxI,-44249.08408,-5004.261356,5004.261356
GruII,-69034.3353,4601.044317,-4601.044317
HerI,-35332.89126,349.9001991,-349.9001991
HorI,-30457.29395,-1460.646631,1460.646631
LeoIV,-34867.34814,-7000.767103,7000.767103
RetII,-76861.92135,-1599.555295,1599.555295
SclI,-53153.90519,581.0942767,-581.0942767
SegI,-80983.75016,-3119.664243,3119.664243
SegII,-87342.31297,-1125.546452,1125.546452
TucII,-34993.0944,8243.145979,-8243.145979
TucIII,-97636.8327,-669.89286,669.89286
UMiI,-60004.44269,1932.418076,-1932.418076
Uma,-53757.15352,-7812.903936,7812.903936
