Name,rapo_mean(kpc),ecc_mean
BooI,96.31219975,0.3313689258
BooII,191.9915121,0.6129942811
CVenI,275.1091447,0.5887464423
CVenII,240.9368291,0.6366067477
CarI,127.5461871,0.08088205755
CarII,214.7045074,0.7711473019
CarIII,202.1518934,0.7444935356
CberI,77.80463478,0.2828735169
DraI,109.0950286,0.4079681174
FnxI,150.3865306,0.3804756469
GruII,76.28307257,0.4602729431
HerI,251.5458146,0.6403959702
HorI,345.8214427,0.5021783849
LeoIV,509.4383087,0.4424828026
RetII,59.21890475,0.3690768155
SclI,109.0330506,0.3286649583
SegI,55.96426594,0.4347074914
SegII,47.84289338,0.4323260165
TucII,273.3604551,0.718872215
TucIII,44.80438941,0.8602778068
UMiI,92.16506438,0.3773875529
UMaI,105.6355484,0.319748556
