Name,v_phi(km/s),v_r(km/s)
BooI,92.42550622,196.9357644
BooII,167.8959345,-293.7006479
CVenI,16.03956978,97.34729948
CVenII,32.67095218,-65.43853257
CarI,9.642834704,68.68149917
CarII,-184.1963239,269.8014798
CarIII,-56.52525014,146.1666417
CberI,-113.6583253,-219.5961423
DraI,69.7334505,4.017011642
FnxI,-79.54092021,71.34820603
GruII,174.6035803,-78.08870244
HerI,3.429978364,198.8694282
HorI,-26.93503675,200.7717423
LeoIV,-80.00016412,-40.87995354
RetII,-69.74516406,98.82165395
SclI,51.88024744,-147.9513624
SegI,-140.8550259,223.9693046
SegII,-29.84500304,123.4098825
TucII,261.2563032,-122.5422057
TucIII,-64.39930224,-119.0274705
UMiI,33.43233489,47.93344785
