v_x(km/s),v_y(km/s),v_z(km/s)
191.9393255,-102.3996802,42.78581984
-324.4676076,-95.75967483,-0.7868680986
21.62179445,96.25691325,59.37266802
67.56138533,-28.01707095,-88.30786893
-26.39101497,-64.1376171,183.4436123
118.0710545,-304.5984857,161.4421467
11.92030248,-156.262318,357.14788
246.2208005,-22.80941298,90.76940237
69.42441664,7.690662589,-168.2743491
16.69506297,-105.5401332,78.60448888
-111.5467843,-155.365872,100.2646213
172.3230251,99.32260758,-13.02272547
1.550343758,-202.6561913,181.2456581
106.6744465,31.92611435,24.06490046
22.69430847,-118.8110579,232.0686075
18.7669249,155.669639,-94.48034164
-136.7971026,-226.4551274,-68.02423066
-124.7883952,23.48675404,78.83437721
-261.2321518,-122.4576517,140.4638561
38.20923068,129.8888527,200.1614059
12.27824992,57.13779662,-156.9268272
-83.76154131,-97.24010829,-41.7962039
