Fe/H,V/Fe
-0.92,0.05
-3.28,0.01
-3.26,0.29
-2.78,0.73
-2.68,0.12
-3.47,0.8
-3.61,0.29
-1.77,-0.0
-2.44,-0.1
-2.88,-0.21
-3.22,-0.03
-2.34,-0.02
-3.13,-0.24
-2.93,0.67
-3.08,0.01
-2.56,-0.05
-3.57,0.24
-2.35,-0.19
-2.96,0.8
-2.99,0.09
-3.57,0.24
-3.98,1.2
-2.62,0.21
-3.05,-0.01
-3.92,0.19
-2.86,0.05
-2.58,0.73
-2.49,0.14
-4.09,1.2
-2.83,0.12
-2.27,0.24
-3.99,0.05
-2.82,0.39
-3.06,-0.02
-2.68,-0.15
-2.42,0.01
-2.97,-0.11
-3.31,-0.42
-2.72,-0.05
-3.04,-0.1
-2.41,-0.03
-3.38,0.05
-2.4,0.01
-2.48,-0.05
-2.61,0.07
-2.74,0.03
-2.01,0.12
-2.75,-0.13
-4.17,1.54
-3.02,0.13
-2.08,-0.16
-3.36,0.02
-3.12,-0.22
-2.97,-0.17
-3.06,-0.35
-2.44,0.5
-2.75,0.08
-2.61,0.09
-2.65,0.03
-2.08,-0.08
-3.33,0.02
-4.15,0.9
-3.31,-0.09
-2.98,0.04
-2.85,0.08
-2.37,0
-2.71,0.21
-2.89,0.03
-2.41,0.27
-2.77,-0.11
-3.41,-0.05
-2.69,0.02
-3.19,-0.14
-3.06,0.16
-3.53,-0.02
-3.18,0.04
-4.06,0.18
-3.49,0.02
-3.32,0.04
-4.41,0.74
-3.64,1.06
-3.31,0.21
-3.83,0.16
-3.27,-0.31
-3.44,-0.09
-2.22,0.07
-2.41,0.22
-2.43,-0.12
-3.22,0.11
-2.49,0.08
-3.13,0.04
-1.85,0.05
-3.67,0.12
-2.74,0.02
-2.81,0.17
-3.91,0.63
-3.1,0.02
-1.7,-0.06
-2.58,-0.04
-2.62,0
-3.3,0.09
-2.77,-0.15
-2.6,0.14
-2.6,0.24
-2.61,0.03
-2.26,0.07
-2.94,0.13
-1.93,0.07
-3.55,-0.11
-4.38,0.64
-2.78,-0.26
-2.92,-0.23
-3.11,0.05
-3.43,-0.18
-2.58,0.28
-3.87,-0.1
-2.56,-0.14
-2.98,-0.24
-1.24,0.15
-2.62,0.06
-2.48,-0.13
-3.18,-0.07
-2.92,-0.33
-3.09,-0.11
-2.75,-0.02
-2.58,-0.2
-3.2,0.06
-3.0,-0.31
-2.5,-0.04
-2.72,-0.0
-2.1,-0.09
-2.27,0.03
-2.31,-0.26
-2.06,-0.01
-1.71,0
-2.93,-0.16
-1.35,-0.0
-2.15,0.05
-4.28,0.66
-2.04,-0.41
-3.23,0.03
-3.23,1.16
-3.28,0.3
-3.55,1.46
-3.23,0.07
-2.99,0.47
-3.12,0.24
-2.85,-0.03
-2.85,0.15
-3.1,0.33
-3.14,0.2
-2.58,0.02
-2.84,-0.47
-2.75,0.55
-3.19,-0.05
-2.6,-0.21
-2.76,0.27
-3.22,-0.11
-3.93,0.63
-3.3,0.9
-3.05,-0.06
-2.48,0.28
-3.77,0.38
-4.59,0.47
-2.54,-0.03
-0.63,0.17
-1.47,0.05
-2.62,-0.05
-2.36,-0.02
-1.52,0.01
-0.72,0.27
-2.96,0.17
-1.84,-0.18
-1.89,-0.02
-2.26,-0.09
-2.97,-0.17
-1.81,-0.03
-3.29,-0.06
-2.52,-0.08
-2.97,-0.13
-1.45,0.01
-1.99,-0.12
-2.75,-0.21
-1.69,0.01
-2.39,-0.03
-3.13,0.1
-1.51,0.01
-0.28,0.07
-1.32,-0.02
-1.43,0.1
-1.72,-0.0
-2.21,-0.07
-2.17,-0.12
-2.16,0.06
-3.29,-0.34
-0.7,0.16
-2.8,-0.08
-1.71,0.01
-1.94,-0.01
-2.03,0.01
-2.86,0.01
-1.69,0.02
-1.48,0
-2.39,-0.01
-2.82,-0.23
-1.7,0.04
-1.56,-0.0
-1.02,0.02
-1.06,0.09
-1.44,-0.01
-1.93,0.02
-1.81,0.01
-3.29,-0.35
-1.15,-0.03
-3.75,2.72
-3.5,0.25
-2.88,0.54
-3.68,0.3
-7.3,4.07
-2.9,0.31
-2.75,0.04
-3.36,0.03
-2.19,0.03
-3.29,1.13
-2.88,-0.23
-3.18,0.06
-3.6,0.48
-2.84,-0.07
-2.35,0.11
-2.95,-0.14
-3.28,-0.02
-2.9,0.09
-2.91,0.16
-3.48,0.76
-3.17,0.37
-4.01,0.72
-2.23,-0.36
-3.78,1
-2.86,0.13
-3.39,-0.24
-1.86,-0.16
-1.76,-0.1
-2.3,-0.04
