# Object,[Fe/H],[V/Fe],
SAGA_Car_000003,-1.65,,
SAGA_Car_000003,-2.19,,
SAGA_Car_000003,-1.82,-0.18,
SAGA_Car_000003,-1.82,,
SAGA_Car_000004,-1.41,,
SAGA_Car_000004,-1.67,,
SAGA_Car_000004,-1.29,-0.18,
SAGA_Car_000004,-0.99,,
SAGA_Car_000323,-1.3,0.09,
SAGA_Car_000323,-1.43,,
SAGA_Car_000323,-2,,
SAGA_Car_000323,-1.61,-0.16,
SAGA_Car_000323,-1.53,,
SAGA_Car_000398,-2.81,0.72,
SAGA_Car_000398,,,
SAGA_Car_000398,-2.86,,
SAGA_Car_000409,-2.08,,
SAGA_Car_000409,-1.89,0.27,
SAGA_Car_000409,-1.74,,
SAGA_Car_000438,-2.08,,
SAGA_Car_000438,-1.72,,
SAGA_Car_000438,-1.68,-0.3,
SAGA_Car_000438,-1.56,,
SAGA_Car_000462,-1.93,,
SAGA_Car_000462,-1.35,-0.05,
SAGA_Car_000462,-1.47,,
SAGA_Car_000477,-1.9,,
SAGA_Car_000477,-1.59,-0.31, 
SAGA_Car_000477,-1.56,,
SAGA_Car_000495,-1.52,,
SAGA_Car_000495,-1.84,,
SAGA_Car_000495,-1.42,-0.24,
SAGA_Car_000495,-1.61,,
SAGA_Car_000528,-1.83,,
SAGA_Car_000528,-1.5,0.17,
SAGA_Car_000528,-1.6,,
SAGA_Car_000617,-1.95,,
SAGA_Car_000617,-1.63,,
SAGA_Car_000617,-1.56,0.57,
SAGA_Car_000617,-1.7,,
SAGA_Car_000619,-1.68,0.41,
SAGA_Car_000619,-1.89,,
SAGA_Car_000619,-1.57,-0.04,
SAGA_Car_000619,-1.66,,
SAGA_Car_000625,-2.23,,
SAGA_Car_000625,-1.78,0.29,
SAGA_Car_000625,-2.03,,
SAGA_Car_000717,-1.35,0.02,
SAGA_Car_000717,-1.3,,
SAGA_Car_000717,-1.92,,
SAGA_Car_000717,-1.34,-0.13,
SAGA_Car_000717,-1.39,,
SAGA_Car_000897,-1.75,0.21,
SAGA_Car_000897,-1.88,,
SAGA_Car_000897,-1.5,,
SAGA_Car_000930,-1.53,0.01,
SAGA_Car_000930,-1.41,,
SAGA_Car_000930,-1.76,,
SAGA_Car_000930,-1.43,-0.07,
SAGA_Car_000930,-1.37,,
SAGA_Car_001198,-1.39,,
SAGA_Car_001198,-1.53,,
SAGA_Car_001198,-1.28,-0.13,
SAGA_Car_001200,-1.3,-0.67,
SAGA_Car_001200,-1.52,,
SAGA_Car_001200,-1.56,,
SAGA_Car_001200,-1.29,-0.7,
SAGA_Car_001206,-1.62,,
SAGA_Car_001206,-1.18,,
SAGA_Car_001206,-1.3,-0.16,
SAGA_Car_001208,-1.8,,
SAGA_Car_001208,-1.43,,
SAGA_Car_001208,-1.26,-0.28,
SAGA_Car_001209,-2.15,-0.26,
SAGA_Car_001209,-2.52,,
SAGA_Car_001209,-2.5,,
SAGA_Car_001225,-1.85,,
SAGA_Car_001225,-1.6,0.33,
SAGA_Car_001226,-2.03,,
SAGA_Car_001226,-1.27,-0.15,
SAGA_Car_001227,-2.48,,
SAGA_Car_001227,-1.72,0.51,
SAGA_Car_001228,-1.88,,
SAGA_Car_001228,-1.48,0.38,
SAGA_Car_001229,-1.74,,
SAGA_Car_001229,-1.48,0.02,
SAGA_Dra_000001,-2.93,0.19,
SAGA_Dra_000001,-3.05,,
SAGA_Dra_000001,-2.91,,
SAGA_Dra_000001,-2.97,,
SAGA_Dra_000001,-2.97,,
SAGA_Dra_000001,-2.78,,
SAGA_Dra_000001,-3,,
SAGA_Dra_000002,-1.44,-0.81,
SAGA_Dra_000002,-1.44,-0.61,
SAGA_Dra_000004,-1.77,,
SAGA_Dra_000004,-2.05,,
SAGA_Dra_000004,-1.67,-0.33,
SAGA_Dra_000004,-1.67,-0.13,
SAGA_Dra_000004,-1.55,,
SAGA_Dra_000004,-1.74,,
