Fe/H,Zn/Fe
-3.28,0.44
-2.47,0.2
-1.11,0.4
-3.26,0.42
-2.78,0.57
-3.82,0.58
-3.24,0.43
-3.0,0.85
-3.08,0.1
-2.62,0.82
-2.92,0.45
-2.94,0.84
-2.69,0.43
-2.71,1.41
-2.68,0.32
-3.5,1.37
-3.47,1.12
-2.76,0.78
-2.41,0.17
-3.61,0.53
-1.77,0.02
-2.44,0.2
-2.88,0.29
-3.13,0.37
-2.93,0.9
-3.08,0.34
-3.57,0.67
-2.35,0.11
-2.96,0.8
-2.77,0.37
-2.99,0.72
-3.2,0.72
-2.65,0.26
-3.57,0.44
-3.98,1.2
-2.62,0.78
-2.31,0.5
-1.98,0.07
-3.05,0.66
-4.68,2.6
-2.58,0.44
-3.92,0.36
-3.23,0.83
-2.58,0.5
-2.49,0.31
-4.09,1.52
-2.83,0.44
-3.99,0.7
-1.56,-0.05
-3.86,0.53
-3.06,0.22
-2.68,0.2
-1.81,0.17
-1.82,0.14
-2.42,0.21
-2.97,0.42
-2.55,0.68
-1.78,-0.11
-3.42,1.17
-3.31,0.45
-2.81,0.6
-2.72,0.23
-2.82,0.64
-3.04,0.39
-3.0,0.36
-2.52,0.25
-2.85,0.62
-2.41,0.11
-3.38,0.74
-2.01,0.22
-1.52,0.2
-3.01,0.67
-2.29,1.59
-4.17,1.51
-2.39,-0.11
-3.28,1.6
-2.08,0.04
-2.39,0.17
-3.36,0.63
-3.12,0.98
-3.43,1.5
-2.97,0.11
-2.75,0.3
-2.65,0.51
-2.86,0.6
-2.08,0.35
-2.84,0.49
-4.15,1.3
-3.15,0.55
-3.31,0.23
-2.98,0.43
-2.2,0.48
-2.52,0.13
-2.82,0.2
-2.33,0.41
-2.46,0.61
-2.47,0.59
-2.82,0.44
-2.97,0.58
-2.37,0.31
-2.71,0.19
-3.36,0.22
-2.53,0.43
-3.3,0.28
-2.89,0.36
-2.64,0.37
-2.77,0.35
-3.41,0.49
-2.69,0.71
-3.1,1.2
-3.53,0.63
-4.06,0.87
-3.49,0.69
-2.68,0.29
-2.98,0.29
-3.32,0.38
-4.41,1.17
-4.12,0.89
-3.64,1.28
-3.31,0.63
-3.83,0.96
-3.87,0.55
-2.62,0.22
-2.35,0.09
-3.27,0.17
-3.22,0.46
-3.44,0.11
-2.81,0.18
-2.47,0.4
-2.54,0.47
-3.29,0.54
-2.43,0.32
-3.22,0.31
-2.49,0.24
-3.13,0.29
-1.85,0.07
-3.67,0.59
-2.74,0.25
-2.81,0.36
-2.85,0.24
-2.34,0.31
-3.64,0.99
-3.91,1.1
-3.1,0.13
-1.7,0.1
-2.58,0.22
-2.55,0.21
-2.62,0.32
-3.19,0.23
-3.3,0.44
-2.77,0.4
-2.27,0.58
-3.07,0.25
-2.58,0.31
-2.6,0.27
-2.46,0.53
-3.03,0.3
-2.75,0.7
-4.15,2
-1.93,0.16
-2.93,0.8
-2.49,0.55
-3.55,0.88
-4.38,1.22
-2.02,0.81
-2.78,0.05
-2.92,0.18
-3.11,0.24
-3.07,0.54
-2.58,0.19
-3.87,0.46
-2.61,0.29
-1.83,0.17
-2.56,0.16
-2.98,0.28
-3.19,0.65
-2.62,0.33
-2.48,0.27
-3.18,0.61
-2.02,0.13
-2.92,0.32
-3.09,0.32
-2.75,0.22
-2.58,0.08
-3.2,0.35
-3.0,0.2
-2.1,0.02
-2.72,0.26
-2.1,0.13
-2.73,-0.01
-2.27,0.16
-2.31,0.07
-2.11,0.02
-2.06,0.08
-1.71,0.04
-2.93,0.2
-2.7,0.3
-2.2,0.01
-3.12,0.36
-4.28,1.11
-2.31,0.44
-2.04,-0.38
-2.85,0.54
-2.54,0.42
-3.63,1.41
-3.29,0.96
-3.0,0.98
-2.94,0.73
-2.2,0.66
-2.85,0.79
-3.08,0.83
-2.92,0.17
-2.79,0.96
-2.71,0.76
-3.23,0.28
-2.12,0.17
-3.03,0.89
-2.97,0.74
-3.01,0.93
-2.55,0.54
-3.02,0.99
-3.15,0.92
-2.16,0.38
-3.23,1.42
-3.28,0.73
-3.55,1.44
-2.79,1.07
-2.96,0.72
-2.48,0.3
-2.78,0.75
-2.73,0.63
-2.88,0.73
-3.71,1.43
-2.54,0.29
-3.09,0.91
-2.68,0.7
-3.23,0.37
-2.78,0.71
-2.99,0.51
-3.12,0.59
-2.4,0.27
-2.96,0.98
-2.98,1.55
-2.84,0.71
-2.85,0.12
-2.52,0.28
-2.85,0.21
-2.82,0.75
-2.41,0.27
-2.83,0.53
-3.51,0.66
-3.1,0.32
-2.71,0.75
-2.63,0.04
-2.68,0.73
-2.64,0.57
-2.96,0.81
-2.89,0.98
-3.29,1.09
-2.82,0.87
-2.98,0.91
-2.84,0.81
-2.58,0.27
-3.32,1.21
-3.01,0.93
-2.74,0.48
-2.84,0.22
-3.0,0.71
-3.1,0.68
-2.81,0.62
-2.73,0.61
-2.75,0.56
-2.71,0.81
-2.39,0.67
-2.69,0.84
-3.15,1.12
-3.19,0.71
-2.43,0.14
-2.91,1.78
-2.28,0.36
-2.51,0.25
-2.62,0.87
-2.29,0.27
-2.67,0.37
-2.6,0.46
-2.67,0.54
-3.02,0.37
-3.05,0.82
-2.82,0.43
-2.56,0.51
-2.95,0.87
-3.17,1.33
-3.12,0.84
-2.57,0.3
-3.1,0.93
-2.89,0.46
-2.92,0.91
-2.76,0.35
-2.66,0.61
