# Object,[Fe/H],[Zn/Fe]
SAGA_Car_000001,-1.94,-0.16
SAGA_Car_000001,-2.13,
SAGA_Car_000001,-2.02,
SAGA_Car_000002,-1.6,0.08
SAGA_Car_000002,-1.68,
SAGA_Car_000002,,
SAGA_Car_000003,-1.65,-0.26
SAGA_Car_000003,-2.19,
SAGA_Car_000003,-1.82,
SAGA_Car_000003,-1.82,
SAGA_Car_000004,-1.41,-0.18
SAGA_Car_000004,-1.67,
SAGA_Car_000004,-1.29,
SAGA_Car_000004,-0.99,
SAGA_Car_000005,-1.59,-0.06
SAGA_Car_000005,-1.7,
SAGA_Car_000005,-1.39,
SAGA_Car_000323,-1.3,-0.46
SAGA_Car_000323,-1.43,
SAGA_Car_000323,-2,
SAGA_Car_000323,-1.61,
SAGA_Car_000323,-1.53,
SAGA_Car_000717,-1.35,-0.05
SAGA_Car_000717,-1.3,
SAGA_Car_000717,-1.92,
SAGA_Car_000717,-1.34,
SAGA_Car_000717,-1.39,
SAGA_Car_000897,-1.75,-0.17
SAGA_Car_000897,-1.88,
SAGA_Car_000897,-1.5,
SAGA_Car_000930,-1.53,0.16
SAGA_Car_000930,-1.41,
SAGA_Car_000930,-1.76,
SAGA_Car_000930,-1.43,
SAGA_Car_000930,-1.37,
SAGA_Car_001200,-1.3,-0.83
SAGA_Car_001200,-1.52,
SAGA_Car_001200,-1.56,
SAGA_Car_001200,-1.29,
SAGA_Dra_000002,-1.44,
SAGA_Dra_000002,-1.44,0.16
SAGA_Dra_000003,-2.55,
SAGA_Dra_000003,-2.47,
SAGA_Dra_000003,-2.36,
SAGA_Dra_000003,-2.36,0.14
SAGA_Dra_000003,-2.39,
SAGA_Dra_000005,-2.05,
SAGA_Dra_000005,-1.86,-0.24
SAGA_Dra_000005,-1.78,
SAGA_Dra_000005,-1.95,
SAGA_Dra_000006,-2.05,
SAGA_Dra_000006,-2.11,
SAGA_Dra_000006,-1.72,-0.17
SAGA_Dra_000006,-1.74,
SAGA_Dra_000006,-1.99,
SAGA_Dra_000007,-2.03,
SAGA_Dra_000007,-1.94,0.1
SAGA_Dra_000007,-1.73,
SAGA_Dra_000007,-1.94,
SAGA_Dra_000009,-2.6,
SAGA_Dra_000009,-2.5,0.29
SAGA_Dra_000009,-2.55,
SAGA_Dra_000009,-2.33,
SAGA_Dra_000009,-2.59,
SAGA_Dra_000009,-2.51,
SAGA_Dra_000010,-1.74,
SAGA_Dra_000010,-1.54,-0.47
SAGA_Dra_000010,-1.41,
SAGA_Dra_000010,-1.63,
SAGA_Dra_000013,-1.87,
SAGA_Dra_000013,-1.78,-0.32
SAGA_Dra_000013,-1.59,
SAGA_Dra_000013,-1.75,
SAGA_Dra_000014,-2.04,0.03
SAGA_For_000001,-1.21,0.12
SAGA_For_000001,-0.92,
SAGA_For_000001,-0.89,
SAGA_For_000002,-1.6,-0.2
SAGA_Scl_000001,-1.98,
SAGA_Scl_000001,-1.95,
SAGA_Scl_000001,-1.61,0.5
SAGA_Scl_000001,-2.14,
SAGA_Scl_000001,-1.61,
SAGA_Scl_000001,-2.01,
SAGA_Scl_000001,-2.13,
SAGA_Scl_000002,-1.66,0.21
SAGA_Scl_000002,-1.86,
SAGA_Scl_000002,-1.6,0.6
SAGA_Scl_000002,-1.58,
SAGA_Scl_000002,-1.6,
SAGA_Scl_000002,-1.79,
SAGA_Scl_000003,-1.56,-0.29
SAGA_Scl_000003,-1.79,
SAGA_Scl_000003,-1.77,0.24
SAGA_Scl_000003,-1.75,
SAGA_Scl_000003,-1.77,
SAGA_Scl_000003,-1.76,
SAGA_Scl_000004,-1.77,-0.34
SAGA_Scl_000004,-1.77,
SAGA_Scl_000004,-1.8,0.78
SAGA_Scl_000004,-1.78,
SAGA_Scl_000004,-1.8,
SAGA_Scl_000004,-1.68,
SAGA_Scl_000005,-1.24,0.12
SAGA_Scl_000005,-1.22,
SAGA_Scl_000005,-1.35,0.66
SAGA_Scl_000005,-1.33,
SAGA_Scl_000005,-1.35,
SAGA_Scl_000005,-1.07,
SAGA_Scl_000006,-2.1,0.31
SAGA_Scl_000006,-2.03,
SAGA_Scl_000006,-2.18,0.08
SAGA_Scl_000006,-2.17,
SAGA_Scl_000006,-2.16,
SAGA_Scl_000006,-2.18,
SAGA_Scl_000006,-2,
SAGA_Scl_000006,-2.15,
SAGA_Scl_000007,-0.97,0.11
SAGA_Scl_000007,-0.82,
SAGA_Scl_000007,-0.79,
SAGA_Scl_000008,-1.72,0.23
SAGA_Scl_000008,-1.6,
SAGA_Scl_000008,-1.68,0.24
SAGA_Scl_000008,-1.66,
SAGA_Scl_000008,-1.68,
SAGA_Scl_000008,-1.46,
SAGA_Scl_000009,-1.2,-0.34
SAGA_Scl_000009,-1.2,
SAGA_Scl_000009,-0.92,0.36
SAGA_Scl_000009,-0.9,
SAGA_Scl_000009,-0.92,
SAGA_Scl_000009,-0.96,
SAGA_Scl_000011,-0.89,0.08
SAGA_Scl_000011,-0.87,
SAGA_Scl_000011,-0.89,
SAGA_Scl_000012,-1.16,0.54
SAGA_Scl_000012,-1.15,
SAGA_Scl_000012,-1.16,
SAGA_Scl_000013,-1.15,
SAGA_Scl_000013,-1.1,0.68
SAGA_Scl_000013,-1.08,
SAGA_Scl_000013,-0.99,
SAGA_Scl_000014,-1.65,
SAGA_Scl_000014,-1.49,0.1
SAGA_Scl_000014,-1.47,
SAGA_Scl_000014,-1.1,
SAGA_Scl_000014,-1.25,
SAGA_Scl_000015,-2.35,0.38
SAGA_Scl_000015,-2.33,
SAGA_Scl_000015,-2.35,
SAGA_Scl_000018,-1.86,0.38
SAGA_Scl_000018,-1.84,
SAGA_Scl_000018,-1.86,
SAGA_Scl_000018,-1.73,
SAGA_Scl_000019,-1.65,
SAGA_Scl_000019,-1.7,0.2
SAGA_Scl_000019,-1.72,
SAGA_Scl_000019,-1.68,
SAGA_Scl_000019,-1.7,
SAGA_Scl_000019,-1.57,
SAGA_Scl_000019,-1.7,
SAGA_Scl_000020,-1.01,
SAGA_Scl_000020,-1.07,0.44
SAGA_Scl_000020,-1.11,
SAGA_Scl_000020,-1.05,
SAGA_Scl_000020,-1.07,
SAGA_Scl_000020,-0.92,
SAGA_Scl_000020,-1.1,
SAGA_Scl_000021,-1.56,
SAGA_Scl_000021,-1.65,0.24
SAGA_Scl_000021,-1.63,
SAGA_Scl_000021,-1.65,
SAGA_Scl_000021,-1.58,
SAGA_Scl_000022,-1.74,
SAGA_Scl_000022,-1.93,0.24
SAGA_Scl_000022,-1.91,
SAGA_Scl_000022,-1.93,
SAGA_Scl_000022,-1.65,
SAGA_Scl_000024,-1.83,
SAGA_Scl_000024,-1.74,0.64
SAGA_Scl_000024,-2.03,
SAGA_Scl_000024,-1.72,
SAGA_Scl_000024,-1.74,
SAGA_Scl_000024,-1.98,
SAGA_Scl_000024,-2.02,
SAGA_Scl_000026,-1.89,
SAGA_Scl_000026,-2.03,
SAGA_Scl_000026,-2.03,0.15
SAGA_Scl_000027,-1.18,0.32
SAGA_Scl_000027,-1.16,
SAGA_Scl_000027,-1.18,
SAGA_Scl_000028,-2.16,
SAGA_Scl_000028,-2.04,0.34
SAGA_Scl_000028,-2.02,
SAGA_Scl_000028,-2.04,
SAGA_Scl_000028,-2.54,
SAGA_Scl_000028,-2.23,
SAGA_Scl_000029,-1.45,
SAGA_Scl_000029,-1.5,0.54
